Scenario,lcoh_cat,Technology,Region,Year,LCOH($/kg)
"Offgrid_30_v3","fom","ded_electrolyzer","p33","2026",8.52863079878018E-6
"Offgrid_30_v3","fom","ded_electrolyzer","p33","2029",8.7642099101632E-6
"Offgrid_30_v3","fom","ded_electrolyzer","p33","2032",8.80584128444592E-6
"Offgrid_30_v3","fom","ded_electrolyzer","p33","2035",8.9558071429162E-6
"Offgrid_30_v3","fom","ded_electrolyzer","p74","2026",9.98889185463493E-6
"Offgrid_30_v3","fom","ded_electrolyzer","p74","2029",1.00348602768512E-5
"Offgrid_30_v3","fom","ded_electrolyzer","p74","2032",1.00616211164649E-5
"Offgrid_30_v3","fom","ded_electrolyzer","p74","2035",9.99644837639354E-6
"Offgrid_30_v3","fom","ded_electrolyzer","p97","2032",1.22130002006803E-5
"Offgrid_30_v3","fom","ded_electrolyzer","p97","2035",1.21783183677368E-5
"Offgrid_30_v3","vom","ded_electrolyzer","p33","2026",2.35638E-5
"Offgrid_30_v3","vom","ded_electrolyzer","p33","2029",2.36659903682343E-5
"Offgrid_30_v3","vom","ded_electrolyzer","p33","2032",2.36716618527829E-5
"Offgrid_30_v3","vom","ded_electrolyzer","p33","2035",2.37309489646865E-5
"Offgrid_30_v3","vom","ded_electrolyzer","p74","2026",2.35638E-5
"Offgrid_30_v3","vom","ded_electrolyzer","p74","2029",2.37622358981509E-5
"Offgrid_30_v3","vom","ded_electrolyzer","p74","2032",2.38869792844999E-5
"Offgrid_30_v3","vom","ded_electrolyzer","p74","2035",2.40015366184894E-5
"Offgrid_30_v3","vom","ded_electrolyzer","p97","2032",2.39681E-5
"Offgrid_30_v3","vom","ded_electrolyzer","p97","2035",2.40756757386351E-5
"Offgrid_30_v3","capcost","ded_electrolyzer","p33","2026",1.0271470420506E-6
"Offgrid_30_v3","capcost","ded_electrolyzer","p33","2029",1.05551905077451E-6
"Offgrid_30_v3","capcost","ded_electrolyzer","p33","2032",1.06053293213013E-6
"Offgrid_30_v3","capcost","ded_electrolyzer","p33","2035",1.07859409476814E-6
"Offgrid_30_v3","capcost","ded_electrolyzer","p74","2026",1.14110144096284E-6
"Offgrid_30_v3","capcost","ded_electrolyzer","p74","2029",1.1463527374623E-6
"Offgrid_30_v3","capcost","ded_electrolyzer","p74","2032",1.14940981657467E-6
"Offgrid_30_v3","capcost","ded_electrolyzer","p74","2035",1.14196467564321E-6
"Offgrid_30_v3","capcost","ded_electrolyzer","p97","2032",1.30874401218273E-6
"Offgrid_30_v3","capcost","ded_electrolyzer","p97","2035",1.30502751005791E-6
"Offgrid_30_v3","offgrid-electricity-capcost","ded_electrolyzer","p33","2026",0.908694301538128
"Offgrid_30_v3","offgrid-electricity-capcost","ded_electrolyzer","p33","2029",0.801287905236254
"Offgrid_30_v3","offgrid-electricity-capcost","ded_electrolyzer","p33","2032",0.735480405345677
"Offgrid_30_v3","offgrid-electricity-capcost","ded_electrolyzer","p33","2035",0.669173854249257
"Offgrid_30_v3","offgrid-electricity-capcost","ded_electrolyzer","p74","2026",0.857588212606821
"Offgrid_30_v3","offgrid-electricity-capcost","ded_electrolyzer","p74","2029",0.794202409771184
"Offgrid_30_v3","offgrid-electricity-capcost","ded_electrolyzer","p74","2032",0.71987385383808
"Offgrid_30_v3","offgrid-electricity-capcost","ded_electrolyzer","p74","2035",0.662359350377501
"Offgrid_30_v3","offgrid-electricity-capcost","ded_electrolyzer","p97","2032",0.796272326560081
"Offgrid_30_v3","offgrid-electricity-capcost","ded_electrolyzer","p97","2035",0.696586923685444
"Offgrid_30_v3","offgrid-electricity-fom","ded_electrolyzer","p33","2026",0.309876331093688
"Offgrid_30_v3","offgrid-electricity-fom","ded_electrolyzer","p33","2029",0.29026885573942
"Offgrid_30_v3","offgrid-electricity-fom","ded_electrolyzer","p33","2032",0.288081497974876
"Offgrid_30_v3","offgrid-electricity-fom","ded_electrolyzer","p33","2035",0.279915553391372
"Offgrid_30_v3","offgrid-electricity-fom","ded_electrolyzer","p74","2026",0.285165082439401
"Offgrid_30_v3","offgrid-electricity-fom","ded_electrolyzer","p74","2029",0.271647902007116
"Offgrid_30_v3","offgrid-electricity-fom","ded_electrolyzer","p74","2032",0.262507273202214
"Offgrid_30_v3","offgrid-electricity-fom","ded_electrolyzer","p74","2035",0.257877988780198
"Offgrid_30_v3","offgrid-electricity-fom","ded_electrolyzer","p97","2032",0.271386997749609
"Offgrid_30_v3","offgrid-electricity-fom","ded_electrolyzer","p97","2035",0.262002797800609
"Offgrid_30_v3","storage-capex","ded_electrolyzer","p33","2026",0.846049658312846
"Offgrid_30_v3","storage-capex","ded_electrolyzer","p33","2029",0.330051251807286
"Offgrid_30_v3","storage-capex","ded_electrolyzer","p33","2032",0.00424631578593954
"Offgrid_30_v3","storage-capex","ded_electrolyzer","p74","2026",2.55606088897672
"Offgrid_30_v3","storage-capex","ded_electrolyzer","p74","2029",1.78530988432578
"Offgrid_30_v3","storage-capex","ded_electrolyzer","p74","2032",0.786219781590503
"Offgrid_30_v3","storage-capex","ded_electrolyzer","p74","2035",0.329036594803548
