County Name,State Name,State Geography ID,Technology,Year,Geography ID,Levelized Cost of Electricity (LCOE) Min 2018 $/MWh $/MWh,Levelized Cost of Electricity (LCOE) Max 2018 $/MWh $/MWh,Levelized Cost of Electricity (LCOE) Median 2018 $/MWh $/MWh,Levelized Cost of Electricity (LCOE) - Capital Costs Min 2018 $,Levelized Cost of Electricity (LCOE) - Capital Costs Max 2018 $,Levelized Cost of Electricity (LCOE) - Capital Costs Median 201,FIPS
Etowah,Alabama,G01,offshore_wind,2030,G0100550,63,98,80,2300971,3100857,2847172,01055
Etowah,Alabama,G01,offshore_wind,2040,G0100550,45,66,54,1660615,2028712,1862742,01055
Etowah,Alabama,G01,offshore_wind,2050,G0100550,32,45,37,1198468,1327270,1218684,01055
Etowah,Alabama,G01,coal,2020,G0100550,81,106,95,3818479,5848320,4833399,01055
Etowah,Alabama,G01,coal,2030,G0100550,76,103,89,3643451,5481469,4562460,01055
Etowah,Alabama,G01,coal,2040,G0100550,75,100,85,3546513,5222255,4384384,01055
Etowah,Alabama,G01,coal,2050,G0100550,73,97,82,3426682,4930277,4178479,01055
Etowah,Alabama,G01,gas-cc,2020,G0100550,30,36,32,1091910,1091910,1091910,01055
Etowah,Alabama,G01,gas-cc,2030,G0100550,32,40,33,853474,853474,853474,01055
Etowah,Alabama,G01,gas-cc,2040,G0100550,34,43,34,827529,827529,827529,01055
Etowah,Alabama,G01,gas-cc,2050,G0100550,37,47,37,801810,801810,801810,01055
Etowah,Alabama,G01,gas-cc-ccs,2020,G0100550,51,51,51,2257490,2257490,2257490,01055
Etowah,Alabama,G01,gas-cc-ccs,2030,G0100550,53,53,53,1990084,1990084,1990084,01055
Etowah,Alabama,G01,gas-cc-ccs,2040,G0100550,55,55,55,1854741,1854741,1854741,01055
Etowah,Alabama,G01,gas-cc-ccs,2050,G0100550,57,58,57,1728779,1728779,1728779,01055
Etowah,Alabama,G01,gas-ct,2020,G0100550,44,128,47,924379,924379,924379,01055
Etowah,Alabama,G01,gas-ct,2030,G0100550,48,156,51,853290,853290,853290,01055
Etowah,Alabama,G01,gas-ct,2040,G0100550,51,171,54,825889,825889,825889,01055
Etowah,Alabama,G01,gas-ct,2050,G0100550,56,69,57,801237,801237,801237,01055
Etowah,Alabama,G01,hydro,2020,G0100550,17,28,23,4961523,8103631,6532994,01055
Etowah,Alabama,G01,hydro,2030,G0100550,23,33,27,4961523,8103631,6532994,01055
Etowah,Alabama,G01,hydro,2040,G0100550,23,32,27,4961523,8103631,6532994,01055
Etowah,Alabama,G01,hydro,2050,G0100550,23,32,26,4961523,8103631,6532994,01055
Etowah,Alabama,G01,nuclear,2020,G0100550,80,80,80,5968762,5968762,5968762,01055
Etowah,Alabama,G01,nuclear,2030,G0100550,78,78,78,5743866,5743866,5743866,01055
Etowah,Alabama,G01,nuclear,2040,G0100550,75,75,75,5431154,5431154,5431154,01055
Etowah,Alabama,G01,nuclear,2050,G0100550,71,71,71,5084713,5084713,5084713,01055
Etowah,Alabama,G01,pv,2020,G0100550,40,53,51,1085440,1085440,1085440,01055
Etowah,Alabama,G01,pv,2030,G0100550,36,49,47,870400,870400,870400,01055
Etowah,Alabama,G01,pv,2040,G0100550,32,45,43,773903,773903,773903,01055
