id,type,ba_zone,commodity,fac_id,fac_zip,lat,lon,cod,ref_cap,cap_dec,prod_2018,int_coal,int_met_coal,int_coke,int_ddfo,int_ng,int_hgl,int_elec,int_opet,int_rfo,int_ng_feed,int_coal_feed,int_coke_feed,int_h2_feed,int_lighthgl_feed,int_medhgl_feed,int_heavypchem_feed,int_m_scrap,int_m_ore,int_m_limestone,int_m_cullet,int_m_silica,int_m_soda_ash,co2_rate_proc,co2_rate_comb,newfac_ref_cap,cost_cap,cost_fom,cost_vom,ccs_cap_rate_comb,ccs_cap_rate_prod
* Vintage,Technology,BA Region,Sector,Faciity ID,Zip Code,Latitude,Longitude,Commercial operation date,Capacity [metric-tons/yr],fixed changes to capacity post 2022 [metric-tons/yr],Production in 2018 [metric_ton],Industrial Coal intensity [MMBtu-fuel-input/metric_ton-output],Metallurgical Coal intensity  [MMBtu-fuel-input/metric_ton-output],Coke intensity [MMBtu-fuel-input/metric_ton-output],Distilate Fuel Oil intensity [MMBtu-fuel-input/metric_ton-output],Natural gas intensity [MMBtu-fuel-input/metric_ton-output],Propane intensity [MMBtu-fuel-input/metric_ton-output],Electricity intensity [MWh-input/metric_ton-output],Other Petroleum intensity [MMBtu-fuel-input/metric_ton-output],Residual Fuel Oil intensity [MMBtu-fuel-input/metric_ton-output],Natural gas feedstock intensity  [MMBtu-fuel-input/metric_ton-output],Industrial Coal feedstock intensity  [MMBtu-fuel-input/metric_ton-output],Coke feedstock intensity  [MMBtu-fuel-input/metric_ton-output],Hydrogen feedstock intensity [metric_ton-h2/metric_ton-output],Ethane feedstock intensity  [MMBtu-input/metric_ton-output],Propane/Butane feedstock intensity  [MMBtu-input/metric_ton-output],Heavy feedstock intensity  [MMBtu-input/metric_ton-output],Scrap intensity [metric_ton-scrap/metric_ton-output],Ore intensity [metric_ton-ore/metric_ton-output],Limestone intensity [metric_ton-input/metric_ton-output],Cullet intensity [tonne-scrap/tonne-output],Silica intensity [tonne-input/tonne-output],Soda ash intensity [tonne-input/tonne-output],Carbon emission process intensity [CO2 metric_ton/metric_ton-output],Carbon emission combustion intensity [CO2 metric_ton/metric_ton-output],Capacity of reference facility for new vintages [metric tons/yr],CAPEX [2018$/(metric ton/yr)],Fixed O&M cost [2018$/metric_ton],Variable O&M cost [2018$/metric_ton],Carbon capture rate from combustion [%],Carbon capture rate from process [%]
tech1,smr_haber,p99,ammonia,1000630,23860,37.1815,-77.1621,1928,530000,0,402800,0,0,0,0,11.41124587,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.605480706,,1764.644258,44.11610644,0,0,0
tech2,smr_haber,p48,ammonia,1002380,79007,35.6411,-101.4203,1968,490000,0,372400,0,0,0,0,11.41124587,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.605480706,,1764.644258,44.11610644,0,0,0
tech3,smr_haber,p58,ammonia,1002301,70346,30.086917,-90.957861,1966,3900000,0,2964000,0,0,0,0,11.41124587,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.605480706,,1764.644258,44.11610644,0,0,0
tech4,smr_haber,p87,ammonia,1004183,39194,32.904444,-90.383056,1951,510000,0,387600,0,0,0,0,11.41124587,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.605480706,,1764.644258,44.11610644,0,0,0
tech5,smr_haber,p45,ammonia,1006005,51054,42.32786,-96.36489,1964,1090000,0,828400,0,0,0,0.000427953,11.41124587,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.605512357,,1764.644258,44.11610644,0,0,0
tech6,smr_haber,p89,ammonia,1007770,35616,34.80302,-87.93974,1962,160000,0,121600,0,0,0,6.34E-05,14.16432738,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.751563898,,1764.644258,44.11610644,0,0,0
tech7,coal_gasification,p53,ammonia,1002170,67337,37.04536,-95.60517,2005,430000,0,326800,0,0,18.14241845,0,2.657329224,0,1.027820298,0,0,0,0,22.34761478,0,0,0,0,0,0,0,,,,0.892018779,1.998962962,,1764.644258,44.11610644,0,0,0
tech8,smr_haber,p24,ammonia,1005924,82001,41.0949,-104.908,2003,180000,0,136800,0,0,0,0,11.41124587,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.605480706,,1764.644258,44.11610644,0,0,0
tech9,smr_haber,p5,ammonia,1005766,97054,45.911158,-122.824231,2003,100000,0,76000,0,0,0,0,11.41124587,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.605480706,,1764.644258,44.11610644,0,0,0
tech10,smr_haber,p58,ammonia,1012698,70094,29.965,-90.26248,2013,800000,0,608000,0,0,0,0,11.41124587,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.605480706,,1764.644258,44.11610644,0,0,0
tech11,smr_haber,p85,ammonia,1003993,71730,33.248851,-92.661647,2000,400000,0,304000,0,0,0,0,11.41124587,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.605480706,,1764.644258,44.11610644,0,0,0
tech12,smr_haber,p80,ammonia,1005502,61025,42.44311,-90.55686,1965,340000,0,258400,0,0,0,0,11.41124587,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.605480706,,1764.644258,44.11610644,0,0,0
tech13,smr_haber,p70,ammonia,1002790,50801,41.070867,-94.356733,1966,30000,0,22800,0,0,0,0,11.41124587,0.017152077,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.606559057,,1764.644258,44.11610644,0,0,0
tech14,coal_gasification,p36,ammonia,1002440,58523,47.360814,-101.838222,1984,360000,0,273600,14.31203652,0,0,0,0,0,1.027820298,0,0,0,17.62939598,0,0,0,0,0,0,0,0,,,,0.892018779,1.354920497,,1764.644258,44.11610644,0,0,0
tech15,smr_haber,p70,ammonia,1012918,52658,40.69,-91.23,2017,770000,0,585200,0,0,0,0,15.22319295,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.807742618,,1764.644258,44.11610644,0,0,0
tech16,smr_haber,p50,ammonia,1002407,73701,36.379476,-97.76509,1974,930000,0,706800,0,0,0,0,11.41124587,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.605480706,,1764.644258,44.11610644,0,0,0
tech17,smr_haber,p40,ammonia,1006575,68310,40.319088,-96.8414,1964,270000,0,205200,0,0,0,0.002472558,11.41124587,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.605663576,,1764.644258,44.11610644,0,0,0
tech18,smr_haber,p53,ammonia,1006037,67801,37.77995,-100.00572,1968,280000,0,212800,0,0,0,0,11.41124587,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.605480706,,1764.644258,44.11610644,0,0,0
tech19,smr_haber,p45,ammonia,1007046,50532,42.499406,-94.017177,1964,350000,0,266000,0,0,0,0,11.41124587,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.605480706,,1764.644258,44.11610644,0,0,0
tech20,smr_haber,p40,ammonia,1013265,68361,40.53892,-97.58003,2017,30000,0,22800,0,0,0,0,13.1330718,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.696840789,,1764.644258,44.11610644,0,0,0
tech21,smr_haber,p58,ammonia,1003489,70734,30.225784,-91.053154,1967,450000,0,342000,0,0,0,0.006260892,11.41124587,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.605943761,,1764.644258,44.11610644,0,0,0
tech22,smr_haber,p94,ammonia,1004340,30903,33.47,-81.97,2000,790000,0,600400,0,0,0,0,10.09365348,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.535569254,,1764.644258,44.11610644,0,0,0
tech23,smr_haber,p112,ammonia,1002229,45804,40.711256,-84.138157,2000,610000,0,463600,0,0,0,0,11.41124587,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.605480706,,1764.644258,44.11610644,0,0,0
tech24,smr_haber,p51,ammonia,1005867,74361,36.241247,-95.278349,1942,210000,0,159600,0,0,0,0,11.01092819,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.58423985,,1764.644258,44.11610644,0,0,0
tech25,smr_haber,p21,ammonia,1003087,82901,41.53841,-109.12746,1985,190000,0,144400,0,0,0,0.010549799,11.41124587,0.002082409,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.60639189,,1764.644258,44.11610644,0,0,0
tech26,smr_haber,p50,ammonia,1005788,73801,36.43722,-99.47108,1976,440000,0,334400,0,0,0,0,11.41124587,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.605480706,,1764.644258,44.11610644,0,0,0
tech27,smr_haber,p58,ammonia,1009795,70086,30.08367,-90.91325,2000,510000,0,387600,0,0,0,0.046414861,15.50945305,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.826364422,,1764.644258,44.11610644,0,0,0
tech28,smr_haber,p92,ammonia,1012789,37809,36.1939,-83.00266,2016,60000,0,45600,0,0,0,0,11.41124587,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.605480706,,1764.644258,44.11610644,0,0,0
tech29,smr_haber,p51,ammonia,1002275,74019,36.233516,-95.719098,2000,1020000,0,775200,0,0,0,0,11.41124587,0,0.374528273,0,0,20.04410143,0,0,0,0,0,0,0,0,0,,,,0.892018779,0.605480706,,1764.644258,44.11610644,0,0,0
tech30,port,p89,cement,1006659,35040,33.1043,-86.7985,1960,1770000,0,1370000,1.031226178,0,0.042967757,0.021483879,0.549535003,0.004296776,0.141895672,0.773419634,0,0,0,0,0,0,0,0,0,0,1.159973256,,,,0.455175,0.410930909,,167.3941293,19.78200491,1.6,0,0
tech31,port,p116,cement,1007566,25401,39.434879,-77.977911,1800,1320000,0,1190000,1.352388582,0,0.056349524,0.028174762,0.720680757,0.005634952,0.141895672,1.014291436,0,0,0,0,0,0,0,0,0,0,1.159973256,,,,0.455175,0.288251826,,167.3941293,19.78200491,1.6,0,0
