State,Residential,Commercial,Industrial,All Sectors
Connecticut,32.28,24.46,19.07,27.33
Maine,28.11,21.33,14.00,22.85
Massachusetts,30.65,22.87,18.95,25.31
New Hampshire,23.66,19.51,16.06,20.69
Rhode Island,28.89,23.81,20.14,25.61
Vermont,23.20,19.51,12.02,19.12
New Jersey,20.16,15.41,13.01,16.86
New York,25.67,19.14,8.92,19.99
Pennsylvania,18.98,11.99,8.59,13.21
Illinois,18.32,12.78,9.81,13.36
Indiana,17.01,14.52,9.01,12.62
Michigan,19.95,14.54,8.53,14.36
Ohio,16.34,11.02,7.90,11.45
Wisconsin,18.27,12.70,8.29,12.81
Iowa,13.41,9.79,6.04,8.48
Kansas,14.78,11.05,7.79,11.09
Minnesota,15.12,11.11,8.37,11.54
Missouri,12.83,9.66,7.66,10.54
Nebraska,13.10,8.40,7.90,9.33
North Dakota,11.69,6.97,7.58,7.95
South Dakota,13.37,10.48,8.46,11.10
Delaware,17.96,12.71,8.61,14.20
District of Columbia,21.32,18.50,14.49,18.75
Florida,15.27,11.63,8.88,13.29
Georgia,14.84,11.65,7.01,11.62
Maryland,19.08,14.07,10.61,15.97
North Carolina,14.48,10.15,7.60,11.38
South Carolina,15.77,10.80,6.66,11.05
Virginia,15.43,9.22,9.11,10.93
West Virginia,16.04,12.18,8.43,11.42
Alabama,16.76,14.58,7.81,12.49
Kentucky,13.91,12.13,6.93,10.47
Mississippi,15.05,13.24,7.39,11.68
Tennessee,14.05,13.19,6.80,11.78
Arkansas,13.61,11.07,6.39,9.60
Louisiana,13.46,12.01,6.89,9.89
Oklahoma,13.30,8.12,5.51,8.53
Texas,15.55,9.00,6.51,9.95
Arizona,15.73,12.15,7.87,12.74
Colorado,15.61,12.27,9.15,12.49
Idaho,11.89,9.12,7.55,9.51
Montana,12.33,11.29,6.45,10.23
Nevada,13.36,8.98,7.04,9.66
New Mexico,14.44,10.71,6.42,9.30
Utah,12.52,9.53,7.84,9.97
Wyoming,13.05,9.37,8.47,9.52
California,31.77,24.39,18.07,25.54
Oregon,15.38,11.38,7.94,11.63
Washington,13.03,11.27,6.46,10.84
Alaska,25.96,22.16,20.01,22.90
Hawaii,42.44,37.37,32.35,36.83
