BA,2020,2025,2030,2035,2040,2045,2050
p1,59.7483,59.7483,59.7483,59.7483,59.7483,59.7483,59.7483
p2,56.9084,56.9084,56.9084,56.9084,56.9084,56.9084,56.9084
p3,48.8255,48.8255,48.8255,48.8255,48.8255,48.8255,48.8255
p4,54.3882,54.3882,54.3882,54.3882,54.3882,54.3882,54.3882
p5,61.4478,61.4478,61.4478,61.4478,61.4478,61.4478,61.4478
p6,71.6027,71.6027,71.6027,71.6027,71.6027,71.6027,71.6027
p7,55.7629,55.7629,55.7629,55.7629,55.7629,55.7629,55.7629
p8,70.5421,70.5421,70.5421,70.5421,70.5421,70.5421,70.5421
p9,74.1411,74.1411,74.1411,74.1411,74.1411,74.1411,74.1411
p10,71.1929,71.1929,71.1929,71.1929,71.1929,71.1929,71.1929
p11,73.8933,73.8933,73.8933,73.8933,73.8933,73.8933,73.8933
p12,63.7552,63.7552,63.7552,63.7552,63.7552,63.7552,63.7552
p13,60.2421,60.2421,60.2421,60.2421,60.2421,60.2421,60.2421
p14,54.8706,54.8706,54.8706,54.8706,54.8706,54.8706,54.8706
p15,53.9151,53.9151,53.9151,53.9151,53.9151,53.9151,53.9151
p16,44.206,44.206,44.206,44.206,44.206,44.206,44.206
p17,40.974,40.974,40.974,40.974,40.974,40.974,40.974
p18,36.9116,36.9116,36.9116,36.9116,36.9116,36.9116,36.9116
p19,26.2634,26.2634,26.2634,26.2634,26.2634,26.2634,26.2634
p20,29.2577,29.2577,29.2577,29.2577,29.2577,29.2577,29.2577
p21,36.1242,36.1242,36.1242,36.1242,36.1242,36.1242,36.1242
p22,32.1398,32.1398,32.1398,32.1398,32.1398,32.1398,32.1398
p23,29.6974,29.6974,29.6974,29.6974,29.6974,29.6974,29.6974
p24,28.7972,28.7972,28.7972,28.7972,28.7972,28.7972,28.7972
p25,46.4701,46.4701,46.4701,46.4701,46.4701,46.4701,46.4701
p27,63.4693,63.4693,63.4693,63.4693,63.4693,63.4693,63.4693
p28,64.0117,64.0117,64.0117,64.0117,64.0117,64.0117,64.0117
p29,50.9012,50.9012,50.9012,50.9012,50.9012,50.9012,50.9012
p30,59.4341,59.4341,59.4341,59.4341,59.4341,59.4341,59.4341
p31,45.9137,45.9137,45.9137,45.9137,45.9137,45.9137,45.9137
p32,19.6811,19.6811,19.6811,19.6811,19.6811,19.6811,19.6811
p34,32.4916,32.4916,32.4916,32.4916,32.4916,32.4916,32.4916
p36,14.8496,14.8496,14.8496,14.8496,14.8496,14.8496,14.8496
p37,8.26729,8.26729,8.26729,8.26729,8.26729,8.26729,8.26729
p38,8.30947,8.30947,8.30947,8.30947,8.30947,8.30947,8.30947
p39,26.6194,26.6194,26.6194,26.6194,26.6194,26.6194,26.6194
p40,16.0153,16.0153,16.0153,16.0153,16.0153,16.0153,16.0153
p41,13.0943,13.0943,13.0943,13.0943,13.0943,13.0943,13.0943
p42,8.67594,8.67594,8.67594,8.67594,8.67594,8.67594,8.67594
p44,5.4575,5.4575,5.4575,5.4575,5.4575,5.4575,5.4575
p45,9.32288,9.32288,9.32288,9.32288,9.32288,9.32288,9.32288
p46,5.08175,5.08175,5.08175,5.08175,5.08175,5.08175,5.08175
p47,42.7469,42.7469,42.7469,42.7469,42.7469,42.7469,42.7469
p48,39.5087,39.5087,39.5087,39.5087,39.5087,39.5087,39.5087
p49,32.0447,32.0447,32.0447,32.0447,32.0447,32.0447,32.0447
p50,28.6938,28.6938,28.6938,28.6938,28.6938,28.6938,28.6938
p51,25.2863,25.2863,25.2863,25.2863,25.2863,25.2863,25.2863
p52,30.072,30.072,30.072,30.072,30.072,30.072,30.072
p54,16.6076,16.6076,16.6076,16.6076,16.6076,16.6076,16.6076
p55,23.0193,23.0193,23.0193,23.0193,23.0193,23.0193,23.0193
p56,24.8154,24.8154,24.8154,24.8154,24.8154,24.8154,24.8154
p57,35.6418,35.6418,35.6418,35.6418,35.6418,35.6418,35.6418
p58,43.8929,43.8929,43.8929,43.8929,43.8929,43.8929,43.8929
p59,49.369,49.369,49.369,49.369,49.369,49.369,49.369
p60,43.5423,43.5423,43.5423,43.5423,43.5423,43.5423,43.5423
p61,47.9874,47.9874,47.9874,47.9874,47.9874,47.9874,47.9874
p62,45.7369,45.7369,45.7369,45.7369,45.7369,45.7369,45.7369
p63,33.5182,33.5182,33.5182,33.5182,33.5182,33.5182,33.5182
p64,41.1241,41.1241,41.1241,41.1241,41.1241,41.1241,41.1241
p65,43.9175,43.9175,43.9175,43.9175,43.9175,43.9175,43.9175
p66,42.1677,42.1677,42.1677,42.1677,42.1677,42.1677,42.1677
p67,42.1181,42.1181,42.1181,42.1181,42.1181,42.1181,42.1181
p68,3.00501,3.00501,3.00501,3.00501,3.00501,3.00501,3.00501
p69,7.17768,7.17768,7.17768,7.17768,7.17768,7.17768,7.17768
p70,9.2637,9.2637,9.2637,9.2637,9.2637,9.2637,9.2637
p71,17.2423,17.2423,17.2423,17.2423,17.2423,17.2423,17.2423
p72,20.0825,20.0825,20.0825,20.0825,20.0825,20.0825,20.0825
p73,23.63,23.63,23.63,23.63,23.63,23.63,23.63
p75,6.48967,6.48967,6.48967,6.48967,6.48967,6.48967,6.48967
p76,7.45642,7.45642,7.45642,7.45642,7.45642,7.45642,7.45642
p77,6.19555,6.19555,6.19555,6.19555,6.19555,6.19555,6.19555
p78,9.51378,9.51378,9.51378,9.51378,9.51378,9.51378,9.51378
p79,11.0622,11.0622,11.0622,11.0622,11.0622,11.0622,11.0622
p80,14.1423,14.1423,14.1423,14.1423,14.1423,14.1423,14.1423
p81,11.7916,11.7916,11.7916,11.7916,11.7916,11.7916,11.7916
p82,14.7495,14.7495,14.7495,14.7495,14.7495,14.7495,14.7495
p83,18.6518,18.6518,18.6518,18.6518,18.6518,18.6518,18.6518
p84,25.3939,25.3939,25.3939,25.3939,25.3939,25.3939,25.3939
p85,31.8374,31.8374,31.8374,31.8374,31.8374,31.8374,31.8374
p86,38.5411,38.5411,38.5411,38.5411,38.5411,38.5411,38.5411
p87,37.7082,37.7082,37.7082,37.7082,37.7082,37.7082,37.7082
p88,31.9745,31.9745,31.9745,31.9745,31.9745,31.9745,31.9745
p89,36.1424,36.1424,36.1424,36.1424,36.1424,36.1424,36.1424
p90,42.3053,42.3053,42.3053,42.3053,42.3053,42.3053,42.3053
p91,42.9915,42.9915,42.9915,42.9915,42.9915,42.9915,42.9915
p92,29.5023,29.5023,29.5023,29.5023,29.5023,29.5023,29.5023
p93,28.7446,28.7446,28.7446,28.7446,28.7446,28.7446,28.7446
p94,39.0473,39.0473,39.0473,39.0473,39.0473,39.0473,39.0473
p96,47.9832,47.9832,47.9832,47.9832,47.9832,47.9832,47.9832
p98,44.574,44.574,44.574,44.574,44.574,44.574,44.574
p99,47.3333,47.3333,47.3333,47.3333,47.3333,47.3333,47.3333
p100,37.4183,37.4183,37.4183,37.4183,37.4183,37.4183,37.4183
p101,57.3254,57.3254,57.3254,57.3254,57.3254,57.3254,57.3254
p102,62.8998,62.8998,62.8998,62.8998,62.8998,62.8998,62.8998
p103,23.9054,23.9054,23.9054,23.9054,23.9054,23.9054,23.9054
p104,18.8838,18.8838,18.8838,18.8838,18.8838,18.8838,18.8838
p105,19.5939,19.5939,19.5939,19.5939,19.5939,19.5939,19.5939
p106,20.9926,20.9926,20.9926,20.9926,20.9926,20.9926,20.9926
p107,24.115,24.115,24.115,24.115,24.115,24.115,24.115
p108,25.5615,25.5615,25.5615,25.5615,25.5615,25.5615,25.5615
p109,24.9453,24.9453,24.9453,24.9453,24.9453,24.9453,24.9453
p110,32.4453,32.4453,32.4453,32.4453,32.4453,32.4453,32.4453
p111,25.7812,25.7812,25.7812,25.7812,25.7812,25.7812,25.7812
p112,25.379,25.379,25.379,25.379,25.379,25.379,25.379
p113,24.2063,24.2063,24.2063,24.2063,24.2063,24.2063,24.2063
p114,24.6901,24.6901,24.6901,24.6901,24.6901,24.6901,24.6901
p115,29.9665,29.9665,29.9665,29.9665,29.9665,29.9665,29.9665
p116,32.1222,32.1222,32.1222,32.1222,32.1222,32.1222,32.1222
p117,31.5433,31.5433,31.5433,31.5433,31.5433,31.5433,31.5433
p118,37.3585,37.3585,37.3585,37.3585,37.3585,37.3585,37.3585
p119,33.2725,33.2725,33.2725,33.2725,33.2725,33.2725,33.2725
p120,37.6168,37.6168,37.6168,37.6168,37.6168,37.6168,37.6168
p121,36.7662,36.7662,36.7662,36.7662,36.7662,36.7662,36.7662
p122,39.11,39.11,39.11,39.11,39.11,39.11,39.11
p123,39.1096,39.1096,39.1096,39.1096,39.1096,39.1096,39.1096
p124,44.3696,44.3696,44.3696,44.3696,44.3696,44.3696,44.3696
p125,40.489,40.489,40.489,40.489,40.489,40.489,40.489
p126,39.873,39.873,39.873,39.873,39.873,39.873,39.873
p127,34.9488,34.9488,34.9488,34.9488,34.9488,34.9488,34.9488
p128,41.253,41.253,41.253,41.253,41.253,41.253,41.253
p129,30.1658,30.1658,30.1658,30.1658,30.1658,30.1658,30.1658
p130,39.0267,39.0267,39.0267,39.0267,39.0267,39.0267,39.0267
p131,39.0996,39.0996,39.0996,39.0996,39.0996,39.0996,39.0996
p132,39.7438,39.7438,39.7438,39.7438,39.7438,39.7438,39.7438
p133,39.0545,39.0545,39.0545,39.0545,39.0545,39.0545,39.0545
p134,36.8048,36.8048,36.8048,36.8048,36.8048,36.8048,36.8048
