State,Region,ELE_RES,ELE_COM,ELE_IND,ELE_ALL,ELE_Adder,ELE_Wholesale_All,ELE_Wholesale_IND,Gas,CCS,CCS2
Connecticut,ISO-NE,32.28,24.46,19.07,27.33,9.62885,17.70115,9.44115,6.8,19,15.5
Maine,ISO-NE,28.11,21.33,14,22.85,9.62885,13.22115,4.37115,8.66,22,20
Massachusetts,ISO-NE,30.65,22.87,18.95,25.31,9.62885,15.68115,9.32115,13.2,21,18.5
New Hampshire,ISO-NE,23.66,19.51,16.06,20.69,9.62885,11.06115,6.43115,9.28,20,17
Rhode Island,ISO-NE,28.89,23.81,20.14,25.61,9.62885,15.98115,10.51115,11.68,20.5,17.75
Vermont,ISO-NE,23.2,19.51,12.02,19.12,9.62885,9.49115,2.39115,4.52,22.36,20.54
New Jersey,PJM,20.16,15.41,13.01,16.86,5.83594,11.02406,7.17406,7.96,17,12.5
New York,NYISO,25.67,19.14,8.92,19.99,8.1959,11.7941,0.7241,10.77,19,15.5
Pennsylvania,PJM,18.98,11.99,8.59,13.21,5.83594,7.37406,2.75406,9.38,18,14
Illinois,MISO,18.32,12.78,9.81,13.36,4.99995,8.36005,4.81005,6.54,15,9.5
Indiana,MISO,17.01,14.52,9.01,12.62,4.99995,7.62005,4.01005,4.91,14.3,8.45
Michigan,MISO,19.95,14.54,8.53,14.36,4.99995,9.36005,3.53005,7.57,14.7,9.05
Ohio,PJM/MISO,16.34,11.02,7.9,11.45,4.6945,6.7555,3.2055,7.73,15.3,9.95
Wisconsin,MISO,18.27,12.7,8.29,12.81,4.99995,7.81005,3.29005,5.76,16,11
Iowa,MISO,13.41,9.79,6.04,8.48,4.99995,3.48005,1.04005,5.65,15.5,10.25
Kansas,SPP,14.78,11.05,7.79,11.09,3.9934,7.0966,3.7966,4.48,14.9,9.35
Minnesota,MISO,15.12,11.11,8.37,11.54,4.99995,6.54005,3.37005,5.1,19.5,16.25
Missouri,MISO/SPP,12.83,9.66,7.66,10.54,4.3214,6.2186,3.3386,7.98,18,14
Nebraska,Entergy hub,13.1,8.4,7.9,9.33,3.922675,5.407325,3.977325,4.37,14.8,9.2
North Dakota,Entergy hub,11.69,6.97,7.58,7.95,3.922675,4.027325,3.657325,2.21,16.3,11.45
South Dakota,Entergy hub,13.37,10.48,8.46,11.1,3.922675,7.177325,4.537325,4.82,15.4,10.1
Delaware,PJM,17.96,12.71,8.61,14.2,5.83594,8.36406,2.77406,12.63,18,14
Florida,Bilateral (no RTO),15.27,11.63,8.88,13.29,5.4489,7.8411,3.4311,4.67,16.3,11.45
Georgia,SERC bilateral,14.84,11.65,7.01,11.62,4.715585714,6.904414286,2.294414286,4.77,15.3,9.95
Maryland,PJM,19.08,14.07,10.61,15.97,5.83594,10.13406,4.77406,11.89,16,11
North Carolina,PJM/SERC bilateral,14.48,10.15,7.6,11.38,4.6658,6.7142,2.9342,5.48,14.9,9.35
South Carolina,SERC bilateral,15.77,10.8,6.66,11.05,4.715585714,6.334414286,1.944414286,4.92,14.8,9.2
Virginia,PJM,15.43,9.22,9.11,10.93,5.83594,5.09406,3.27406,4.34,15.3,9.95
West Virginia,SERC bilateral,16.04,12.18,8.43,11.42,4.715585714,6.704414286,3.714414286,3.93,14,8
Alabama,SERC bilateral,16.76,14.58,7.81,12.49,4.715585714,7.774414286,3.094414286,3.45,13,6.5
Kentucky,SERC bilateral,13.91,12.13,6.93,10.47,4.715585714,5.754414286,2.214414286,3.54,15,9.5
Mississippi,SERC bilateral,15.05,13.24,7.39,11.68,4.715585714,6.964414286,2.674414286,4.43,16,11
Tennessee,SERC bilateral,14.05,13.19,6.8,11.78,4.715585714,7.064414286,2.084414286,4.43,17,12.5
Arkansas,SPP,13.61,11.07,6.39,9.6,3.9934,5.6066,2.3966,7.58,15,9.5
Louisiana,Entergy hub,13.46,12.01,6.89,9.89,3.922675,5.967325,2.967325,3.38,14.3,8.45
Oklahoma,SPP,13.3,8.12,5.51,8.53,3.9934,4.5366,1.5166,3.03,15.3,9.95
Texas,ERCOT/SPP,15.55,9,6.51,9.95,4.0795,5.8705,2.4305,2.36,14.4,8.6
Arizona,WECC-Southwest,15.73,12.15,7.87,12.74,4.4239,8.3161,3.4461,5.37,18,14
Colorado,WECC-Rocky/Bilateral,15.61,12.27,9.15,12.49,5.1209,7.3691,4.0291,7.59,17.3,12.95
Idaho,WECC-Northwest,11.89,9.12,7.55,9.51,4.24186,5.26814,3.30814,5.08,17.3,12.95
Montana,WECC-Northwest,12.33,11.29,6.45,10.23,4.24186,5.98814,2.20814,6.25,16.3,11.45
Nevada,WECC-Southwest,13.36,8.98,7.04,9.66,4.4239,5.2361,2.6161,10.69,17.3,12.95
New Mexico,Southwest bilateral,14.44,10.71,6.42,9.3,3.813,5.487,2.607,3.97,16.5,11.75
Utah,WECC-Southwest,12.52,9.53,7.84,9.97,4.4239,5.5461,3.4161,7.75,17.3,12.95
Wyoming,WECC-Northwest,13.05,9.37,8.47,9.52,4.24186,5.27814,4.22814,4.14,16.5,11.75
California,CAISO,31.77,24.39,18.07,25.54,10.4714,15.0686,7.5986,11.38,19,15.5
Oregon,WECC-Northwest,15.38,11.38,7.94,11.63,4.24186,7.38814,3.69814,6.9,20,17
Washington,WECC-Northwest,13.03,11.27,6.46,10.84,4.24186,6.59814,2.21814,12.3,21,18.5
Alaska,NA,25.96,22.16,20.01,22.9,12.24465,10.65535,7.76535,6.35,15,9.5
Hawaii,NA,42.44,37.37,32.35,36.83,12.24465,24.58535,20.10535,28.35,15,9.5
