ei,state_abb,t,cost
int_coal,id,2010,1.722805202
int_coal,id,2011,1.722805202
int_coal,id,2012,1.722805202
int_coal,id,2013,1.722805202
int_coal,id,2014,1.722805202
int_coal,id,2015,1.722805202
int_coal,id,2016,1.722805202
int_coal,id,2017,1.722805202
int_coal,id,2018,1.722805202
int_coal,id,2019,1.722805202
int_coal,id,2020,1.722805202
int_coal,id,2021,1.722805202
int_coal,id,2022,1.722805202
int_coal,id,2023,1.722805202
int_coal,id,2024,1.722805202
int_coal,id,2025,1.71222086
int_coal,id,2026,1.614519241
int_coal,id,2027,1.612890881
int_coal,id,2028,1.518445984
int_coal,id,2029,1.55345573
int_coal,id,2030,1.66092751
int_coal,id,2031,1.703264878
int_coal,id,2032,2.453938978
int_coal,id,2033,2.46615168
int_coal,id,2034,2.419743412
int_coal,id,2035,2.378220224
int_coal,id,2036,2.360308261
int_coal,id,2037,2.35623736
int_coal,id,2038,2.328555235
int_coal,id,2039,3.124009243
int_coal,id,2040,3.122380883
int_coal,id,2041,3.121566703
int_coal,id,2042,3.119938343
int_coal,id,2043,3.126451784
int_coal,id,2044,3.130522684
int_coal,id,2045,3.132965225
int_coal,id,2046,3.145992107
int_coal,id,2047,3.151691368
int_coal,id,2048,3.154133909
int_coal,id,2049,3.153319729
int_coal,id,2050,3.15901899
int_coal,WA,2010,2.62247427
int_coal,WA,2011,2.62247427
int_coal,WA,2012,2.62247427
int_coal,WA,2013,2.62247427
int_coal,WA,2014,2.62247427
int_coal,WA,2015,2.62247427
int_coal,WA,2016,2.62247427
int_coal,WA,2017,2.62247427
int_coal,WA,2018,2.62247427
int_coal,WA,2019,2.62247427
int_coal,WA,2020,2.62247427
int_coal,WA,2021,2.62247427
int_coal,WA,2022,2.62247427
int_coal,WA,2023,2.62247427
int_coal,WA,2024,2.62247427
int_coal,WA,2025,2.614332468
int_coal,WA,2026,3.097955478
int_coal,WA,2027,3.067016633
int_coal,WA,2028,3.045033769
int_coal,WA,2029,3.067016633
int_coal,WA,2030,3.040148688
int_coal,WA,2031,3.034449427
int_coal,WA,2032,2.954659772
int_coal,WA,2033,2.922906746
int_coal,WA,2034,2.897667161
int_coal,WA,2035,2.874055937
int_coal,WA,2036,2.864285775
int_coal,WA,2037,2.842302911
int_coal,WA,2038,2.799151363
int_coal,WA,2039,2.773097598
int_coal,WA,2040,2.752743094
int_coal,WA,2041,2.735645311
int_coal,WA,2042,2.722618428
int_coal,WA,2043,2.719361708
int_coal,WA,2044,2.707963186
int_coal,WA,2045,2.696564663
int_coal,WA,2046,2.693307943
int_coal,WA,2047,2.973385915
int_coal,WA,2048,2.963615753
int_coal,WA,2049,2.951403051
int_coal,WA,2050,2.94407543
int_coal,OR,2010,2.62247427
int_coal,OR,2011,2.62247427
int_coal,OR,2012,2.62247427
int_coal,OR,2013,2.62247427
int_coal,OR,2014,2.62247427
int_coal,OR,2015,2.62247427
int_coal,OR,2016,2.62247427
int_coal,OR,2017,2.62247427
int_coal,OR,2018,2.62247427
int_coal,OR,2019,2.62247427
int_coal,OR,2020,2.62247427
int_coal,OR,2021,2.62247427
int_coal,OR,2022,2.62247427
int_coal,OR,2023,2.62247427
int_coal,OR,2024,2.62247427
int_coal,OR,2025,2.614332468
int_coal,OR,2026,3.097955478
int_coal,OR,2027,3.067016633
int_coal,OR,2028,3.045033769
int_coal,OR,2029,3.067016633
int_coal,OR,2030,3.040148688
int_coal,OR,2031,3.034449427
int_coal,OR,2032,2.954659772
int_coal,OR,2033,2.922906746
int_coal,OR,2034,2.897667161
int_coal,OR,2035,2.874055937
int_coal,OR,2036,2.864285775
int_coal,OR,2037,2.842302911
int_coal,OR,2038,2.799151363
int_coal,OR,2039,2.773097598
int_coal,OR,2040,2.752743094
int_coal,OR,2041,2.735645311
int_coal,OR,2042,2.722618428
int_coal,OR,2043,2.719361708
int_coal,OR,2044,2.707963186
int_coal,OR,2045,2.696564663
int_coal,OR,2046,2.693307943
int_coal,OR,2047,2.973385915
int_coal,OR,2048,2.963615753
int_coal,OR,2049,2.951403051
int_coal,OR,2050,2.94407543
int_coal,CA,2010,2.62247427
int_coal,CA,2011,2.62247427
int_coal,CA,2012,2.62247427
int_coal,CA,2013,2.62247427
int_coal,CA,2014,2.62247427
int_coal,CA,2015,2.62247427
int_coal,CA,2016,2.62247427
int_coal,CA,2017,2.62247427
int_coal,CA,2018,2.62247427
int_coal,CA,2019,2.62247427
int_coal,CA,2020,2.62247427
int_coal,CA,2021,2.62247427
int_coal,CA,2022,2.62247427
int_coal,CA,2023,2.62247427
int_coal,CA,2024,2.62247427
int_coal,CA,2025,2.614332468
int_coal,CA,2026,3.097955478
int_coal,CA,2027,3.067016633
int_coal,CA,2028,3.045033769
int_coal,CA,2029,3.067016633
int_coal,CA,2030,3.040148688
int_coal,CA,2031,3.034449427
int_coal,CA,2032,2.954659772
int_coal,CA,2033,2.922906746
int_coal,CA,2034,2.897667161
int_coal,CA,2035,2.874055937
int_coal,CA,2036,2.864285775
int_coal,CA,2037,2.842302911
int_coal,CA,2038,2.799151363
int_coal,CA,2039,2.773097598
int_coal,CA,2040,2.752743094
int_coal,CA,2041,2.735645311
int_coal,CA,2042,2.722618428
int_coal,CA,2043,2.719361708
int_coal,CA,2044,2.707963186
int_coal,CA,2045,2.696564663
int_coal,CA,2046,2.693307943
int_coal,CA,2047,2.973385915
int_coal,CA,2048,2.963615753
int_coal,CA,2049,2.951403051
int_coal,CA,2050,2.94407543
int_coal,NV,2010,1.722805202
int_coal,NV,2011,1.722805202
int_coal,NV,2012,1.722805202
int_coal,NV,2013,1.722805202
int_coal,NV,2014,1.722805202
int_coal,NV,2015,1.722805202
int_coal,NV,2016,1.722805202
int_coal,NV,2017,1.722805202
int_coal,NV,2018,1.722805202
int_coal,NV,2019,1.722805202
int_coal,NV,2020,1.722805202
int_coal,NV,2021,1.722805202
int_coal,NV,2022,1.722805202
int_coal,NV,2023,1.722805202
int_coal,NV,2024,1.722805202
int_coal,NV,2025,1.71222086
int_coal,NV,2026,1.614519241
int_coal,NV,2027,1.612890881
int_coal,NV,2028,1.518445984
int_coal,NV,2029,1.55345573
int_coal,NV,2030,1.66092751
int_coal,NV,2031,1.703264878
int_coal,NV,2032,2.453938978
int_coal,NV,2033,2.46615168
int_coal,NV,2034,2.419743412
int_coal,NV,2035,2.378220224
int_coal,NV,2036,2.360308261
int_coal,NV,2037,2.35623736
int_coal,NV,2038,2.328555235
int_coal,NV,2039,3.124009243
int_coal,NV,2040,3.122380883
int_coal,NV,2041,3.121566703
int_coal,NV,2042,3.119938343
int_coal,NV,2043,3.126451784
int_coal,NV,2044,3.130522684
int_coal,NV,2045,3.132965225
int_coal,NV,2046,3.145992107
int_coal,NV,2047,3.151691368
int_coal,NV,2048,3.154133909
int_coal,NV,2049,3.153319729
int_coal,NV,2050,3.15901899
int_coal,MT,2010,1.755779498
int_coal,MT,2011,1.755779498
int_coal,MT,2012,1.755779498
int_coal,MT,2013,1.755779498
int_coal,MT,2014,1.755779498
int_coal,MT,2015,1.755779498
int_coal,MT,2016,1.755779498
int_coal,MT,2017,1.755779498
int_coal,MT,2018,1.755779498
int_coal,MT,2019,1.755779498
int_coal,MT,2020,1.755779498
int_coal,MT,2021,1.755779498
int_coal,MT,2022,1.755779498
int_coal,MT,2023,1.755779498
int_coal,MT,2024,1.755779498
int_coal,MT,2025,1.764328389
int_coal,MT,2026,1.734203724
int_coal,MT,2027,1.763514209
int_coal,MT,2028,1.704079058
int_coal,MT,2029,1.722805202
int_coal,MT,2030,1.851038576
int_coal,MT,2031,1.878313611
int_coal,MT,2032,2.270748444
int_coal,MT,2033,2.273598074
int_coal,MT,2034,2.280518606
int_coal,MT,2035,2.272783894
int_coal,MT,2036,2.306572371
int_coal,MT,2037,2.335068676
int_coal,MT,2038,2.381884035
int_coal,MT,2039,3.147620468
int_coal,MT,2040,3.144770837
