Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p101,FL,FRCC,usa,ET,2045
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2045-01-01 00:00:00,2045-01-01 00:00:00,20721.1,0.0,0.0,8.2,20729.3,20096.4,20631.6,383.5,0.0,0.0301,0.0341,battery,gas-cc,203.5,3.8,0.38,24.5,1535.9,0.09,203.7,70.3,273.9,207.1,3.9,0.39,25.0,1563.3,0.09,207.3,71.6,278.9,315.5,5.9,0.59,37.3,2380.8,0.14,315.8,108.3,424.1,368.6,6.9,0.69,43.5,2781.5,0.16,369.0,126.5,495.5,31.46,0.0,0.0,31.46,32.57,0.0,0.0,32.57,0.0,0.0,0.0,20345.8,97.7,8281.6,214.2,0.0,0.0,0.0,0.0,11701.7,0.0,0.0,50.6,0.0,0.0,0.0,0.0,97.7,0.0
2045-01-01 01:00:00,2045-01-01 01:00:00,18834.7,0.0,0.0,8.2,18843.0,18271.4,18750.2,383.5,0.0,0.0299,0.031,battery,gas-cc,224.3,4.2,0.42,27.0,1692.9,0.1,224.5,77.4,301.9,227.5,4.3,0.43,27.5,1717.3,0.1,227.7,78.7,306.4,319.7,6.0,0.6,37.8,2412.6,0.14,320.1,109.7,429.7,367.4,6.9,0.69,43.4,2772.6,0.16,367.8,126.1,493.9,31.46,0.0,0.0,31.46,32.47,0.0,0.0,32.47,0.0,0.0,0.0,18459.5,92.7,6400.2,214.2,0.0,0.0,0.0,0.0,11701.7,0.0,0.0,50.6,0.0,0.0,0.0,0.0,92.7,0.0
2045-01-01 02:00:00,2045-01-01 02:00:00,17252.6,0.0,0.0,8.2,17260.9,16736.2,17177.1,383.5,0.0,0.0299,0.0284,battery,gas-cc,245.3,4.6,0.46,29.5,1851.6,0.11,245.5,84.7,330.2,248.1,4.7,0.47,29.9,1872.7,0.11,248.3,85.7,334.1,167.0,3.2,0.32,19.7,1259.1,0.07,167.2,57.3,224.5,366.4,6.9,0.69,43.3,2765.1,0.16,366.8,125.7,492.6,31.46,0.0,0.0,31.46,32.38,0.0,0.0,32.38,0.0,0.0,0.0,16877.4,83.7,4827.1,214.2,0.0,0.0,0.0,0.0,11701.7,0.0,0.0,50.6,0.0,0.0,0.0,0.0,83.7,0.0
2045-01-01 03:00:00,2045-01-01 03:00:00,16226.3,0.0,0.0,8.2,16234.6,15738.2,16164.1,383.5,0.0,0.0301,0.0267,battery,gas-cc,261.2,4.9,0.49,31.4,1971.5,0.12,261.4,90.2,351.6,263.6,5.0,0.5,31.8,1989.9,0.12,263.9,91.1,355.0,167.0,3.2,0.32,19.7,1259.3,0.07,167.2,57.3,224.5,365.8,6.9,0.69,43.2,2760.3,0.16,366.2,125.5,491.7,31.46,0.0,0.0,31.46,32.32,0.0,0.0,32.32,0.0,0.0,0.0,15851.1,70.5,3814.1,214.2,0.0,0.0,0.0,0.0,11701.7,0.0,0.0,50.6,0.0,0.0,0.0,0.0,70.5,0.0
2045-01-01 04:00:00,2045-01-01 04:00:00,15581.1,0.0,0.0,8.2,15589.3,15109.8,15523.5,383.5,0.0,0.0302,0.0256,battery,gas-cc,272.2,5.1,0.51,32.7,2055.1,0.12,272.5,94.0,366.6,274.4,5.2,0.52,33.1,2071.8,0.12,274.7,94.8,369.6,314.7,5.9,0.59,37.2,2374.6,0.14,315.0,108.0,423.0,365.4,6.9,0.69,43.2,2757.3,0.16,365.8,125.4,491.2,31.46,0.0,0.0,31.46,32.29,0.0,0.0,32.29,0.0,0.0,0.0,15205.8,65.8,3173.5,214.2,0.0,0.0,0.0,0.0,11701.7,0.0,0.0,50.6,0.0,0.0,0.0,0.0,65.8,0.0
2045-01-01 05:00:00,2045-01-01 05:00:00,15450.5,0.0,0.0,8.2,15458.8,14982.6,15408.4,383.5,0.0,0.0303,0.0254,gas-cc,gas-cc,212.3,4.0,0.4,25.7,1602.7,0.09,212.5,73.4,286.0,214.5,4.0,0.4,26.1,1619.9,0.1,214.8,74.4,289.1,313.9,5.9,0.59,37.1,2368.9,0.14,314.3,107.7,422.0,365.3,6.9,0.69,43.2,2756.7,0.16,365.7,125.3,491.1,31.46,0.0,0.0,31.46,32.28,0.0,0.0,32.28,0.0,0.0,0.0,15075.3,50.4,5697.0,214.2,0.0,0.0,0.0,0.0,9063.1,0.0,0.0,50.6,0.0,0.0,0.0,0.0,50.4,0.0
2045-01-01 06:00:00,2045-01-01 06:00:00,16163.2,0.0,0.0,8.2,16171.4,15676.7,16123.2,383.5,0.0,0.0301,0.0266,battery,gas-cc,264.0,5.0,0.5,31.7,1993.2,0.12,264.3,91.2,355.5,266.4,5.0,0.5,32.1,2011.4,0.12,266.7,92.1,358.8,178.9,3.4,0.34,21.1,1348.6,0.08,179.0,61.3,240.4,365.8,6.9,0.69,43.2,2760.0,0.16,366.1,125.5,491.6,31.46,0.0,0.0,31.46,32.32,0.0,0.0,32.32,0.0,0.0,0.0,15787.9,48.2,3692.1,214.2,0.0,0.0,0.0,0.0,11782.9,0.0,0.0,50.6,0.0,0.0,0.0,0.0,48.2,0.0
2045-01-01 07:00:00,2045-01-01 07:00:00,17492.6,0.0,0.0,8.2,17500.9,16969.4,948.1,383.5,0.0,0.0299,0.0288,gas-cc,gas-cc,6.6,0.1,0.01,1.3,50.8,0.01,6.6,2.8,9.5,6.7,0.1,0.01,1.3,51.3,0.01,6.7,2.9,9.6,31.0,0.6,0.06,3.7,232.2,0.01,31.1,10.6,41.6,362.2,6.8,0.68,42.8,2733.3,0.16,362.6,124.3,486.9,30.9,0.0,0.0,30.9,31.82,0.0,0.0,31.82,0.0,0.0,0.0,17117.4,16552.7,0.0,214.2,0.0,0.0,0.0,641.7,323.2,0.0,0.0,27.2,0.0,0.0,0.0,15862.2,48.9,0.0
