Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p103,MI,MISO_Central,usa,ET,2025
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2025-01-01 00:00:00,2025-01-01 00:00:00,9053.7,0.0,0.0,5.7,9059.4,8760.9,6219.3,884.6,0.0,0.0323,0.0426,coal,coal,427.2,49.2,7.16,15.2,934.1,0.24,430.7,43.1,473.7,398.4,45.9,6.67,15.0,873.2,0.24,401.6,41.1,442.7,60.4,1.7,0.24,7.0,456.2,0.05,60.5,20.6,81.0,1050.6,121.0,17.6,32.4,2287.7,0.52,1059.0,100.7,1159.7,27.59,0.0,0.9,28.5,28.82,0.0,0.94,29.76,0.0,0.0,0.0,8174.8,2840.1,0.0,210.3,515.7,3510.4,0.0,0.0,0.0,0.0,0.0,57.9,1040.4,0.0,0.0,0.0,2840.1,0.0
2025-01-01 01:00:00,2025-01-01 01:00:00,8986.3,0.2,0.0,4.3,8990.9,8696.4,5999.9,665.2,0.0,0.0323,0.0423,battery,coal,419.5,48.3,7.03,14.9,917.2,0.24,422.9,42.3,465.1,401.4,46.2,6.72,14.9,879.2,0.24,404.6,41.2,445.8,345.3,33.6,4.86,16.4,1166.6,0.18,347.6,51.2,398.8,1221.9,140.7,20.47,37.6,2660.8,0.6,1231.7,117.1,1348.8,27.59,0.0,0.9,28.5,28.81,0.0,0.94,29.75,0.0,0.0,0.0,8325.7,2990.9,0.0,210.3,515.7,3510.4,0.0,0.0,0.0,0.0,0.0,57.9,1040.4,0.0,0.0,0.0,2990.9,0.0
2025-01-01 02:00:00,2025-01-01 02:00:00,8846.3,0.1,1755.4,14.8,10616.6,8562.2,7556.0,2221.2,0.0,0.0321,0.0416,battery,gas-cc,416.0,47.9,6.97,14.8,909.5,0.23,419.3,41.9,461.3,339.9,39.1,5.69,13.7,747.0,0.23,342.6,36.0,378.6,93.9,2.2,0.28,11.0,787.2,0.06,94.1,34.5,128.5,378.1,7.1,0.71,44.7,3533.0,0.16,378.6,150.0,528.6,27.59,0.0,0.9,28.5,28.79,0.0,0.94,29.74,0.0,0.0,0.0,8395.4,3060.7,0.0,210.3,515.7,3510.4,0.0,0.0,0.0,0.0,0.0,57.9,1040.4,0.0,0.0,0.0,3060.7,0.0
2025-01-01 03:00:00,2025-01-01 03:00:00,8634.7,0.0,2143.8,16.6,10795.1,8359.4,7774.0,2439.2,0.0,0.0319,0.0406,phs,gas-cc,418.0,48.1,7.0,14.8,913.8,0.23,421.3,42.1,463.5,334.2,38.5,5.6,13.5,734.6,0.22,336.9,35.5,372.3,162.9,3.4,0.38,19.2,1456.3,0.08,163.1,62.6,225.7,377.8,7.1,0.71,44.6,3529.3,0.16,378.2,149.8,528.0,27.59,0.0,0.91,28.5,28.76,0.0,0.94,29.71,0.0,0.0,0.0,8355.9,3021.1,0.0,210.3,515.7,3510.4,0.0,0.0,0.0,0.0,0.0,57.9,1040.4,0.0,0.0,0.0,3021.1,0.0
2025-01-01 04:00:00,2025-01-01 04:00:00,8369.5,0.2,2143.8,18.2,10531.7,8104.7,7590.1,2255.4,0.0,0.0316,0.0394,battery,gas-cc,422.0,48.6,7.07,15.0,922.6,0.24,425.4,42.5,467.9,342.5,39.4,5.74,13.7,752.2,0.23,345.2,36.1,381.3,110.1,2.5,0.3,12.9,944.1,0.06,110.3,41.1,151.3,377.3,7.1,0.71,44.6,3524.7,0.16,377.7,149.6,527.3,27.59,0.0,0.91,28.5,28.72,0.0,0.94,29.67,0.0,0.0,0.0,8276.3,2941.6,0.0,210.3,515.7,3510.4,0.0,0.0,0.0,0.0,0.0,57.9,1040.4,0.0,0.0,0.0,2941.6,0.0
2025-01-01 05:00:00,2025-01-01 05:00:00,8330.5,0.0,2143.8,20.2,10494.6,8067.3,7909.5,2574.6,0.0,0.0316,0.0392,phs,gas-cc,441.0,50.8,7.39,15.7,964.1,0.25,444.5,44.5,489.0,343.7,39.6,5.76,14.0,755.5,0.23,346.4,36.6,383.0,165.2,3.4,0.38,19.5,1479.2,0.08,165.4,63.6,229.0,377.2,7.1,0.71,44.6,3524.1,0.16,377.6,149.6,527.2,27.59,0.0,0.91,28.5,28.72,0.0,0.94,29.66,0.0,0.0,0.0,7920.0,2585.0,0.0,210.3,515.7,3510.4,0.0,0.0,0.0,0.0,0.0,58.1,1040.4,0.0,0.0,0.0,2585.0,0.0
2025-01-01 06:00:00,2025-01-01 06:00:00,8624.2,0.0,2063.1,20.0,10707.2,8349.3,7873.7,2532.7,0.0,0.0319,0.0406,phs,gas-cc,427.3,49.2,7.16,15.2,934.1,0.24,430.7,43.1,473.7,336.9,38.8,5.64,13.7,740.8,0.23,339.6,35.9,375.5,207.3,4.2,0.45,24.4,1884.7,0.1,207.5,80.6,288.2,377.7,7.1,0.71,44.6,3529.1,0.16,378.1,149.8,528.0,27.59,0.0,0.91,28.5,28.76,0.0,0.94,29.7,0.0,0.0,0.0,8174.5,2833.6,0.0,210.3,515.7,3510.4,0.0,0.0,0.0,0.0,0.0,64.1,1040.4,0.0,0.0,0.0,2833.6,0.0
2025-01-01 07:00:00,2025-01-01 07:00:00,8634.7,0.0,53.8,6.7,8695.2,8359.4,6362.4,1027.7,0.0,0.0319,0.0406,phs,gas-cc,455.5,52.5,7.63,16.2,995.9,0.26,459.2,45.9,505.1,414.9,47.8,6.95,15.8,909.7,0.26,418.2,43.0,461.2,245.2,18.1,2.56,17.0,1246.3,0.13,246.4,54.2,300.6,377.8,7.1,0.71,44.6,3529.3,0.16,378.2,149.8,528.0,27.59,0.0,0.91,28.5,28.76,0.0,0.94,29.71,0.0,0.0,0.0,7667.5,2332.8,0.0,210.3,515.7,3510.4,0.0,0.0,0.0,0.0,0.0,57.9,1040.4,0.0,0.0,0.0,2332.8,0.0
