Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p104,MI,PJM_West,usa,ET,2025
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2025-01-01 00:00:00,2025-01-01 00:00:00,893.7,420.7,0.0,8.3,1322.7,864.8,1322.7,0.0,1396.7,0.0323,0.0426,coal,coal,0.0,0.0,0.0,8.8,20.9,0.2,0.0,9.5,9.5,0.0,0.0,0.0,9.1,21.6,0.21,0.0,9.8,9.8,15.8,0.6,0.08,1.7,116.7,0.01,15.8,5.2,21.0,1050.6,121.0,17.6,32.4,2287.7,0.52,1059.0,100.7,1159.7,17.88,0.0,0.9,18.78,18.67,0.0,0.94,19.62,0.0,0.0,0.0,2719.3,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2710.6,0.0,0.0,0.0,0.0,0.0
2025-01-01 01:00:00,2025-01-01 01:00:00,887.4,1004.8,0.0,5.1,1897.3,858.7,1897.3,0.0,822.0,0.0323,0.0423,battery,coal,0.0,0.0,0.0,8.8,20.9,0.2,0.0,9.5,9.5,0.0,0.0,0.0,9.1,21.6,0.21,0.0,9.8,9.8,313.7,32.8,4.74,12.7,925.6,0.15,316.0,40.4,356.3,1221.9,140.7,20.47,37.6,2660.8,0.6,1231.7,117.1,1348.8,17.88,0.0,0.9,18.78,18.67,0.0,0.94,19.61,0.0,0.0,0.0,2719.3,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2710.6,0.0,0.0,0.0,0.0,0.0
2025-01-01 02:00:00,2025-01-01 02:00:00,873.7,0.0,0.0,11.9,885.6,845.6,885.6,0.0,1833.7,0.0321,0.0417,battery,gas-cc,0.0,0.0,0.0,8.8,20.9,0.2,0.0,9.5,9.5,0.0,0.0,0.0,9.1,21.6,0.2,0.0,9.8,9.8,51.4,1.1,0.12,6.0,463.5,0.03,51.5,19.8,71.4,378.2,7.1,0.71,44.7,3533.0,0.16,378.6,150.0,528.6,17.88,0.0,0.9,18.78,18.65,0.0,0.94,19.6,0.0,0.0,0.0,2719.3,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2710.6,0.0,0.0,0.0,0.0,0.0
2025-01-01 03:00:00,2025-01-01 03:00:00,853.7,51.6,0.0,11.7,917.0,826.5,917.0,0.0,1802.3,0.0319,0.0407,phs,gas-cc,0.0,0.0,0.0,8.8,20.9,0.2,0.0,9.5,9.5,0.0,0.0,0.0,9.1,21.6,0.2,0.0,9.8,9.8,130.9,2.5,0.26,15.5,1212.0,0.06,131.0,51.6,182.6,377.8,7.1,0.71,44.6,3529.5,0.16,378.2,149.9,528.0,17.88,0.0,0.91,18.78,18.64,0.0,0.94,19.58,0.0,0.0,0.0,2719.3,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2710.6,0.0,0.0,0.0,0.0,0.0
2025-01-01 04:00:00,2025-01-01 04:00:00,826.3,380.2,0.0,9.8,1216.2,800.2,1216.2,0.0,1503.1,0.0316,0.0394,battery,gas-cc,0.0,0.0,0.0,8.8,20.9,0.2,0.0,9.5,9.5,0.0,0.0,0.0,9.1,21.6,0.2,0.0,9.8,9.8,70.9,1.4,0.16,8.3,645.3,0.03,71.0,27.6,98.6,377.3,7.1,0.71,44.6,3524.7,0.16,377.7,149.6,527.3,17.88,0.0,0.91,18.78,18.61,0.0,0.94,19.55,0.0,0.0,0.0,2719.3,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2710.6,0.0,0.0,0.0,0.0,0.0
2025-01-01 05:00:00,2025-01-01 05:00:00,823.2,58.7,0.0,11.9,893.7,797.1,893.7,0.0,1825.6,0.0316,0.0392,phs,gas-cc,0.0,0.0,0.0,8.8,20.9,0.2,0.0,9.5,9.5,0.0,0.0,0.0,9.1,21.6,0.2,0.0,9.8,9.8,133.6,2.6,0.26,15.8,1238.0,0.06,133.8,52.7,186.5,377.2,7.1,0.71,44.6,3524.2,0.16,377.6,149.6,527.2,17.88,0.0,0.91,18.78,18.61,0.0,0.94,19.55,0.0,0.0,0.0,2719.3,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2710.6,0.0,0.0,0.0,0.0,0.0
2025-01-01 06:00:00,2025-01-01 06:00:00,851.6,0.0,0.0,12.1,863.6,824.4,863.6,0.0,1855.7,0.0319,0.0406,phs,gas-cc,0.0,0.0,0.0,8.8,20.9,0.2,0.0,9.5,9.5,0.0,0.0,0.0,9.1,21.6,0.2,0.0,9.8,9.8,181.6,3.5,0.35,21.4,1688.4,0.08,181.8,71.8,253.5,377.7,7.1,0.71,44.6,3529.1,0.16,378.1,149.8,528.0,17.88,0.0,0.91,18.78,18.63,0.0,0.94,19.58,0.0,0.0,0.0,2719.3,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2710.6,0.0,0.0,0.0,0.0,0.0
2025-01-01 07:00:00,2025-01-01 07:00:00,853.7,833.1,0.0,6.7,1693.4,826.5,1693.4,0.0,1025.9,0.0319,0.0407,phs,gas-cc,0.0,0.0,0.0,8.8,20.9,0.2,0.0,9.5,9.5,0.0,0.0,0.0,9.1,21.6,0.2,0.0,9.8,9.8,212.0,17.2,2.44,13.1,992.8,0.1,213.2,42.7,255.9,377.8,7.1,0.71,44.6,3529.5,0.16,378.2,149.9,528.0,17.88,0.0,0.91,18.78,18.64,0.0,0.94,19.58,0.0,0.0,0.0,2719.3,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2710.6,0.0,0.0,0.0,0.0,0.0
