Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p111,OH,PJM_East,usa,ET,2040
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2040-01-01 00:00:00,2040-01-01 00:00:00,6741.1,0.0,0.0,40.1,6781.2,6518.8,6774.4,4801.4,0.0,0.033,0.0452,battery,gas-cc,0.0,0.0,0.0,9.0,21.0,0.2,0.0,9.7,9.7,0.0,0.0,0.0,3.2,7.3,0.07,0.0,3.4,3.4,178.0,3.4,0.34,21.0,1342.2,0.08,178.2,61.1,239.3,371.8,7.0,0.7,43.9,2805.5,0.16,372.2,127.6,499.7,22.63,0.0,0.0,22.63,23.7,0.0,0.0,23.7,0.0,0.0,0.0,1979.8,6.8,0.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945.8,0.0,0.0,0.0,6.8,0.0
2040-01-01 01:00:00,2040-01-01 01:00:00,6431.6,0.0,0.0,37.8,6469.4,6223.0,6461.6,4488.6,0.0,0.0324,0.0431,battery,gas-cc,0.0,0.0,0.0,9.0,20.9,0.2,0.0,9.6,9.6,0.0,0.0,0.0,3.3,7.7,0.07,0.0,3.6,3.6,186.9,3.5,0.36,22.1,1407.3,0.08,187.1,64.0,251.1,371.0,7.0,0.7,43.8,2799.4,0.16,371.4,127.3,498.7,22.63,0.0,0.0,22.63,23.65,0.0,0.0,23.65,0.0,0.0,0.0,1980.7,7.7,0.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945.8,0.0,0.0,0.0,7.7,0.0
2040-01-01 02:00:00,2040-01-01 02:00:00,6252.6,0.0,0.0,36.4,6289.1,6051.7,6281.1,4308.1,0.0,0.0321,0.0419,battery,gas-cc,0.0,0.0,0.0,9.0,20.9,0.2,0.0,9.6,9.6,0.0,0.0,0.0,3.4,7.9,0.07,0.0,3.7,3.7,167.8,3.2,0.32,19.8,1263.9,0.07,167.9,57.5,225.4,408.4,7.7,0.77,48.2,3081.8,0.18,408.8,140.1,549.0,22.63,0.0,0.0,22.63,23.62,0.0,0.0,23.62,0.0,0.0,0.0,1981.0,8.0,0.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945.8,0.0,0.0,0.0,8.0,0.0
2040-01-01 03:00:00,2040-01-01 03:00:00,6155.8,0.0,0.0,35.7,6191.5,5958.8,6182.9,4209.9,0.0,0.032,0.0413,battery,gas-cc,0.0,0.0,0.0,9.0,20.9,0.2,0.0,9.6,9.6,0.0,0.0,0.0,3.5,8.0,0.07,0.0,3.7,3.7,179.4,3.4,0.34,21.2,1352.5,0.08,179.6,61.5,241.2,408.1,7.7,0.77,48.2,3079.7,0.18,408.6,140.0,548.6,22.63,0.0,0.0,22.63,23.6,0.0,0.0,23.6,0.0,0.0,0.0,1981.6,8.6,0.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945.8,0.0,0.0,0.0,8.6,0.0
2040-01-01 04:00:00,2040-01-01 04:00:00,6086.3,0.0,0.0,35.2,6121.5,5892.2,6112.5,4139.5,0.0,0.0319,0.0408,battery,gas-cc,0.0,0.0,0.0,9.0,20.9,0.2,0.0,9.6,9.6,0.0,0.0,0.0,3.5,8.1,0.08,0.0,3.8,3.8,193.7,3.7,0.37,22.9,1458.3,0.09,193.9,66.4,260.3,410.3,7.7,0.77,48.5,3095.9,0.18,410.7,140.8,551.5,22.63,0.0,0.0,22.63,23.59,0.0,0.0,23.59,0.0,0.0,0.0,1982.0,9.0,0.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945.8,0.0,0.0,0.0,9.0,0.0
2040-01-01 05:00:00,2040-01-01 05:00:00,6128.4,0.0,0.0,35.5,6163.9,5932.6,6154.5,4181.5,0.0,0.032,0.0411,hydro,gas-cc,0.0,0.0,0.0,9.0,20.9,0.2,0.0,9.6,9.6,0.0,0.0,0.0,3.6,8.1,0.08,0.0,3.8,3.8,169.0,3.2,0.32,20.0,1274.6,0.07,169.2,58.0,227.2,385.0,7.3,0.73,45.5,2905.6,0.17,385.5,132.1,517.6,22.63,0.0,0.0,22.63,23.6,0.0,0.0,23.6,0.0,0.0,0.0,1982.4,9.4,0.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945.8,0.0,0.0,0.0,9.4,0.0
2040-01-01 06:00:00,2040-01-01 06:00:00,6307.4,0.0,0.0,36.8,6344.2,6104.1,6334.8,4361.8,0.0,0.0322,0.0423,battery,gas-cc,0.0,0.0,0.0,9.0,20.9,0.2,0.0,9.6,9.6,0.0,0.0,0.0,3.4,7.8,0.07,0.0,3.7,3.7,177.0,3.3,0.33,20.9,1335.0,0.08,177.2,60.7,237.9,370.6,7.0,0.7,43.8,2797.0,0.16,371.0,127.2,498.2,22.63,0.0,0.0,22.63,23.63,0.0,0.0,23.63,0.0,0.0,0.0,1982.4,9.4,0.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945.8,0.0,0.0,0.0,9.4,0.0
2040-01-01 07:00:00,2040-01-01 07:00:00,6469.5,0.0,0.0,38.1,6507.5,6259.3,6496.4,4523.4,0.0,0.0325,0.0434,battery,gas-cc,0.0,0.0,0.0,9.0,20.9,0.2,0.0,9.6,9.6,0.4,0.0,0.0,3.4,11.0,0.07,0.4,3.8,4.2,162.2,3.1,0.31,19.2,1222.8,0.07,162.4,55.6,218.0,409.0,7.7,0.77,48.3,3086.5,0.18,409.5,140.3,549.8,22.63,0.0,0.0,22.63,23.65,0.0,0.0,23.65,0.0,0.0,0.0,1984.2,11.2,0.0,27.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1945.8,0.0,0.0,0.5,9.4,0.0
