Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p116,WV,PJM_East,usa,ET,2035
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2035-01-01 00:00:00,2035-01-01 00:00:00,2097.9,0.0,0.0,169.6,2267.5,2029.9,877.1,8681.5,7906.1,0.0324,0.0428,hydro,hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,0.2,0.02,1.7,93.2,0.01,12.3,4.5,16.8,164.1,3.1,0.32,19.4,1226.6,0.07,164.3,56.0,220.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.31,0.0,0.0,21.31,22.27,0.0,0.0,22.27,0.0,0.0,0.0,1492.1,1390.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.7,0.0,0.0,0.0,0.0,1390.4,0.0
2035-01-01 01:00:00,2035-01-01 01:00:00,2026.3,0.0,0.0,162.7,2189.0,1961.3,467.2,7706.0,7340.5,0.0321,0.0414,battery,gas-cc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.1,0.01,0.8,36.9,0.01,4.8,1.9,6.7,145.5,2.8,0.29,17.2,1086.4,0.07,145.6,49.6,195.2,378.0,7.1,0.71,44.7,2852.7,0.16,378.4,129.7,508.2,21.31,0.0,0.0,21.31,22.23,0.0,0.0,22.23,0.0,0.0,0.0,1823.5,1721.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.7,0.0,0.0,0.0,0.0,1721.8,0.0
2035-01-01 02:00:00,2035-01-01 02:00:00,1980.0,0.0,0.0,180.1,2160.1,1916.9,118.2,8437.1,8420.7,0.0319,0.0404,gas-cc,gas-cc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1,0.01,0.6,23.6,0.01,3.0,1.3,4.4,167.0,3.2,0.33,19.8,1242.6,0.08,167.2,56.8,224.0,377.7,7.1,0.71,44.6,2849.9,0.16,378.1,129.6,507.7,21.31,0.0,0.0,21.31,22.21,0.0,0.0,22.21,0.0,0.0,0.0,2143.7,2041.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.7,0.0,0.0,0.0,0.0,2041.9,0.0
2035-01-01 03:00:00,2035-01-01 03:00:00,1967.4,0.0,0.0,177.6,2145.0,1904.8,-80.3,7887.9,8069.9,0.0318,0.0402,hydro,hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1,0.01,0.7,23.5,0.01,3.0,1.4,4.4,151.4,2.9,0.3,17.9,1132.3,0.07,151.6,51.7,203.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.31,0.0,0.0,21.31,22.21,0.0,0.0,22.21,0.0,0.0,0.0,2327.0,2225.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.7,0.0,0.0,0.0,0.0,2225.3,0.0
2035-01-01 04:00:00,2035-01-01 04:00:00,1973.7,0.0,0.0,192.0,2165.6,1910.9,-137.0,8843.9,9082.7,0.0318,0.0403,hydro,hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.6,17.7,0.01,2.3,1.1,3.3,143.1,2.8,0.3,17.0,1054.4,0.07,143.2,48.4,191.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.31,0.0,0.0,21.31,22.21,0.0,0.0,22.21,0.0,0.0,0.0,2404.4,2302.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.7,0.0,0.0,0.0,0.0,2302.7,0.0
2035-01-01 05:00:00,2035-01-01 05:00:00,2010.5,0.0,0.0,195.4,2205.9,1946.2,-238.8,8989.9,9330.4,0.032,0.041,battery,gas-cc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.1,0.01,0.7,27.7,0.01,3.6,1.5,5.1,130.4,2.5,0.26,15.5,967.8,0.06,130.6,44.3,174.9,378.2,7.1,0.71,44.7,2853.9,0.16,378.6,129.8,508.4,21.31,0.0,0.0,21.31,22.23,0.0,0.0,22.23,0.0,0.0,0.0,2546.5,2444.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.7,0.0,0.0,0.0,0.0,2444.7,0.0
2035-01-01 06:00:00,2035-01-01 06:00:00,2083.2,0.0,0.0,183.6,2266.8,2015.8,-219.5,8378.0,8699.2,0.0323,0.0425,hydro,hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.1,0.01,0.6,25.0,0.01,3.3,1.4,4.6,146.2,2.8,0.29,17.3,1094.4,0.07,146.3,49.9,196.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.31,0.0,0.0,21.31,22.26,0.0,0.0,22.26,0.0,0.0,0.0,2588.1,2486.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.7,0.0,0.0,0.0,0.0,2486.3,0.0
2035-01-01 07:00:00,2035-01-01 07:00:00,2135.8,0.0,0.0,190.9,2326.7,2066.2,-218.0,8937.5,9257.3,0.0326,0.0436,hydro,hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.1,0.01,0.7,33.4,0.01,4.4,1.7,6.1,129.8,2.5,0.26,15.4,966.1,0.06,129.9,44.2,174.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.31,0.0,0.0,21.31,22.29,0.0,0.0,22.29,0.0,0.0,0.0,2646.4,2544.7,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,101.7,0.0,0.0,0.0,8.6,2532.4,0.0
