Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p11,CA,CAISO,usa,PT,2050
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2050-01-01 03:00:00,2050-01-01 00:00:00,3938.9,0.0,0.0,6.6,3945.6,3813.7,3459.2,1103.5,0.0,0.0318,0.0417,battery,gas-cc,112.6,2.1,0.21,13.4,849.5,0.05,112.7,38.7,151.4,44.4,0.8,0.08,5.3,334.9,0.02,44.4,15.3,59.7,38.7,0.7,0.07,4.6,292.4,0.02,38.8,13.3,52.1,399.7,7.5,0.75,47.2,3016.6,0.17,400.2,137.2,537.3,33.69,0.0,0.0,33.69,35.15,0.0,0.0,35.15,0.0,0.0,0.0,2842.1,486.4,1479.3,9.5,0.0,0.0,0.0,0.0,862.1,0.0,0.0,4.8,0.0,0.0,0.0,0.0,486.4,0.0
2050-01-01 04:00:00,2050-01-01 01:00:00,3571.6,0.0,0.0,0.0,3571.6,3460.9,3063.7,0.0,0.0,0.031,0.0378,battery,gas-cc,89.6,1.7,0.17,10.7,676.0,0.04,89.7,30.8,120.5,41.2,0.8,0.08,4.9,311.3,0.02,41.3,14.2,55.5,37.4,0.7,0.07,4.4,282.0,0.02,37.4,12.8,50.2,403.1,7.6,0.76,47.6,3042.1,0.17,403.6,138.3,541.9,33.69,0.0,0.0,33.69,35.01,0.0,0.0,35.01,0.0,0.0,0.0,3571.6,507.9,1017.2,9.5,0.0,0.0,0.0,0.0,862.1,0.0,0.0,4.8,0.0,0.0,1170.1,0.0,507.9,0.0
2050-01-01 05:00:00,2050-01-01 02:00:00,3293.7,0.0,0.0,3.7,3297.4,3193.1,2820.3,619.7,0.0,0.0305,0.0348,battery,gas-cc,119.5,2.3,0.23,14.2,901.7,0.05,119.6,41.1,160.7,49.8,0.9,0.09,6.0,375.8,0.02,49.8,17.2,67.0,36.6,0.7,0.07,4.3,276.5,0.02,36.7,12.6,49.3,396.9,7.5,0.75,46.9,2995.2,0.17,397.3,136.2,533.5,33.69,0.0,0.0,33.69,34.9,0.0,0.0,34.9,0.0,0.0,0.0,2677.7,477.1,1324.2,9.5,0.0,0.0,0.0,0.0,862.1,0.0,0.0,4.8,0.0,0.0,0.0,0.0,477.1,0.0
2050-01-01 06:00:00,2050-01-01 03:00:00,3126.3,0.0,0.0,1.9,3128.2,3031.4,2665.4,311.1,0.0,0.0304,0.0331,battery,gas-cc,113.6,2.1,0.21,13.5,857.1,0.05,113.7,39.1,152.8,49.0,0.9,0.09,5.9,369.6,0.02,49.0,16.9,65.9,45.6,0.9,0.09,5.4,344.4,0.02,45.7,15.7,61.4,396.2,7.5,0.75,46.8,2989.8,0.17,396.6,135.9,532.6,33.69,0.0,0.0,33.69,34.84,0.0,0.0,34.84,0.0,0.0,0.0,2817.1,462.8,487.2,9.5,0.0,0.0,0.0,0.0,862.1,0.0,0.0,4.8,0.0,0.0,990.7,0.0,462.8,0.0
2050-01-01 07:00:00,2050-01-01 04:00:00,2995.8,0.0,0.0,1.9,2997.6,2905.1,2550.1,310.0,0.0,0.0303,0.0317,battery,gas-cc,119.0,2.2,0.22,14.2,898.4,0.05,119.2,41.0,160.1,52.3,1.0,0.1,6.2,394.8,0.02,52.4,18.0,70.4,44.7,0.8,0.08,5.3,337.5,0.02,44.8,15.3,60.1,395.6,7.5,0.75,46.7,2985.5,0.17,396.1,135.8,531.8,33.69,0.0,0.0,33.69,34.79,0.0,0.0,34.79,0.0,0.0,0.0,2687.7,447.5,1363.8,9.5,0.0,0.0,0.0,0.0,862.1,0.0,0.0,4.8,0.0,0.0,0.0,0.0,447.5,0.0
2050-01-01 08:00:00,2050-01-01 05:00:00,2966.3,0.0,0.0,0.9,2967.2,2876.5,2511.2,144.3,0.0,0.0303,0.0314,battery,gas-cc,113.3,2.1,0.21,13.5,855.3,0.05,113.5,39.0,152.4,51.0,1.0,0.1,6.1,384.6,0.02,51.0,17.6,68.6,38.1,0.7,0.07,4.5,287.6,0.02,38.2,13.1,51.2,395.5,7.5,0.75,46.7,2984.5,0.17,395.9,135.7,531.6,33.69,0.0,0.0,33.69,34.78,0.0,0.0,34.78,0.0,0.0,0.0,2822.9,455.9,1455.9,9.5,0.0,0.0,0.0,0.0,862.1,0.0,0.0,4.8,0.0,0.0,34.7,0.0,455.9,0.0
2050-01-01 09:00:00,2050-01-01 06:00:00,3048.4,0.0,0.0,7.4,3055.8,2956.0,2462.7,1231.0,0.0,0.0303,0.0322,battery,gas-cc,175.3,3.3,0.33,20.9,1323.1,0.08,175.5,60.3,235.8,58.4,1.1,0.11,7.1,441.2,0.03,58.5,20.2,78.7,33.6,0.6,0.06,4.0,253.6,0.01,33.6,11.5,45.2,395.9,7.5,0.75,46.8,2987.2,0.17,396.3,135.8,532.1,33.69,0.0,0.0,33.69,34.81,0.0,0.0,34.81,0.0,0.0,0.0,1824.8,593.1,355.3,9.5,0.0,0.0,0.0,3.3,862.1,0.0,0.0,4.8,0.0,0.0,0.0,112.4,477.4,0.0
2050-01-01 10:00:00,2050-01-01 07:00:00,3227.4,3206.0,1417.3,11.9,7862.6,3129.0,1994.4,1980.2,0.0,0.0305,0.0341,battery,wind-ons,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.84,0.0,0.0,9.84,10.18,0.0,0.0,10.18,0.0,0.0,0.0,5882.4,5868.1,0.0,9.5,0.0,0.0,0.0,451.4,0.0,0.0,0.0,4.8,0.0,0.0,0.0,4999.2,417.5,0.0
