Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p120,PA,PJM_East,usa,ET,2030
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2030-01-01 00:00:00,2030-01-01 00:00:00,225.3,0.0,0.0,2.2,227.5,218.0,36.7,137.1,111.2,0.0321,0.042,wind-ons,wind-ons,0.0,0.0,0.0,1.6,1.9,0.01,0.0,1.6,1.6,87.4,1.6,0.16,12.6,663.6,0.07,87.5,32.4,119.9,296.5,5.6,0.56,35.0,2235.5,0.13,296.8,101.7,398.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.46,0.0,-2.57,20.88,24.48,0.0,-2.69,21.8,0.0,0.0,0.0,201.6,190.7,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.7,0.0
2030-01-01 01:00:00,2030-01-01 01:00:00,217.9,0.0,0.0,1.1,219.0,211.0,176.8,166.0,0.0,0.0318,0.0406,wind-ons,wind-ons,0.0,0.0,0.0,6.0,7.4,0.03,0.0,6.3,6.3,144.2,2.7,0.27,20.6,1094.4,0.11,144.3,53.3,197.6,299.8,5.7,0.57,35.4,2260.9,0.13,300.1,102.8,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.59,0.0,-2.57,21.01,24.59,0.0,-2.68,21.9,0.0,0.0,0.0,53.0,42.1,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.1,0.0
2030-01-01 02:00:00,2030-01-01 02:00:00,213.7,0.0,0.0,1.1,214.7,206.9,181.3,170.4,0.0,0.0317,0.0398,wind-ons,wind-ons,0.0,0.0,0.0,7.2,8.8,0.03,0.0,7.5,7.5,153.6,2.9,0.29,21.9,1165.7,0.12,153.7,56.7,210.4,303.6,5.7,0.57,35.9,2290.0,0.13,304.0,104.1,408.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.59,0.0,-2.57,21.01,24.57,0.0,-2.68,21.88,0.0,0.0,0.0,44.3,33.5,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,0.0
2030-01-01 03:00:00,2030-01-01 03:00:00,213.7,0.0,0.0,1.0,214.7,206.9,161.6,150.7,0.0,0.0317,0.0398,gas-cc,gas-cc,0.0,0.0,0.0,5.0,6.1,0.02,0.0,5.2,5.2,151.0,2.8,0.28,21.6,1146.4,0.12,151.2,55.8,206.9,306.5,5.8,0.58,36.2,2307.1,0.13,306.8,105.0,411.8,394.0,7.4,0.74,46.5,2973.3,0.17,394.4,135.2,529.6,24.07,0.0,0.21,24.27,25.07,0.0,0.22,25.28,0.0,0.0,0.0,64.0,53.1,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.1,0.0
2030-01-01 04:00:00,2030-01-01 04:00:00,217.9,0.0,0.0,1.1,219.0,211.0,86.4,137.1,86.1,0.0318,0.0406,wind-ons,wind-ons,0.0,0.0,0.0,1.9,2.3,0.01,0.0,2.0,2.0,106.1,2.1,0.21,15.1,801.5,0.08,106.2,39.0,145.1,285.1,5.4,0.55,33.7,2143.9,0.13,285.5,97.6,383.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.05,0.0,-2.57,22.47,26.11,0.0,-2.68,23.42,0.0,0.0,0.0,168.1,132.6,24.6,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.6,0.0
2030-01-01 05:00:00,2030-01-01 05:00:00,225.3,0.0,0.0,1.3,226.6,218.0,-139.3,137.1,311.8,0.0321,0.042,wind-ons,wind-ons,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.8,0.8,60.9,1.2,0.12,8.6,460.5,0.05,61.0,22.3,83.3,283.0,5.4,0.55,33.4,2125.7,0.12,283.3,96.8,380.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.45,0.0,-2.57,22.87,26.56,0.0,-2.69,23.88,0.0,0.0,0.0,401.4,365.9,24.6,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.9,0.0
2030-01-01 06:00:00,2030-01-01 06:00:00,233.7,0.0,0.0,2.6,236.3,226.1,-463.7,125.7,601.5,0.0325,0.0436,wind-ons,wind-ons,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.5,0.5,33.5,0.6,0.06,4.8,254.6,0.03,33.6,12.4,46.0,285.0,5.4,0.55,33.7,2143.5,0.13,285.3,97.6,382.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.55,0.0,-2.57,21.98,25.67,0.0,-2.69,22.98,0.0,0.0,0.0,712.2,700.0,1.3,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0
2030-01-01 07:00:00,2030-01-01 07:00:00,241.1,2.0,0.0,2.7,245.7,233.1,-721.4,0.0,732.3,0.0329,0.045,battery,gas-cc,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.4,0.4,262.1,5.0,0.5,30.9,1972.8,0.11,262.4,89.8,352.1,385.8,7.3,0.73,45.6,2911.7,0.17,386.3,132.4,518.7,18.39,0.0,0.21,18.59,19.25,0.0,0.22,19.47,0.0,0.0,0.0,978.0,967.1,0.0,10.9,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,938.1,0.0
