Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p123,MD,PJM_East,usa,ET,2035
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2035-01-01 00:00:00,2035-01-01 00:00:00,7371.6,0.0,0.0,11.0,7382.6,7138.6,3706.6,1775.0,0.0,0.0316,0.0403,hydro,hydro,0.0,0.0,0.0,3.0,6.5,0.06,0.0,3.3,3.3,0.6,0.0,0.0,2.5,9.9,0.05,0.6,2.8,3.4,107.6,2.0,0.21,12.7,808.3,0.05,107.8,36.8,144.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.08,0.0,0.0,22.08,23.01,0.0,0.0,23.01,0.0,0.0,0.0,5607.6,3676.0,0.0,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.2,1557.2,0.0,0.0,0.0,0.0,3676.0
2035-01-01 01:00:00,2035-01-01 01:00:00,7024.2,0.0,0.0,12.5,7036.7,6804.9,4549.1,2617.6,0.0,0.0312,0.0384,battery,gas-cc,0.0,0.0,0.0,3.9,8.3,0.07,0.0,4.1,4.1,1.6,0.0,0.0,2.8,17.8,0.05,1.6,3.3,4.9,94.7,1.8,0.18,11.2,711.4,0.04,94.8,32.4,127.2,376.9,7.1,0.71,44.5,2844.1,0.16,377.3,129.3,506.6,22.08,0.0,0.0,22.08,22.97,0.0,0.0,22.97,0.0,0.0,0.0,4419.1,2487.5,0.0,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.2,1557.2,0.0,0.0,0.0,0.0,2487.5
2035-01-01 02:00:00,2035-01-01 02:00:00,6846.3,0.0,0.0,12.6,6858.9,6633.8,5111.4,3209.6,29.8,0.031,0.0375,gas-cc,gas-cc,0.0,0.0,0.0,4.6,10.0,0.09,0.0,5.0,5.0,4.3,0.1,0.01,3.2,37.9,0.05,4.3,4.3,8.6,108.6,2.1,0.21,12.8,812.5,0.05,108.7,37.1,145.7,376.5,7.1,0.71,44.5,2841.2,0.16,376.9,129.2,506.1,22.08,0.0,0.0,22.08,22.94,0.0,0.0,22.94,0.0,0.0,0.0,3679.1,1747.5,0.0,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.2,1557.2,0.0,0.0,0.0,0.0,1747.5
2035-01-01 03:00:00,2035-01-01 03:00:00,6835.8,0.0,0.0,15.3,6851.1,6623.7,5770.3,3871.3,32.6,0.031,0.0374,hydro,hydro,0.0,0.0,0.0,5.7,12.2,0.11,0.0,6.1,6.1,5.8,0.1,0.01,3.6,50.4,0.06,5.8,5.1,11.0,98.5,1.9,0.19,11.6,740.8,0.04,98.6,33.7,132.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.16,0.0,0.0,22.16,23.02,0.0,0.0,23.02,0.0,0.0,0.0,3012.5,1080.9,0.0,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.2,1557.2,0.0,0.0,0.0,0.0,1080.9
2035-01-01 04:00:00,2035-01-01 04:00:00,6951.6,0.0,0.0,13.0,6964.5,6735.1,6556.8,3572.9,32.6,0.0311,0.038,battery,gas-cc,0.0,0.0,0.0,5.0,10.7,0.09,0.0,5.3,5.3,16.0,0.3,0.03,4.9,126.4,0.07,16.0,8.7,24.7,90.4,1.7,0.18,10.7,672.4,0.04,90.5,30.8,121.3,383.1,7.2,0.72,45.3,2890.9,0.17,383.5,131.4,515.0,22.16,0.0,0.0,22.16,23.03,0.0,0.0,23.03,0.0,0.0,0.0,3424.2,407.7,1084.9,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.2,1557.2,0.0,0.0,0.0,0.0,407.7
2035-01-01 05:00:00,2035-01-01 05:00:00,7173.7,0.0,0.0,13.0,7186.6,6948.6,7149.6,3572.9,32.6,0.0314,0.0393,battery,gas-cc,0.0,0.0,0.0,4.7,10.1,0.09,0.0,5.0,5.0,20.6,0.4,0.04,5.6,161.5,0.07,20.6,10.4,31.0,82.2,1.6,0.16,9.7,616.2,0.04,82.3,28.1,110.4,383.6,7.2,0.72,45.3,2894.5,0.17,384.0,131.6,515.6,22.16,0.0,0.0,22.16,23.06,0.0,0.0,23.06,0.0,0.0,0.0,3646.3,37.1,1677.7,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.2,1557.2,0.0,0.0,0.0,0.0,37.1
2035-01-01 06:00:00,2035-01-01 06:00:00,7471.6,0.0,0.0,23.2,7494.7,7234.6,7494.7,4846.8,32.6,0.0317,0.0409,gas-cc,gas-cc,0.0,0.0,0.0,6.4,13.7,0.12,0.0,6.8,6.8,35.5,0.7,0.07,7.5,275.2,0.08,35.6,15.8,51.4,93.9,1.8,0.18,11.1,708.6,0.04,94.0,32.2,126.3,377.9,7.1,0.71,44.6,2851.3,0.16,378.3,129.7,507.9,22.16,0.0,0.0,22.16,23.1,0.0,0.0,23.1,0.0,0.0,0.0,2680.5,0.0,748.9,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.2,1557.2,0.0,0.0,0.0,0.0,0.0
2035-01-01 07:00:00,2035-01-01 07:00:00,7805.3,0.0,0.0,22.7,7827.9,7554.3,7425.1,4817.9,0.0,0.0322,0.0427,gas-cc,gas-cc,0.0,0.0,0.0,5.7,12.2,0.11,0.0,6.1,6.1,30.7,0.6,0.06,6.7,237.8,0.07,30.7,13.9,44.5,82.0,1.6,0.16,9.7,616.5,0.04,82.1,28.1,110.2,378.6,7.1,0.71,44.7,2856.8,0.16,379.0,129.9,508.9,22.16,0.0,0.0,22.16,23.14,0.0,0.0,23.14,0.0,0.0,0.0,3010.0,402.8,675.6,69.2,0.0,0.0,0.0,153.3,0.0,0.0,0.0,305.2,1557.2,0.0,0.0,249.5,0.0,0.0
