Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p126,NJ,PJM_East,usa,ET,2050
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2050-01-01 00:00:00,2050-01-01 00:00:00,12058.9,0.0,0.0,12.4,12071.4,11677.1,4662.5,1080.6,0.0,0.0317,0.041,gas-cc,gas-cc,0.0,0.0,0.0,2.9,6.4,0.06,0.0,3.1,3.1,1.5,0.0,0.0,3.1,17.8,0.06,1.5,3.6,5.1,96.3,1.8,0.18,11.5,726.5,0.05,96.4,33.2,129.6,366.8,6.9,0.69,43.3,2768.1,0.16,367.2,125.9,493.1,21.72,0.0,0.0,21.72,22.65,0.0,0.0,22.65,0.0,0.0,0.0,10990.8,7408.9,0.0,81.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,3151.8,0.0,346.8,0.0,1964.8,5444.0
2050-01-01 01:00:00,2050-01-01 01:00:00,11261.1,0.0,0.0,23.6,11284.7,10910.9,5581.1,2053.0,0.0,0.0311,0.0383,hydro,hydro,0.0,0.0,0.0,3.4,7.6,0.07,0.0,3.6,3.6,1.4,0.0,0.0,3.4,17.8,0.07,1.4,3.9,5.4,43.0,0.8,0.08,5.3,323.5,0.02,43.0,14.9,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.72,0.0,0.0,21.72,22.59,0.0,0.0,22.59,0.0,0.0,0.0,9231.7,5703.5,0.0,81.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,3151.8,0.0,293.0,0.0,1735.3,3968.2
2050-01-01 02:00:00,2050-01-01 02:00:00,10856.8,0.0,0.0,40.0,10896.8,10521.9,6710.2,3475.1,0.0,0.0309,0.0369,battery,gas-cc,0.0,0.0,0.0,4.2,9.5,0.09,0.0,4.5,4.5,0.1,0.0,0.0,3.5,8.5,0.07,0.1,3.8,3.9,85.0,1.6,0.16,10.2,639.6,0.04,85.1,29.3,114.4,484.5,9.1,0.91,57.2,3656.5,0.21,485.1,166.3,651.3,21.72,0.0,0.0,21.72,22.56,0.0,0.0,22.56,0.0,0.0,0.0,7421.7,4186.6,0.0,81.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,3151.8,0.0,0.0,0.0,1510.7,2675.8
2050-01-01 03:00:00,2050-01-01 03:00:00,10677.9,0.0,0.0,53.8,10731.7,10349.5,7911.7,4676.5,0.0,0.0308,0.0363,battery,gas-cc,0.0,0.0,0.0,5.2,11.6,0.11,0.0,5.6,5.6,0.8,0.0,0.0,3.8,14.1,0.07,0.8,4.2,5.0,100.1,1.9,0.19,12.0,753.8,0.05,100.3,34.5,134.7,370.0,7.0,0.7,43.7,2791.9,0.16,370.4,126.9,497.3,21.72,0.0,0.0,21.72,22.54,0.0,0.0,22.54,0.0,0.0,0.0,6055.2,2820.0,0.0,81.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,3151.8,0.0,0.0,0.0,1007.5,1812.5
2050-01-01 04:00:00,2050-01-01 04:00:00,10712.6,0.0,0.0,40.4,10753.0,10382.9,9041.8,3511.7,0.0,0.0308,0.0364,battery,gas-cc,0.0,0.0,0.0,4.3,9.7,0.09,0.0,4.7,4.7,23.0,0.4,0.04,6.7,182.6,0.09,23.1,12.2,35.2,109.1,2.1,0.21,13.0,823.6,0.05,109.2,37.6,146.8,406.5,7.7,0.77,48.0,3067.9,0.18,407.0,139.5,546.5,21.72,0.0,0.0,21.72,22.55,0.0,0.0,22.55,0.0,0.0,0.0,7241.4,1711.2,1948.2,81.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,3151.8,0.0,346.8,0.0,549.5,1161.7
2050-01-01 05:00:00,2050-01-01 05:00:00,11004.2,0.0,0.0,75.3,11079.5,10663.8,10231.3,6545.9,0.0,0.0309,0.0374,hydro,hydro,0.0,0.0,0.0,6.9,15.5,0.14,0.0,7.4,7.4,4.0,0.1,0.01,4.3,38.5,0.08,4.0,5.5,9.5,80.3,1.5,0.15,9.7,603.9,0.04,80.3,27.7,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.72,0.0,0.0,21.72,22.57,0.0,0.0,22.57,0.0,0.0,0.0,4533.6,848.2,103.5,81.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,3151.8,0.0,346.8,0.0,234.0,614.2
2050-01-01 06:00:00,2050-01-01 06:00:00,11657.9,0.0,0.0,94.6,11752.5,11292.3,11463.5,8228.3,0.0,0.0314,0.0396,hydro,hydro,0.0,0.0,0.0,8.9,20.0,0.18,0.0,9.6,9.6,1.2,0.0,0.0,3.8,16.8,0.07,1.2,4.3,5.5,61.2,1.2,0.12,7.4,460.8,0.03,61.3,21.2,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.72,0.0,0.0,21.72,22.62,0.0,0.0,22.62,0.0,0.0,0.0,3524.2,289.0,0.0,81.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,3151.8,0.0,0.0,0.0,70.6,218.5
2050-01-01 07:00:00,2050-01-01 07:00:00,12211.6,0.0,0.0,66.6,12278.2,11823.5,11322.1,5791.9,0.0,0.0318,0.0415,hydro,gas-cc,0.0,0.0,0.0,4.8,10.9,0.1,0.0,5.2,5.2,20.9,0.4,0.04,6.1,165.6,0.08,20.9,11.0,32.0,60.7,1.1,0.12,7.4,457.9,0.03,60.8,21.0,81.8,367.0,6.9,0.69,43.4,2769.6,0.16,367.4,125.9,493.4,21.72,0.0,0.0,21.72,22.66,0.0,0.0,22.66,0.0,0.0,0.0,6486.2,956.1,1948.2,81.7,0.0,0.0,0.0,519.3,0.0,0.0,0.0,1.7,3151.8,0.0,346.8,342.5,40.2,54.1
