Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p130,NH,ISONE,usa,ET,2040
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2040-01-01 00:00:00,2040-01-01 00:00:00,1680.0,0.0,0.0,25.7,1705.7,1625.3,545.2,1873.8,2749.4,0.0325,0.0442,wind-ons,wind-ons,0.0,0.0,0.0,4.8,10.4,0.09,0.0,5.2,5.2,0.1,0.0,0.0,3.0,7.6,0.06,0.1,3.3,3.4,33.3,0.6,0.07,3.9,248.0,0.02,33.3,11.3,44.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.15,0.0,0.0,9.15,9.58,0.0,0.0,9.58,0.0,0.0,0.0,2581.2,1160.5,52.2,68.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.6,1138.0,0.0,0.0,0.0,1160.5,0.0
2040-01-01 01:00:00,2040-01-01 01:00:00,1548.4,0.0,0.0,26.8,1575.3,1499.3,371.9,1873.8,2870.4,0.0317,0.0407,wind-ons,wind-ons,0.0,0.0,0.0,4.8,10.4,0.09,0.0,5.2,5.2,0.0,0.0,0.0,3.0,6.3,0.06,0.0,3.2,3.2,25.6,0.5,0.05,3.0,190.4,0.01,25.6,8.7,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.15,0.0,0.0,9.15,9.54,0.0,0.0,9.54,0.0,0.0,0.0,2571.8,1203.4,0.0,68.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.6,1138.0,0.0,0.0,0.0,1203.4,0.0
2040-01-01 02:00:00,2040-01-01 02:00:00,1440.0,0.0,0.0,27.9,1467.9,1395.2,260.1,1873.8,2982.2,0.0311,0.0378,wind-ons,wind-ons,0.0,0.0,0.0,4.8,10.4,0.09,0.0,5.2,5.2,0.0,0.0,0.0,3.0,6.3,0.06,0.0,3.2,3.2,25.6,0.5,0.05,3.0,190.3,0.01,25.6,8.7,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.04,0.0,0.0,9.04,9.39,0.0,0.0,9.39,0.0,0.0,0.0,2576.2,1207.8,0.0,68.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.6,1138.0,0.0,0.0,0.0,1207.8,0.0
2040-01-01 03:00:00,2040-01-01 03:00:00,1374.7,0.0,0.0,27.7,1402.4,1332.3,258.8,1873.8,2983.5,0.0308,0.0361,wind-ons,wind-ons,0.0,0.0,0.0,5.0,10.7,0.09,0.0,5.3,5.3,0.0,0.0,0.0,3.0,6.4,0.06,0.0,3.2,3.2,25.6,0.5,0.05,3.0,190.2,0.01,25.6,8.7,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.15,0.0,0.0,9.15,9.5,0.0,0.0,9.5,0.0,0.0,0.0,2512.1,1143.6,0.0,68.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.6,1138.0,0.0,0.0,0.0,1143.6,0.0
2040-01-01 04:00:00,2040-01-01 04:00:00,1361.1,0.0,0.0,26.3,1387.4,1319.1,454.9,1873.8,2790.2,0.0308,0.0358,wind-ons,wind-ons,0.0,0.0,0.0,5.4,11.6,0.1,0.0,5.8,5.8,0.0,0.0,0.0,3.2,6.8,0.06,0.0,3.4,3.4,59.2,1.1,0.12,7.0,442.0,0.03,59.2,20.2,79.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.15,0.0,0.0,9.15,9.49,0.0,0.0,9.49,0.0,0.0,0.0,2303.7,932.5,2.8,68.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.6,1138.0,0.0,0.0,0.0,932.5,0.0
2040-01-01 05:00:00,2040-01-01 05:00:00,1384.2,0.0,0.0,25.4,1409.6,1341.5,601.8,1873.8,2713.4,0.0309,0.0364,battery,gas-cc,0.0,0.0,0.0,5.5,11.9,0.11,0.0,5.9,5.9,0.2,0.0,0.0,3.3,8.7,0.06,0.2,3.6,3.8,84.8,1.6,0.17,10.0,632.4,0.04,84.9,28.9,113.8,397.0,7.5,0.75,46.9,2996.2,0.17,397.5,136.2,533.7,9.15,0.0,0.0,9.15,9.5,0.0,0.0,9.5,0.0,0.0,0.0,2249.1,807.8,72.9,68.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.6,1138.0,0.0,0.0,0.0,807.8,0.0
2040-01-01 06:00:00,2040-01-01 06:00:00,1442.1,0.0,0.0,26.5,1468.6,1397.2,793.2,1873.8,2838.8,0.0311,0.0379,wind-ons,wind-ons,0.0,0.0,0.0,5.1,11.0,0.1,0.0,5.5,5.5,1.1,0.0,0.0,3.6,16.0,0.07,1.2,4.1,5.2,49.6,1.0,0.1,5.9,367.4,0.02,49.6,16.8,66.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.15,0.0,0.0,9.15,9.52,0.0,0.0,9.52,0.0,0.0,0.0,2433.5,675.4,389.6,68.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.6,1138.0,0.0,0.0,0.0,675.4,0.0
2040-01-01 07:00:00,2040-01-01 07:00:00,1549.5,0.0,0.0,23.3,1572.8,1500.4,1159.6,1873.8,2472.4,0.0317,0.0407,battery,gas-cc,0.0,0.0,0.0,5.7,12.3,0.11,0.0,6.1,6.1,1.2,0.0,0.0,3.8,17.1,0.07,1.2,4.4,5.6,90.7,1.7,0.18,10.7,675.8,0.04,90.8,30.9,121.6,398.8,7.5,0.75,47.1,3009.7,0.17,399.3,136.9,536.1,9.15,0.0,0.0,9.15,9.54,0.0,0.0,9.54,0.0,0.0,0.0,2171.4,413.2,389.6,68.9,0.0,0.0,0.0,16.4,0.0,0.0,0.0,161.6,1138.0,0.0,0.0,39.6,357.2,0.0
