Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p131,MA,ISONE,usa,ET,2025
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2025-01-01 00:00:00,2025-01-01 00:00:00,5582.1,73.3,0.0,34.8,5690.2,5401.3,3989.3,3841.7,681.4,0.0324,0.0435,battery,gas-cc,82.7,1.6,0.16,12.3,775.5,0.05,82.8,35.4,118.2,104.5,2.0,0.2,15.7,982.4,0.09,104.6,45.0,149.6,220.1,4.2,0.42,26.0,2050.9,0.1,220.3,87.1,307.4,406.1,7.7,0.77,48.0,3793.8,0.18,406.5,161.1,567.6,34.78,0.0,0.0,34.78,36.36,0.0,0.0,36.36,0.0,0.0,0.0,2529.8,1700.9,0.0,144.6,0.0,0.0,0.0,0.0,577.1,0.0,0.0,107.3,0.0,0.0,0.0,0.0,303.2,1397.7
2025-01-01 01:00:00,2025-01-01 01:00:00,5254.7,0.0,568.5,36.0,5859.2,5087.8,4163.4,3988.9,654.4,0.0318,0.0409,battery,gas-cc,82.8,1.6,0.16,12.3,777.1,0.05,82.9,35.5,118.4,107.4,2.0,0.2,16.1,1009.2,0.09,107.5,46.2,153.7,195.4,3.7,0.38,23.1,1807.3,0.09,195.6,77.0,272.6,405.0,7.6,0.76,47.8,3783.7,0.18,405.4,160.6,566.1,34.78,0.0,0.0,34.78,36.26,0.0,0.0,36.26,0.0,0.0,0.0,2524.7,1695.8,0.0,144.6,0.0,0.0,0.0,0.0,577.1,0.0,0.0,107.3,0.0,0.0,0.0,0.0,308.8,1387.0
2025-01-01 02:00:00,2025-01-01 02:00:00,5020.0,156.7,835.3,36.9,6049.0,4862.4,4398.7,4132.1,562.3,0.0314,0.0391,battery,gas-cc,84.4,1.6,0.16,12.6,791.4,0.05,84.5,36.2,120.6,110.5,2.1,0.21,16.6,1038.8,0.09,110.6,47.5,158.2,146.7,2.8,0.28,17.3,1370.3,0.06,146.9,58.2,205.0,411.3,7.8,0.78,48.6,3843.0,0.18,411.8,163.2,574.9,34.78,0.0,0.0,34.78,36.19,0.0,0.0,36.19,0.0,0.0,0.0,2479.2,1650.2,0.0,144.6,0.0,0.0,0.0,0.0,577.1,0.0,0.0,107.3,0.0,0.0,0.0,0.0,307.8,1342.4
2025-01-01 03:00:00,2025-01-01 03:00:00,4904.2,0.0,1046.7,37.1,5988.0,4751.1,4426.7,4150.6,552.8,0.0312,0.0382,phs,gas-cc,87.5,1.6,0.16,13.0,820.8,0.05,87.6,37.5,125.1,112.4,2.1,0.21,16.9,1056.4,0.1,112.5,48.4,160.9,117.2,2.3,0.24,13.9,1072.0,0.06,117.3,45.8,163.2,410.9,7.7,0.77,48.5,3839.4,0.18,411.4,163.0,574.4,34.78,0.0,0.0,34.78,36.16,0.0,0.0,36.16,0.0,0.0,0.0,2390.2,1561.3,0.0,144.6,0.0,0.0,0.0,0.0,577.1,0.0,0.0,107.3,0.0,0.0,0.0,0.0,306.4,1254.9
2025-01-01 04:00:00,2025-01-01 04:00:00,4864.2,0.0,951.2,37.3,5852.7,4712.6,4464.5,4182.4,546.9,0.0312,0.0379,phs,gas-cc,94.3,1.8,0.18,14.1,884.9,0.05,94.4,40.4,134.9,116.2,2.2,0.22,17.4,1092.5,0.1,116.4,50.0,166.4,170.3,3.2,0.32,20.1,1587.9,0.07,170.5,67.5,238.0,410.8,7.7,0.77,48.5,3838.1,0.18,411.2,163.0,574.2,34.78,0.0,0.0,34.78,36.15,0.0,0.0,36.15,0.0,0.0,0.0,2217.2,1388.2,0.0,144.6,0.0,0.0,0.0,0.0,577.1,0.0,0.0,107.3,0.0,0.0,0.0,0.0,296.2,1092.1
2025-01-01 05:00:00,2025-01-01 05:00:00,4964.2,4.6,424.8,36.1,5429.7,4808.8,4227.1,4015.7,617.6,0.0313,0.0387,battery,gas-cc,102.9,1.9,0.19,15.3,965.7,0.06,103.1,44.1,147.2,118.6,2.2,0.22,17.7,1114.4,0.1,118.7,51.0,169.7,234.7,4.7,0.53,27.9,2091.9,0.13,235.0,90.3,325.3,404.0,7.6,0.76,47.7,3774.8,0.18,404.5,160.3,564.7,34.78,0.0,0.0,34.78,36.18,0.0,0.0,36.18,0.0,0.0,0.0,2031.6,1202.6,0.0,144.6,0.0,0.0,0.0,0.0,577.1,0.0,0.0,107.3,0.0,0.0,0.0,0.0,284.1,918.5
2025-01-01 06:00:00,2025-01-01 06:00:00,5133.7,0.0,0.0,36.0,5169.6,4971.6,4219.9,4000.8,609.9,0.0316,0.04,gas-cc,gas-cc,117.6,2.2,0.22,17.5,1103.0,0.07,117.7,50.4,168.1,127.1,2.4,0.24,18.9,1194.2,0.11,127.2,54.5,181.7,235.3,4.5,0.46,27.8,2182.7,0.11,235.5,92.9,328.4,404.6,7.6,0.76,47.8,3779.9,0.18,405.0,160.5,565.5,35.64,0.0,0.0,35.64,37.12,0.0,0.0,37.12,0.0,0.0,0.0,1778.7,949.7,0.0,144.6,0.0,0.0,0.0,0.0,577.1,0.0,0.0,107.3,0.0,0.0,0.0,0.0,225.1,724.6
2025-01-01 07:00:00,2025-01-01 07:00:00,5253.7,0.0,0.0,35.9,5289.6,5086.8,4359.5,4030.6,500.0,0.0318,0.0409,gas-cc,gas-cc,118.9,2.2,0.22,17.7,1115.4,0.07,119.0,51.0,170.0,125.5,2.4,0.24,18.7,1179.1,0.1,125.6,53.9,179.5,238.2,4.5,0.45,28.1,2223.8,0.1,238.5,94.4,332.9,405.0,7.6,0.76,47.8,3783.6,0.18,405.4,160.6,566.1,35.64,0.0,0.0,35.64,37.16,0.0,0.0,37.16,0.0,0.0,0.0,1759.0,930.1,0.0,144.6,0.0,0.0,0.0,51.6,577.1,0.0,0.0,107.3,0.0,0.0,0.0,225.2,142.2,511.1
