Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p132,CT,ISONE,usa,ET,2045
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2045-01-01 00:00:00,2045-01-01 00:00:00,4243.2,0.0,0.0,0.8,4243.9,4106.6,2166.1,126.0,0.0,0.0322,0.0433,battery,hydro,0.0,0.0,0.0,4.8,10.4,0.09,0.0,5.1,5.1,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.2,0.2,0.3,0.0,0.0,0.0,2.3,0.0,0.3,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.88,0.0,-1.9,10.97,13.46,0.0,-1.99,11.47,0.0,0.0,0.0,4118.0,2077.8,15.8,85.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.6,1839.4,0.0,0.0,0.0,961.1,1116.7
2045-01-01 01:00:00,2045-01-01 01:00:00,3926.3,75.2,0.0,1.4,4002.9,3803.0,2059.5,126.0,90.8,0.0314,0.04,hydro,hydro,0.0,0.0,0.0,4.9,10.7,0.1,0.0,5.3,5.3,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,1.7,0.0,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91,0.0,-1.79,9.12,11.37,0.0,-1.87,9.5,0.0,0.0,0.0,3967.8,1943.4,0.0,85.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.6,1839.4,0.0,0.0,0.0,943.8,999.6
2045-01-01 02:00:00,2045-01-01 02:00:00,3670.5,75.2,0.0,1.7,3747.4,3557.1,2020.0,126.0,130.4,0.0309,0.0374,wind-ons,wind-ons,0.0,0.0,0.0,5.2,11.4,0.1,0.0,5.6,5.6,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,1.8,0.0,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91,0.0,-1.7,9.22,11.34,0.0,-1.77,9.57,0.0,0.0,0.0,3751.8,1727.5,0.0,85.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.6,1839.4,0.0,0.0,0.0,909.3,818.1
2045-01-01 03:00:00,2045-01-01 03:00:00,3564.2,30.6,0.0,1.5,3596.3,3454.7,2046.9,126.0,103.4,0.0307,0.0363,battery,gas-cc,0.0,0.0,0.0,5.5,11.9,0.11,0.0,5.9,5.9,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.2,0.2,0.5,0.0,0.0,0.1,3.5,0.0,0.5,0.2,0.6,383.2,7.2,0.72,45.3,2892.0,0.17,383.6,131.5,515.1,10.91,0.0,33.8,44.71,11.33,0.0,35.07,46.4,0.0,0.0,0.0,3573.8,1549.4,0.0,85.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.6,1839.4,0.0,0.0,0.0,888.8,660.7
2045-01-01 04:00:00,2045-01-01 04:00:00,3443.2,0.0,0.0,0.8,3444.0,3338.0,2217.1,126.0,0.0,0.0305,0.0351,battery,hydro,0.0,0.0,0.0,5.9,12.9,0.11,0.0,6.3,6.3,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.2,0.3,0.5,0.0,0.0,0.1,3.6,0.0,0.5,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.88,0.0,-1.62,11.26,13.34,0.0,-1.68,11.67,0.0,0.0,0.0,3318.0,1226.8,66.8,85.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.6,1839.4,0.0,0.0,0.0,740.5,486.3
2045-01-01 05:00:00,2045-01-01 05:00:00,3483.2,0.0,0.0,4.2,3487.3,3376.6,2710.1,610.5,0.0,0.0306,0.0355,battery,gas-cc,0.0,0.0,0.0,6.8,14.8,0.13,0.0,7.3,7.3,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.2,0.3,0.8,0.0,0.0,0.1,5.7,0.0,0.8,0.3,1.0,382.9,7.2,0.72,45.2,2889.5,0.17,383.3,131.4,514.7,22.77,0.0,33.83,56.59,23.61,0.0,35.07,58.68,0.0,0.0,0.0,2876.8,777.3,75.2,85.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.6,1839.4,0.0,0.0,0.0,484.6,292.7
2045-01-01 06:00:00,2045-01-01 06:00:00,3655.8,0.0,0.0,8.1,3663.9,3542.9,3269.9,1170.3,0.0,0.0309,0.0373,wind-ons,wind-ons,0.0,0.0,0.0,7.9,17.1,0.15,0.0,8.4,8.4,0.1,0.0,0.0,0.2,0.9,0.0,0.1,0.2,0.3,0.4,0.0,0.0,0.1,3.3,0.0,0.4,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.77,0.0,-1.69,21.07,23.65,0.0,-1.76,21.89,0.0,0.0,0.0,2493.6,394.0,75.2,85.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.6,1839.4,0.0,0.0,0.0,216.2,177.9
2045-01-01 07:00:00,2045-01-01 07:00:00,3812.6,0.0,0.0,9.4,3822.1,3693.8,3456.7,1357.1,0.0,0.0312,0.0389,battery,gas-cc,0.0,0.0,0.0,7.9,17.3,0.15,0.0,8.5,8.5,0.1,0.0,0.0,0.2,0.9,0.0,0.1,0.2,0.3,0.4,0.0,0.0,0.0,3.0,0.0,0.4,0.1,0.5,394.7,7.4,0.74,46.6,2978.7,0.17,395.1,135.4,530.6,22.77,0.0,33.71,56.48,23.69,0.0,35.07,58.76,0.0,0.0,0.0,2464.9,365.4,75.2,85.4,0.0,0.0,0.0,133.8,0.0,0.0,0.0,99.6,1839.4,0.0,0.0,67.5,79.8,84.3
