Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p133,RI,ISONE,usa,ET,2025
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2025-01-01 00:00:00,2025-01-01 00:00:00,837.9,17.4,0.0,2.4,857.7,810.9,815.6,792.9,0.0,0.0323,0.0433,battery,gas-cc,0.0,0.0,0.0,11.3,13.9,0.05,0.0,11.8,11.8,111.1,2.1,0.21,17.2,1044.4,0.1,111.2,48.3,159.5,328.4,6.2,0.63,38.8,3060.3,0.14,328.7,130.0,458.8,415.4,7.8,0.78,49.1,3880.9,0.18,415.8,164.8,580.6,34.97,0.0,0.0,34.97,36.55,0.0,0.0,36.55,0.0,0.0,0.0,64.8,42.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,21.3,20.7
2025-01-01 01:00:00,2025-01-01 01:00:00,774.7,53.8,0.0,2.3,830.8,750.3,788.7,765.9,0.0,0.0315,0.04,battery,gas-cc,0.0,0.0,0.0,11.3,13.8,0.05,0.0,11.8,11.8,113.6,2.1,0.21,17.6,1068.2,0.1,113.7,49.4,163.1,291.6,5.6,0.57,34.5,2696.5,0.13,291.9,114.9,406.7,404.6,7.6,0.76,47.8,3780.1,0.18,405.0,160.5,565.5,34.97,0.0,0.0,34.97,36.43,0.0,0.0,36.43,0.0,0.0,0.0,64.9,42.1,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,22.0,20.2
2025-01-01 02:00:00,2025-01-01 02:00:00,732.6,0.0,0.0,2.1,734.7,709.9,696.6,673.8,0.0,0.0311,0.0379,battery,gas-cc,0.0,0.0,0.0,12.1,14.7,0.05,0.0,12.5,12.5,117.4,2.2,0.22,18.2,1104.3,0.1,117.5,51.1,168.7,218.9,4.1,0.41,25.9,2044.4,0.09,219.1,86.8,305.9,410.8,7.7,0.77,48.5,3838.0,0.18,411.2,162.9,574.2,34.97,0.0,0.0,34.97,36.34,0.0,0.0,36.34,0.0,0.0,0.0,60.9,38.1,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,22.1,16.1
2025-01-01 03:00:00,2025-01-01 03:00:00,720.0,0.0,0.0,2.1,722.1,697.7,687.1,664.3,0.0,0.0309,0.0372,phs,gas-cc,0.0,0.0,0.0,12.7,15.5,0.06,0.0,13.2,13.2,119.5,2.3,0.23,18.5,1123.8,0.1,119.6,52.0,171.7,174.9,3.4,0.36,20.7,1599.5,0.08,175.1,68.4,243.5,410.5,7.7,0.77,48.5,3835.4,0.18,411.0,162.8,573.8,34.97,0.0,0.0,34.97,36.32,0.0,0.0,36.32,0.0,0.0,0.0,57.7,35.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,21.7,13.3
2025-01-01 04:00:00,2025-01-01 04:00:00,710.5,0.0,0.0,2.0,712.6,688.6,681.1,658.3,0.0,0.0309,0.0367,phs,gas-cc,0.0,0.0,0.0,13.6,16.6,0.06,0.0,14.1,14.1,123.2,2.3,0.23,19.1,1158.7,0.11,123.3,53.6,177.0,254.1,4.8,0.48,30.0,2369.0,0.11,254.4,100.7,355.1,410.3,7.7,0.77,48.5,3833.4,0.18,410.7,162.8,573.5,34.97,0.0,0.0,34.97,36.3,0.0,0.0,36.3,0.0,0.0,0.0,54.2,31.5,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,20.9,10.6
2025-01-01 05:00:00,2025-01-01 05:00:00,720.0,53.8,0.0,2.2,776.0,697.7,751.8,729.1,0.0,0.0309,0.0372,battery,gas-cc,0.0,0.0,0.0,15.7,19.1,0.07,0.0,16.3,16.3,126.2,2.4,0.24,19.4,1186.5,0.11,126.3,54.8,181.1,350.2,7.0,0.79,41.7,3120.8,0.19,350.6,134.7,485.3,403.4,7.6,0.76,47.7,3769.0,0.17,403.8,160.0,563.9,34.97,0.0,0.0,34.97,36.32,0.0,0.0,36.32,0.0,0.0,0.0,46.9,24.2,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,16.6,7.6
2025-01-01 06:00:00,2025-01-01 06:00:00,755.8,0.0,0.0,2.2,758.0,732.1,744.1,721.3,0.0,0.0313,0.0391,gas-cc,gas-cc,0.0,0.0,0.0,20.1,24.5,0.09,0.0,20.8,20.8,136.2,2.6,0.26,20.8,1280.2,0.12,136.3,59.0,195.3,351.0,6.7,0.68,41.5,3256.6,0.16,351.4,138.6,490.0,404.2,7.6,0.76,47.7,3776.2,0.18,404.6,160.3,564.9,35.83,0.0,0.0,35.83,37.29,0.0,0.0,37.29,0.0,0.0,0.0,36.6,13.9,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,8.8,5.1
2025-01-01 07:00:00,2025-01-01 07:00:00,775.8,0.0,0.0,1.9,777.7,751.4,634.3,611.5,0.0,0.0315,0.0401,gas-cc,gas-cc,0.0,0.0,0.0,4.4,5.4,0.02,0.0,4.6,4.6,112.8,2.1,0.21,17.4,1060.6,0.1,112.9,49.0,161.9,355.4,6.7,0.67,42.0,3317.9,0.15,355.8,140.9,496.7,404.6,7.6,0.76,47.8,3780.3,0.18,405.1,160.5,565.6,35.83,0.0,0.0,35.83,37.33,0.0,0.0,37.33,0.0,0.0,0.0,166.2,143.4,0.0,22.0,0.0,0.0,0.0,55.4,0.0,0.0,0.0,0.8,0.0,0.0,0.0,82.3,2.5,3.3
