Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p134,ME,ISONE,usa,ET,2035
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2035-01-01 00:00:00,2035-01-01 00:00:00,1642.1,0.0,0.0,0.2,1642.3,1587.3,344.5,26.6,0.0,0.0334,0.0466,gas-cc,gas-cc,0.0,0.0,0.0,1.2,1.5,0.01,0.0,1.3,1.3,0.0,0.0,0.0,1.4,1.8,0.01,0.0,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.1,7.2,0.72,44.9,2868.5,0.16,380.5,130.4,511.0,25.24,0.0,1.23,26.47,26.48,0.0,1.29,27.76,0.0,0.0,0.0,1615.7,1297.7,0.0,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.2,0.0,0.0,0.0,0.0,1283.8,14.0
2035-01-01 01:00:00,2035-01-01 01:00:00,1507.4,0.0,0.0,0.5,1507.9,1458.6,230.5,0.0,87.5,0.0324,0.0428,gas-cc,gas-cc,0.0,0.0,0.0,1.3,1.5,0.01,0.0,1.3,1.3,0.0,0.0,0.0,1.3,1.6,0.01,0.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.6,7.1,0.71,44.7,2857.0,0.16,379.0,129.9,508.9,24.18,0.0,1.23,25.41,25.26,0.0,1.29,26.55,0.0,0.0,0.0,1595.4,1277.4,0.0,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.2,0.0,0.0,0.0,0.0,1262.2,15.2
2035-01-01 02:00:00,2035-01-01 02:00:00,1468.4,0.0,0.0,0.8,1469.2,1421.3,186.8,0.0,131.1,0.0321,0.0417,gas-cc,gas-cc,0.0,0.0,0.0,1.3,1.5,0.01,0.0,1.3,1.3,0.0,0.0,0.0,1.3,1.6,0.01,0.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.2,7.1,0.71,44.7,2853.7,0.16,378.6,129.8,508.3,24.18,0.0,1.23,25.41,25.23,0.0,1.29,26.52,0.0,0.0,0.0,1600.4,1282.4,0.0,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.2,0.0,0.0,0.0,0.0,1265.4,17.0
2035-01-01 03:00:00,2035-01-01 03:00:00,1447.4,0.0,0.0,1.5,1448.9,1401.1,61.0,0.0,256.9,0.032,0.0411,gas-cc,gas-cc,0.0,0.0,0.0,1.2,1.4,0.01,0.0,1.2,1.2,0.0,0.0,0.0,1.2,1.5,0.01,0.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.9,7.1,0.71,44.6,2851.9,0.16,378.3,129.7,508.0,24.18,0.0,1.23,25.41,25.22,0.0,1.29,26.5,0.0,0.0,0.0,1705.8,1387.9,0.0,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.2,0.0,0.0,0.0,0.0,1375.1,12.7
2035-01-01 04:00:00,2035-01-01 04:00:00,1412.6,0.0,0.0,1.4,1414.0,1367.8,85.6,0.0,232.3,0.0317,0.0401,gas-cc,gas-cc,0.0,0.0,0.0,1.2,1.5,0.01,0.0,1.3,1.3,0.0,0.0,0.0,1.3,1.5,0.01,0.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.5,7.1,0.71,44.6,2849.0,0.16,377.9,129.5,507.5,24.61,0.0,1.23,25.85,25.64,0.0,1.29,26.93,0.0,0.0,0.0,1646.3,1328.4,0.0,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.2,0.0,0.0,0.0,0.0,1317.0,11.4
2035-01-01 05:00:00,2035-01-01 05:00:00,1433.7,0.0,0.0,0.3,1434.0,1388.0,269.6,0.0,48.3,0.0319,0.0407,gas-cc,gas-cc,0.0,0.0,0.0,1.4,1.7,0.01,0.0,1.4,1.4,0.0,0.0,0.0,1.4,1.7,0.01,0.0,1.5,1.5,18.8,0.4,0.05,2.3,132.2,0.01,18.9,6.2,25.1,411.5,7.8,0.78,48.6,3105.4,0.18,412.0,141.2,553.2,25.84,0.0,1.23,27.08,26.94,0.0,1.29,28.23,0.0,0.0,0.0,1482.3,1164.4,0.0,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.2,0.0,0.0,0.0,0.0,1153.0,11.4
2035-01-01 06:00:00,2035-01-01 06:00:00,1514.7,0.0,0.0,1.3,1516.0,1465.7,102.9,0.0,215.0,0.0324,0.043,canada,gas-cc,0.0,0.0,0.0,1.2,1.4,0.01,0.0,1.2,1.2,0.0,0.0,0.0,1.2,1.5,0.01,0.0,1.2,1.2,28.6,0.6,0.06,3.4,208.2,0.01,28.6,9.6,38.2,403.2,7.6,0.76,47.6,3042.5,0.17,403.6,138.3,542.0,26.9,0.0,1.23,28.14,28.11,0.0,1.29,29.4,0.0,0.0,0.0,1731.1,1413.1,0.0,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.2,0.0,0.0,0.0,0.0,1402.1,11.0
2035-01-01 07:00:00,2035-01-01 07:00:00,1607.4,0.0,0.0,1.7,1609.1,1554.2,187.7,0.0,286.1,0.0331,0.0456,hydro,gas-cc,0.0,0.0,0.0,1.1,1.3,0.0,0.0,1.1,1.1,0.0,0.0,0.0,1.1,1.3,0.0,0.0,1.1,1.1,65.5,1.3,0.13,7.7,489.4,0.03,65.6,22.3,87.9,470.4,8.9,0.89,55.6,3549.6,0.2,470.9,161.4,632.3,26.9,0.0,1.23,28.13,28.19,0.0,1.29,29.48,0.0,0.0,0.0,1895.2,1421.4,0.0,52.7,0.0,0.0,0.0,265.4,0.0,0.0,0.0,421.1,0.0,0.0,0.0,121.3,1025.0,9.7
