Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p13,NV,NorthernGrid_South,usa,PT,2050
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2050-01-01 03:00:00,2050-01-01 00:00:00,5008.4,0.0,0.0,10.0,5018.4,4850.4,5018.4,0.0,498.2,0.0316,0.0413,battery,gas-cc,291.8,5.5,0.55,34.5,2201.8,0.13,292.1,100.1,392.2,116.3,2.2,0.22,13.7,877.7,0.05,116.4,39.9,156.3,63.4,1.2,0.12,7.5,478.5,0.03,63.5,21.8,85.2,366.9,6.9,0.69,43.3,2768.9,0.16,367.3,125.9,493.2,32.25,0.0,1.25,33.5,33.64,0.0,1.3,34.94,0.0,0.0,0.0,5516.6,0.0,10.4,3.4,0.0,0.0,0.0,0.0,4575.5,0.0,0.0,927.3,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 04:00:00,2050-01-01 01:00:00,4745.3,0.0,0.0,0.0,4745.3,4597.8,4745.3,0.0,0.0,0.0311,0.0391,gas-cc,gas-cc,351.5,6.6,0.66,41.5,2652.7,0.15,351.9,120.6,472.5,140.1,2.6,0.26,16.6,1056.9,0.06,140.2,48.1,188.3,54.8,1.0,0.1,6.5,413.6,0.02,54.9,18.8,73.7,366.1,6.9,0.69,43.2,2762.6,0.16,366.5,125.6,492.1,32.25,0.0,1.25,33.5,33.56,0.0,1.3,34.86,0.0,0.0,0.0,4745.3,0.0,0.0,3.4,0.0,0.0,0.0,0.0,4741.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 05:00:00,2050-01-01 02:00:00,4537.9,0.0,0.0,0.8,4538.7,4398.3,4538.7,0.0,40.2,0.0308,0.0374,battery,gas-cc,351.5,6.6,0.66,41.5,2652.7,0.15,351.9,120.6,472.5,140.0,2.6,0.26,16.5,1056.5,0.06,140.2,48.0,188.2,54.1,1.0,0.1,6.4,408.5,0.02,54.2,18.6,72.8,380.6,7.2,0.72,45.0,2871.7,0.16,381.0,130.6,511.5,32.25,0.0,1.25,33.5,33.5,0.0,1.3,34.8,0.0,0.0,0.0,4578.9,0.0,0.0,3.4,0.0,0.0,0.0,0.0,4575.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 06:00:00,2050-01-01 03:00:00,4412.6,0.0,0.0,3.3,4415.9,4277.7,4415.9,0.0,163.0,0.0306,0.0364,battery,gas-cc,351.5,6.6,0.66,41.5,2652.7,0.15,351.9,120.6,472.5,140.0,2.6,0.26,16.5,1056.3,0.06,140.1,48.0,188.2,61.2,1.2,0.12,7.2,461.8,0.03,61.3,21.0,82.3,380.1,7.2,0.72,44.9,2868.6,0.16,380.6,130.4,511.0,32.25,0.0,1.25,33.5,33.47,0.0,1.3,34.77,0.0,0.0,0.0,4578.9,0.0,0.0,3.4,0.0,0.0,0.0,0.0,4575.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 07:00:00,2050-01-01 04:00:00,4342.1,0.0,0.0,15.3,4357.4,4209.7,4357.4,0.0,766.5,0.0305,0.0358,gas-cc,gas-cc,348.7,6.6,0.66,41.2,2631.4,0.15,349.1,119.7,468.7,138.8,2.6,0.26,16.4,1047.8,0.06,139.0,47.6,186.6,44.9,0.8,0.08,5.3,339.1,0.02,45.0,15.4,60.4,364.8,6.9,0.69,43.1,2753.1,0.16,365.2,125.2,490.4,32.25,0.0,1.26,33.5,33.45,0.0,1.3,34.75,0.0,0.0,0.0,5123.9,0.0,41.4,3.4,0.0,0.0,0.0,0.0,5079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 08:00:00,2050-01-01 05:00:00,4363.2,0.0,0.0,8.1,4371.2,4230.0,4371.2,0.0,403.2,0.0305,0.0359,battery,gas-cc,337.1,6.4,0.64,39.8,2544.1,0.15,337.5,115.7,453.2,134.2,2.5,0.25,15.9,1013.0,0.06,134.4,46.1,180.5,60.4,1.1,0.11,7.1,455.5,0.03,60.4,20.7,81.1,364.9,6.9,0.69,43.1,2753.6,0.16,365.3,125.2,490.5,32.25,0.0,1.25,33.5,33.45,0.0,1.3,34.75,0.0,0.0,0.0,4774.4,0.0,195.5,3.4,0.0,0.0,0.0,0.0,4575.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 09:00:00,2050-01-01 06:00:00,4427.4,0.0,0.0,9.7,4437.0,4291.9,4291.1,0.0,482.6,0.0306,0.0365,battery,gas-cc,327.2,6.2,0.62,38.7,2469.0,0.14,327.5,112.3,439.8,130.3,2.5,0.25,15.4,983.2,0.06,130.4,44.7,175.1,43.4,0.8,0.08,5.1,327.2,0.02,43.4,14.9,58.3,365.1,6.9,0.69,43.1,2755.1,0.16,365.5,125.3,490.8,32.25,0.0,1.25,33.5,33.47,0.0,1.3,34.77,0.0,0.0,0.0,4919.6,145.9,194.8,3.4,0.0,0.0,0.0,9.8,4575.5,0.0,0.0,0.0,0.0,0.0,0.0,136.1,0.0,0.0
2050-01-01 10:00:00,2050-01-01 07:00:00,4563.2,789.2,0.0,178.3,5530.7,4422.6,-3205.7,4604.1,7813.2,0.0308,0.0376,battery,wind-ons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,-0.2,4.6,4.98,0.0,-0.21,4.78,0.0,0.0,0.0,8739.8,8736.4,0.0,3.4,0.0,0.0,0.0,283.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8452.9,0.0,0.0
