Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p14,ID,NorthernGrid_East,usa,PT,2025
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2025-01-01 03:00:00,2025-01-01 00:00:00,493.7,0.0,0.0,2.4,496.1,477.2,496.1,477.3,0.0,0.0334,0.0468,unknown,unknown,0.0,0.0,0.0,15.2,18.6,0.07,0.0,15.8,15.8,0.0,0.0,0.0,1.7,2.1,0.01,0.0,1.8,1.8,1058.2,121.9,17.73,32.6,2304.3,0.52,1066.7,101.4,1168.1,330.2,30.9,4.43,16.7,1251.2,0.16,332.3,54.0,386.3,31.42,0.0,0.0,31.42,32.96,0.0,0.0,32.96,0.0,0.0,0.0,18.8,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 04:00:00,2025-01-01 01:00:00,481.1,0.0,0.0,2.4,483.4,465.1,483.4,471.6,0.0,0.0331,0.0456,wind-ons,wind-ons,0.0,0.0,0.0,24.1,29.5,0.11,0.0,25.0,25.0,0.0,0.0,0.0,1.8,2.1,0.01,0.0,1.8,1.8,1057.4,121.8,17.71,32.6,2302.6,0.52,1065.9,101.3,1167.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.42,0.0,0.0,31.42,32.92,0.0,0.0,32.92,0.0,0.0,0.0,11.8,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 05:00:00,2025-01-01 02:00:00,475.8,0.0,0.0,2.3,478.1,460.1,478.1,466.3,0.0,0.033,0.0451,wind-ons,wind-ons,0.0,0.0,0.0,24.1,29.5,0.11,0.0,25.0,25.0,0.0,0.0,0.0,1.8,2.2,0.01,0.0,1.9,1.9,1053.6,121.3,17.65,32.5,2294.3,0.52,1062.0,101.0,1163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.42,0.0,0.0,31.42,32.9,0.0,0.0,32.9,0.0,0.0,0.0,11.8,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 06:00:00,2025-01-01 03:00:00,473.7,0.0,0.0,2.3,476.0,458.1,476.0,464.2,0.0,0.0329,0.0449,wind-ons,wind-ons,0.0,0.0,0.0,24.1,29.5,0.11,0.0,25.0,25.0,0.0,0.0,0.0,1.8,2.2,0.01,0.0,1.9,1.9,1055.9,121.6,17.69,32.5,2299.3,0.52,1064.3,101.2,1165.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.42,0.0,0.0,31.42,32.89,0.0,0.0,32.89,0.0,0.0,0.0,11.8,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 07:00:00,2025-01-01 04:00:00,475.8,0.0,0.0,2.3,478.1,460.1,478.1,466.3,0.0,0.033,0.0451,wind-ons,wind-ons,0.0,0.0,0.0,24.1,29.5,0.11,0.0,25.0,25.0,0.0,0.0,0.0,1.8,2.2,0.01,0.0,1.9,1.9,1059.5,122.0,17.75,32.6,2307.1,0.52,1068.0,101.5,1169.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.42,0.0,0.0,31.42,32.9,0.0,0.0,32.9,0.0,0.0,0.0,11.8,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 08:00:00,2025-01-01 05:00:00,493.7,0.0,0.0,0.8,494.5,477.2,494.5,168.6,0.0,0.0334,0.0468,wind-ons,wind-ons,0.0,0.0,0.0,0.9,1.1,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.1,1.3,0.0,0.0,1.1,1.1,912.7,97.6,14.12,35.0,2547.0,0.45,919.5,111.0,1030.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.42,0.0,0.0,31.42,32.96,0.0,0.0,32.96,0.0,0.0,0.0,325.9,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.4,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 09:00:00,2025-01-01 06:00:00,509.5,0.0,0.0,0.9,510.4,492.2,510.4,184.5,0.0,0.0339,0.0483,wind-ons,wind-ons,0.0,0.0,0.0,0.9,1.1,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.1,1.3,0.0,0.0,1.1,1.1,926.7,99.9,14.46,34.8,2527.3,0.45,933.6,110.2,1043.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.42,0.0,0.0,31.42,33.01,0.0,0.0,33.01,0.0,0.0,0.0,325.9,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.4,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 10:00:00,2025-01-01 07:00:00,531.6,0.0,0.0,2.4,534.0,513.2,532.9,477.3,0.0,0.0345,0.0504,unknown,unknown,0.0,0.0,0.0,5.0,6.2,0.02,0.0,5.2,5.2,0.0,0.0,0.0,1.5,1.9,0.01,0.0,1.6,1.6,1027.8,117.0,17.0,32.9,2342.2,0.5,1035.9,102.9,1138.8,1102.5,120.0,17.39,40.3,2921.7,0.54,1110.8,127.5,1238.3,31.42,0.0,0.0,31.42,33.09,0.0,0.0,33.09,0.0,0.0,0.0,56.6,1.0,0.0,6.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.1,0.0,0.0,0.0,0.0,0.0,0.0
