Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p16,ID,NorthernGrid_East,usa,MT,2030
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2030-01-01 02:00:00,2030-01-01 00:00:00,795.8,0.0,0.0,19.9,815.6,768.7,244.9,900.5,796.4,0.0341,0.049,battery,gas-cc,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,48.7,1.9,0.25,4.8,310.0,0.02,48.8,14.1,62.9,411.2,7.7,0.77,48.6,3103.1,0.18,411.7,141.1,552.8,21.77,0.0,0.0,21.77,22.89,0.0,0.0,22.89,0.0,0.0,0.0,711.5,570.7,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,8.5,128.1,0.0,0.0,0.0,0.0,570.7,0.0
2030-01-01 03:00:00,2030-01-01 01:00:00,754.7,0.0,0.0,18.6,773.3,729.6,184.3,814.7,771.2,0.0333,0.0465,wind-ons,wind-ons,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,44.3,1.7,0.21,4.5,287.6,0.02,44.4,13.1,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.45,0.0,0.0,21.45,22.5,0.0,0.0,22.5,0.0,0.0,0.0,729.8,589.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,8.5,128.1,0.0,0.0,0.0,0.0,589.0,0.0
2030-01-01 04:00:00,2030-01-01 02:00:00,732.6,0.0,0.0,17.9,750.5,708.5,195.0,788.7,734.5,0.033,0.0451,wind-ons,wind-ons,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,44.1,1.7,0.21,4.5,286.8,0.02,44.2,13.0,57.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.45,0.0,0.0,21.45,22.47,0.0,0.0,22.47,0.0,0.0,0.0,696.3,555.5,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,8.5,128.1,0.0,0.0,0.0,0.0,555.5,0.0
2030-01-01 05:00:00,2030-01-01 03:00:00,717.9,0.0,0.0,18.3,736.2,694.4,245.1,833.8,729.5,0.0327,0.0442,wind-ons,wind-ons,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,51.5,2.3,0.3,4.9,316.6,0.02,51.6,14.4,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.45,0.0,0.0,21.45,22.45,0.0,0.0,22.45,0.0,0.0,0.0,631.9,491.1,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,8.5,128.1,0.0,0.0,0.0,0.0,491.1,0.0
2030-01-01 06:00:00,2030-01-01 04:00:00,712.6,0.0,0.0,18.4,731.0,689.4,318.3,876.1,698.6,0.0326,0.0439,battery,gas-cc,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,45.5,1.8,0.23,4.5,292.4,0.02,45.6,13.3,58.9,409.0,7.7,0.77,48.3,3086.5,0.18,409.5,140.3,549.8,21.77,0.0,0.0,21.77,22.77,0.0,0.0,22.77,0.0,0.0,0.0,553.5,412.7,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,8.5,128.1,0.0,0.0,0.0,0.0,412.7,0.0
2030-01-01 07:00:00,2030-01-01 05:00:00,711.6,0.0,0.0,18.9,730.5,688.4,370.7,926.8,697.0,0.0326,0.0438,hydro,wind-ons,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,57.7,2.8,0.37,5.3,342.1,0.03,57.9,15.5,73.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.77,0.0,0.0,21.77,22.77,0.0,0.0,22.77,0.0,0.0,0.0,500.7,359.8,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,8.5,128.1,0.0,0.0,0.0,0.0,359.8,0.0
2030-01-01 08:00:00,2030-01-01 06:00:00,736.8,0.0,0.0,8.8,745.7,712.5,444.1,536.3,233.0,0.033,0.0454,hydro,wind-ons,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.2,0.2,58.9,2.9,0.38,5.4,346.9,0.03,59.1,15.7,74.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.77,0.0,0.0,21.77,22.8,0.0,0.0,22.8,0.0,0.0,0.0,442.4,301.5,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,8.5,128.1,0.0,0.0,0.0,0.0,301.5,0.0
2030-01-01 09:00:00,2030-01-01 07:00:00,766.3,0.0,0.0,3.6,770.0,740.6,492.1,273.9,0.0,0.0336,0.0472,battery,wind-ons,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,62.3,3.0,0.4,5.7,368.7,0.03,62.5,16.7,79.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.92,0.0,0.0,22.92,24.05,0.0,0.0,24.05,0.0,0.0,0.0,496.1,277.8,0.1,4.2,0.0,0.0,0.0,0.0,0.0,0.0,8.5,205.4,0.0,0.0,0.0,0.0,277.8,0.0
