Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p1,WA,NorthernGrid_West,usa,PT,2030
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2030-01-01 03:00:00,2030-01-01 00:00:00,6154.7,0.0,0.0,36.5,6191.2,5942.2,5737.0,4559.5,0.0,0.0345,0.0502,battery,gas-cc,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.6,8.1,0.81,50.7,3241.8,0.19,430.1,147.4,577.5,13.6,0.0,1.86,15.46,14.32,0.0,1.96,16.28,0.0,0.0,0.0,1631.7,454.2,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172.3,0.0,0.0,0.0,0.0,454.2,0.0
2030-01-01 04:00:00,2030-01-01 01:00:00,5915.8,0.3,0.0,34.6,5950.7,5715.0,5475.3,4328.2,0.0,0.0339,0.0482,hydro,wind-ons,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,-0.09,13.51,14.29,0.0,-0.1,14.19,0.0,0.0,0.0,1622.5,475.4,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1141.9,0.0,0.0,0.0,0.0,475.4,0.0
2030-01-01 05:00:00,2030-01-01 02:00:00,5752.6,0.0,0.0,31.1,5783.7,5559.6,5189.5,3889.2,0.0,0.0336,0.0469,hydro,wind-ons,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,-0.09,13.51,14.27,0.0,-0.1,14.17,0.0,0.0,0.0,1894.5,594.3,0.0,5.2,225.1,0.0,0.0,0.0,0.0,0.0,0.0,1070.0,0.0,0.0,0.0,0.0,594.3,0.0
2030-01-01 06:00:00,2030-01-01 03:00:00,5649.5,0.0,0.0,28.0,5677.5,5461.2,4963.4,3502.1,0.0,0.0333,0.0461,battery,gas-cc,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.9,7.7,0.77,48.4,3093.5,0.18,410.4,140.7,551.0,13.6,0.0,1.87,15.47,14.26,0.0,1.96,16.22,0.0,0.0,0.0,2175.4,714.1,0.0,5.2,665.0,0.0,0.0,0.0,0.0,0.0,0.0,791.1,0.0,0.0,0.0,0.0,714.1,0.0
2030-01-01 07:00:00,2030-01-01 04:00:00,5673.7,0.0,0.0,26.0,5699.7,5484.3,4920.2,3255.7,0.0,0.0334,0.0463,hydro,wind-ons,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,-0.09,13.51,14.26,0.0,-0.1,14.17,0.0,0.0,0.0,2444.1,779.5,0.0,5.2,665.0,0.0,0.0,0.0,0.0,0.0,0.0,994.4,0.0,0.0,0.0,0.0,779.5,0.0
2030-01-01 08:00:00,2030-01-01 05:00:00,5814.7,0.0,0.0,27.4,5842.1,5618.8,5041.7,3418.8,0.0,0.0337,0.0474,hydro,wind-ons,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,-0.09,13.51,14.28,0.0,-0.1,14.18,0.0,0.0,0.0,2423.2,800.4,0.0,5.2,665.0,0.0,0.0,0.0,0.0,0.0,0.0,952.7,0.0,0.0,0.0,0.0,800.4,0.0
2030-01-01 09:00:00,2030-01-01 06:00:00,6087.4,0.0,0.0,34.3,6121.7,5878.2,5288.2,4288.6,0.0,0.0344,0.0496,hydro,wind-ons,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,-0.1,13.5,14.31,0.0,-0.1,14.21,0.0,0.0,0.0,1833.1,833.5,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.4,0.0,0.0,0.0,0.0,833.5,0.0
2030-01-01 10:00:00,2030-01-01 07:00:00,6418.9,0.0,0.0,38.7,6457.6,6192.9,5629.9,4833.6,0.0,0.0352,0.0523,hydro,wind-ons,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,-0.1,13.5,14.35,0.0,-0.11,14.24,0.0,0.0,0.0,1624.0,827.7,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791.1,0.0,0.0,0.0,0.0,827.7,0.0
