Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p22,WY,NorthernGrid_East,usa,MT,2030
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2030-01-01 02:00:00,2030-01-01 00:00:00,166.3,0.0,0.0,0.3,166.6,160.4,90.9,90.9,0.0,0.0355,0.0528,battery,gas-cc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.8,1.9,0.25,4.8,310.5,0.02,48.9,14.1,63.0,412.9,7.8,0.78,48.8,3115.5,0.18,413.3,141.7,555.0,13.23,0.0,0.0,13.23,13.97,0.0,0.0,13.97,0.0,0.0,0.0,75.6,75.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.6,0.0
2030-01-01 03:00:00,2030-01-01 01:00:00,166.3,0.0,0.0,0.3,166.6,160.4,92.8,92.8,0.0,0.0355,0.0528,wind-ons,wind-ons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,1.7,0.21,4.5,288.3,0.02,44.5,13.1,57.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.94,0.0,0.0,12.94,13.66,0.0,0.0,13.66,0.0,0.0,0.0,73.8,73.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,0.0
2030-01-01 04:00:00,2030-01-01 02:00:00,166.3,0.0,0.0,0.3,166.6,160.4,97.8,97.8,0.0,0.0355,0.0528,wind-ons,wind-ons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2,1.7,0.21,4.5,287.5,0.02,44.3,13.0,57.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.94,0.0,0.0,12.94,13.66,0.0,0.0,13.66,0.0,0.0,0.0,68.8,68.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.8,0.0
2030-01-01 05:00:00,2030-01-01 03:00:00,166.3,0.0,0.0,0.3,166.6,160.4,97.2,97.2,0.0,0.0355,0.0528,wind-ons,wind-ons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6,2.3,0.3,4.9,317.5,0.02,51.7,14.4,66.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.94,0.0,0.0,12.94,13.66,0.0,0.0,13.66,0.0,0.0,0.0,69.4,69.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.4,0.0
2030-01-01 06:00:00,2030-01-01 04:00:00,166.3,0.0,0.0,0.3,166.6,160.4,95.7,95.7,0.0,0.0355,0.0528,battery,gas-cc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.6,1.8,0.23,4.6,293.3,0.02,45.7,13.3,59.0,412.9,7.8,0.78,48.8,3115.5,0.18,413.3,141.7,555.0,13.23,0.0,0.0,13.23,13.97,0.0,0.0,13.97,0.0,0.0,0.0,70.9,70.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.9,0.0
2030-01-01 07:00:00,2030-01-01 05:00:00,166.3,0.0,0.0,0.3,166.6,160.4,102.2,102.2,0.0,0.0355,0.0528,hydro,wind-ons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.9,2.8,0.37,5.3,343.1,0.03,58.1,15.6,73.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.23,0.0,0.0,13.23,13.97,0.0,0.0,13.97,0.0,0.0,0.0,64.4,64.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.4,0.0
2030-01-01 08:00:00,2030-01-01 06:00:00,166.3,0.0,0.0,0.3,166.6,160.4,105.1,105.1,0.0,0.0355,0.0528,hydro,wind-ons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.1,2.9,0.38,5.4,347.8,0.03,59.2,15.8,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.23,0.0,0.0,13.23,13.97,0.0,0.0,13.97,0.0,0.0,0.0,61.5,61.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,0.0
2030-01-01 09:00:00,2030-01-01 07:00:00,166.3,0.0,0.0,0.3,166.6,160.4,105.5,105.5,0.0,0.0355,0.0528,battery,wind-ons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.4,3.0,0.4,5.7,369.4,0.03,62.6,16.7,79.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.31,0.0,0.0,14.31,15.11,0.0,0.0,15.11,0.0,0.0,0.0,61.2,61.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.2,0.0
