Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p25,UT,NorthernGrid_South,usa,MT,2040
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2040-01-01 02:00:00,2040-01-01 00:00:00,5891.6,0.0,0.0,76.5,5968.1,5692.6,5893.2,5030.9,0.0,0.0338,0.0479,gas-cc,gas-cc,289.6,5.5,0.55,34.4,2185.9,0.13,289.9,99.6,389.6,47.1,0.9,0.09,5.6,355.3,0.02,47.1,16.2,63.3,241.7,4.6,0.46,28.6,1824.1,0.1,242.0,82.9,324.9,369.5,7.0,0.7,43.6,2788.3,0.16,369.9,126.8,496.7,32.68,0.0,0.0,32.68,34.32,0.0,0.0,34.32,0.0,0.0,0.0,937.2,74.9,0.0,6.5,0.0,0.0,0.0,0.0,771.6,0.0,69.5,14.8,0.0,0.0,0.0,0.0,74.9,0.0
2040-01-01 03:00:00,2040-01-01 01:00:00,5616.8,0.0,0.0,76.5,5693.4,5430.7,5623.4,5030.9,0.0,0.0331,0.0457,gas-cc,gas-cc,266.4,5.0,0.5,31.8,2011.1,0.12,266.7,91.8,358.5,32.1,0.6,0.06,3.9,242.1,0.01,32.1,11.1,43.2,253.5,4.8,0.48,29.9,1913.0,0.11,253.8,87.0,340.8,368.6,6.9,0.69,43.5,2781.7,0.16,369.0,126.5,495.5,32.68,0.0,0.0,32.68,34.24,0.0,0.0,34.24,0.0,0.0,0.0,662.4,70.0,0.0,6.5,0.0,0.0,0.0,0.0,501.7,0.0,69.5,14.8,0.0,0.0,0.0,0.0,70.0,0.0
2040-01-01 04:00:00,2040-01-01 02:00:00,5406.3,0.0,0.0,76.5,5482.8,5229.7,5410.0,5030.9,0.0,0.0327,0.044,gas-cc,gas-cc,87.4,1.6,0.16,10.8,660.3,0.04,87.5,30.5,118.0,8.0,0.2,0.02,1.0,60.7,0.0,8.0,2.8,10.9,254.4,4.8,0.48,30.0,1919.4,0.11,254.6,87.3,341.9,368.0,6.9,0.69,43.5,2776.8,0.16,368.4,126.3,494.6,32.68,0.0,0.0,32.68,34.18,0.0,0.0,34.18,0.0,0.0,0.0,451.9,72.8,176.1,6.5,0.0,0.0,0.0,0.0,112.3,0.0,69.5,14.8,0.0,0.0,0.0,0.0,72.8,0.0
2040-01-01 05:00:00,2040-01-01 03:00:00,5269.5,0.0,0.0,76.5,5346.0,5098.8,5272.3,5030.9,0.0,0.0324,0.0429,gas-cc,gas-cc,168.3,3.2,0.32,20.6,1270.5,0.08,168.4,58.4,226.9,10.2,0.2,0.02,1.3,77.4,0.0,10.3,3.6,13.9,238.8,4.5,0.45,28.2,1801.6,0.1,239.0,81.9,320.9,367.5,6.9,0.69,43.4,2773.5,0.16,367.9,126.1,494.0,32.68,0.0,0.0,32.68,34.14,0.0,0.0,34.14,0.0,0.0,0.0,315.1,73.7,0.0,6.5,0.0,0.0,0.0,0.0,150.7,0.0,69.5,14.8,0.0,0.0,0.0,0.0,73.7,0.0
2040-01-01 06:00:00,2040-01-01 04:00:00,5155.8,0.0,0.0,76.5,5232.3,4989.9,5166.7,5030.9,0.0,0.0322,0.0419,gas-cc,gas-cc,62.4,1.2,0.12,8.4,472.1,0.03,62.5,22.5,85.0,2.5,0.0,0.0,0.4,19.1,0.0,2.5,1.0,3.5,218.5,4.1,0.41,25.8,1648.9,0.09,218.8,75.0,293.7,367.2,6.9,0.69,43.4,2770.8,0.16,367.6,126.0,493.6,32.68,0.0,0.0,32.68,34.11,0.0,0.0,34.11,0.0,0.0,0.0,201.4,65.6,9.4,6.5,0.0,0.0,0.0,0.0,35.7,0.0,69.5,14.8,0.0,0.0,0.0,0.0,65.6,0.0
2040-01-01 07:00:00,2040-01-01 05:00:00,5167.4,0.0,0.0,76.5,5243.9,5001.0,5180.5,5030.9,0.0,0.0322,0.042,gas-cc,gas-cc,97.3,1.8,0.18,12.5,735.8,0.05,97.4,34.4,131.9,4.1,0.1,0.01,0.6,31.0,0.0,4.1,1.5,5.6,269.9,5.1,0.51,31.9,2036.4,0.12,270.2,92.6,362.7,367.2,6.9,0.69,43.4,2771.1,0.16,367.6,126.0,493.6,32.68,0.0,0.0,32.68,34.11,0.0,0.0,34.11,0.0,0.0,0.0,213.0,63.3,0.0,6.5,0.0,0.0,0.0,0.0,58.9,0.0,69.5,14.8,0.0,0.0,0.0,0.0,63.3,0.0
2040-01-01 08:00:00,2040-01-01 06:00:00,5335.8,0.0,0.0,76.5,5412.3,5162.2,5356.2,5030.9,0.0,0.0325,0.0434,gas-cc,gas-cc,197.3,3.7,0.37,23.9,1489.5,0.09,197.5,68.3,265.8,14.4,0.3,0.03,1.8,109.1,0.01,14.5,5.1,19.5,193.3,3.6,0.36,22.8,1458.6,0.08,193.5,66.3,259.8,367.7,6.9,0.69,43.4,2775.1,0.16,368.1,126.2,494.3,32.68,0.0,0.0,32.68,34.16,0.0,0.0,34.16,0.0,0.0,0.0,381.4,56.1,20.7,6.5,0.0,0.0,0.0,0.0,213.9,0.0,69.5,14.8,0.0,0.0,0.0,0.0,56.1,0.0
2040-01-01 09:00:00,2040-01-01 07:00:00,5743.2,0.0,0.0,76.5,5819.7,5551.2,5752.9,5030.9,0.0,0.0334,0.0467,gas-cc,gas-cc,107.8,2.0,0.2,13.0,813.6,0.05,107.9,37.3,145.1,16.3,0.3,0.03,2.0,123.3,0.01,16.3,5.7,22.0,118.8,2.2,0.22,14.0,896.6,0.05,119.0,40.8,159.7,369.0,7.0,0.7,43.6,2784.7,0.16,369.4,126.6,496.0,32.68,0.0,0.0,32.68,34.28,0.0,0.0,34.28,0.0,0.0,0.0,788.8,66.8,389.6,6.5,0.0,0.0,0.0,0.0,241.6,0.0,69.5,14.8,0.0,0.0,0.0,18.4,48.4,0.0
