Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p29,AZ,WestConnect_South,usa,MT,2045
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2045-01-01 02:00:00,2045-01-01 00:00:00,154.7,0.0,0.0,26.2,180.9,150.0,-35.5,817.7,1634.6,0.0305,0.0369,battery,gas-cc,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,86.4,1.6,0.16,10.2,651.8,0.04,86.5,29.6,116.2,388.3,7.3,0.73,45.9,2930.3,0.17,388.7,133.2,522.0,33.43,0.0,0.0,33.43,34.71,0.0,0.0,34.71,0.0,0.0,0.0,997.8,216.4,779.3,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.4,0.0
2045-01-01 03:00:00,2045-01-01 01:00:00,149.5,0.0,0.0,0.1,149.6,144.9,-8.0,0.0,10.1,0.0303,0.0356,battery,gas-cc,0.0,0.0,0.0,0.6,0.8,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.7,0.8,0.0,0.0,0.7,0.7,198.2,3.7,0.37,23.4,1495.1,0.09,198.4,68.0,266.4,397.4,7.5,0.75,46.9,2998.9,0.17,397.8,136.4,534.2,33.43,0.0,0.0,33.43,34.66,0.0,0.0,34.66,0.0,0.0,0.0,159.7,157.6,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.6,0.0
2045-01-01 04:00:00,2045-01-01 02:00:00,143.2,0.0,0.0,0.2,143.4,138.9,-15.4,0.0,17.5,0.0301,0.0341,battery,gas-cc,0.0,0.0,0.0,0.6,0.8,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.7,0.8,0.0,0.0,0.7,0.7,291.6,5.5,0.55,34.5,2200.5,0.13,291.9,100.1,392.0,375.2,7.1,0.71,44.3,2831.4,0.16,375.6,128.7,504.4,33.43,0.0,0.0,33.43,34.61,0.0,0.0,34.61,0.0,0.0,0.0,160.9,158.8,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.8,0.0
2045-01-01 05:00:00,2045-01-01 03:00:00,138.9,0.0,0.0,0.0,138.9,134.8,26.2,0.0,0.0,0.03,0.0331,battery,gas-cc,0.0,0.0,0.0,0.7,0.9,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.8,0.9,0.0,0.0,0.8,0.8,34.8,0.7,0.07,4.1,262.3,0.02,34.8,11.9,46.8,386.8,7.3,0.73,45.7,2918.9,0.17,387.2,132.7,519.9,33.43,0.0,0.0,33.43,34.57,0.0,0.0,34.57,0.0,0.0,0.0,138.9,112.8,24.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.8,0.0
2045-01-01 06:00:00,2045-01-01 04:00:00,136.8,0.0,0.0,0.7,137.5,132.7,57.1,0.0,55.9,0.0299,0.0326,phs,gas-cc,0.0,0.0,0.0,0.5,0.6,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.6,0.7,0.0,0.0,0.6,0.6,118.5,2.2,0.22,14.0,893.6,0.05,118.6,40.6,159.2,379.7,7.2,0.72,44.9,2865.3,0.16,380.1,130.3,510.4,33.43,0.0,0.0,33.43,34.55,0.0,0.0,34.55,0.0,0.0,0.0,193.4,80.5,110.8,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.5,0.0
2045-01-01 07:00:00,2045-01-01 05:00:00,136.8,0.0,0.0,0.0,136.8,132.7,74.0,0.0,0.0,0.0299,0.0326,battery,gas-cc,0.0,0.0,0.0,0.7,0.9,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.8,0.8,152.0,2.9,0.29,18.0,1146.4,0.07,152.1,52.1,204.3,386.6,7.3,0.73,45.7,2917.4,0.17,387.0,132.7,519.7,33.43,0.0,0.0,33.43,34.55,0.0,0.0,34.55,0.0,0.0,0.0,136.8,62.9,71.9,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.9,0.0
2045-01-01 08:00:00,2045-01-01 06:00:00,141.1,0.0,0.0,0.0,141.1,136.8,75.4,0.0,0.0,0.03,0.0336,battery,gas-cc,0.0,0.0,0.0,0.7,0.9,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.8,0.9,0.0,0.0,0.8,0.8,76.6,1.4,0.14,9.0,577.6,0.03,76.7,26.3,102.9,387.0,7.3,0.73,45.7,2920.4,0.17,387.4,132.8,520.2,33.43,0.0,0.0,33.43,34.59,0.0,0.0,34.59,0.0,0.0,0.0,141.1,65.7,73.3,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.7,0.0
2045-01-01 09:00:00,2045-01-01 07:00:00,148.4,0.0,0.0,17.4,165.8,143.9,-509.8,525.0,1036.9,0.0302,0.0354,gas-cc,gas-cc,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.1,94.5,1.8,0.18,11.2,712.9,0.04,94.6,32.4,127.1,364.7,6.9,0.69,43.1,2752.1,0.16,365.1,125.1,490.2,26.79,0.0,0.0,26.79,27.77,0.0,0.0,27.77,0.0,0.0,0.0,677.7,675.6,0.0,2.1,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.4,51.8,0.0
