Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p31,NM,WestConnect_South,usa,MT,2030
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2030-01-01 02:00:00,2030-01-01 00:00:00,2262.1,0.0,0.0,18.9,2281.0,2188.0,-194.0,400.0,619.8,0.0328,0.0444,hydro,gas-cc,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,185.2,4.6,0.52,20.9,1334.3,0.08,185.4,60.6,246.1,400.3,7.5,0.75,47.3,3021.0,0.17,400.8,137.4,538.1,23.09,0.0,0.0,23.09,24.16,0.0,0.0,24.16,0.0,0.0,0.0,2500.7,2474.9,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.3,15.0,0.0,0.0,0.0,0.0,2474.9,0.0
2030-01-01 03:00:00,2030-01-01 01:00:00,2196.8,0.0,0.0,7.7,2204.5,2125.6,615.2,400.0,0.0,0.0324,0.0431,coal,coal,98.2,11.3,1.64,3.1,213.8,0.05,98.9,9.5,108.4,83.0,9.6,1.39,2.6,180.9,0.04,83.7,8.0,91.7,219.4,5.2,0.58,25.0,1596.8,0.1,219.8,72.6,292.3,977.3,112.5,16.37,30.1,2128.1,0.48,985.1,93.7,1078.8,24.48,0.0,0.0,24.48,25.58,0.0,0.0,25.58,0.0,0.0,0.0,1804.5,1589.3,0.0,3.5,0.0,189.4,0.0,0.0,0.0,0.0,7.3,15.0,0.0,0.0,0.0,0.0,1589.3,0.0
2030-01-01 04:00:00,2030-01-01 02:00:00,2158.9,0.0,0.0,7.7,2166.6,2089.3,1112.9,400.0,0.0,0.0323,0.0424,coal,coal,189.4,21.8,3.17,5.9,412.4,0.09,190.9,18.2,209.1,160.0,18.4,2.68,5.0,348.9,0.08,161.3,15.4,176.7,252.2,16.7,2.32,18.9,1235.3,0.12,253.3,55.8,309.1,976.5,112.5,16.36,30.1,2126.4,0.48,984.3,93.6,1077.9,24.48,0.0,0.0,24.48,25.56,0.0,0.0,25.56,0.0,0.0,0.0,1766.6,1053.7,329.4,3.5,0.0,357.7,0.0,0.0,0.0,0.0,7.3,15.0,0.0,0.0,0.0,0.0,1053.7,0.0
2030-01-01 05:00:00,2030-01-01 03:00:00,2127.4,0.0,0.0,7.7,2135.1,2059.1,1371.5,400.0,0.0,0.0321,0.0417,coal,coal,332.1,38.2,5.56,10.3,723.4,0.16,334.8,31.9,366.7,279.4,32.2,4.68,8.7,608.8,0.14,281.6,26.9,308.5,281.0,14.5,1.95,24.8,1605.4,0.13,281.9,72.7,354.6,975.9,112.4,16.35,30.1,2125.0,0.48,983.7,93.5,1077.2,24.48,0.0,0.0,24.48,25.55,0.0,0.0,25.55,0.0,0.0,0.0,1735.1,763.6,329.4,3.5,0.0,616.3,0.0,0.0,0.0,0.0,7.3,15.0,0.0,0.0,0.0,0.0,763.6,0.0
2030-01-01 06:00:00,2030-01-01 04:00:00,2123.2,0.0,0.0,7.7,2130.9,2055.0,1018.4,400.0,0.0,0.0321,0.0417,coal,coal,310.7,35.8,5.2,9.6,676.7,0.15,313.2,29.9,343.1,260.8,30.0,4.37,8.1,568.0,0.13,262.9,25.1,287.9,201.4,5.2,0.6,22.5,1440.8,0.09,201.7,65.5,267.2,975.8,112.4,16.35,30.1,2124.9,0.48,983.6,93.5,1077.1,24.48,0.0,0.0,24.48,25.54,0.0,0.0,25.54,0.0,0.0,0.0,1730.9,1112.4,17.5,3.5,0.0,575.1,0.0,0.0,0.0,0.0,7.3,15.0,0.0,0.0,0.0,0.0,1112.4,0.0
2030-01-01 07:00:00,2030-01-01 05:00:00,2142.1,0.0,0.0,7.7,2149.8,2073.2,744.5,400.0,0.0,0.0322,0.042,coal,coal,170.3,19.6,2.85,5.3,371.0,0.08,171.7,16.4,188.1,143.3,16.5,2.4,4.5,312.0,0.07,144.4,13.8,158.2,259.3,5.6,0.61,29.9,1914.4,0.11,259.6,87.0,346.6,976.2,112.4,16.35,30.1,2125.7,0.48,984.0,93.6,1077.5,24.48,0.0,0.0,24.48,25.55,0.0,0.0,25.55,0.0,0.0,0.0,1749.8,1405.3,0.0,3.5,0.0,318.7,0.0,0.0,0.0,0.0,7.3,15.0,0.0,0.0,0.0,0.0,1405.3,0.0
2030-01-01 08:00:00,2030-01-01 06:00:00,2200.0,0.0,0.0,7.7,2207.7,2128.6,593.7,400.0,0.0,0.0325,0.0432,coal,coal,86.8,10.0,1.45,2.7,189.2,0.04,87.5,8.4,95.9,73.5,8.5,1.23,2.3,160.1,0.04,74.1,7.1,81.2,209.1,4.4,0.46,24.3,1554.9,0.09,209.4,70.7,280.1,977.3,112.5,16.37,30.1,2128.2,0.48,985.2,93.7,1078.8,24.48,0.0,0.0,24.48,25.58,0.0,0.0,25.58,0.0,0.0,0.0,1807.7,1614.0,0.0,3.5,0.0,167.9,0.0,0.0,0.0,0.0,7.3,15.0,0.0,0.0,0.0,0.0,1614.0,0.0
2030-01-01 09:00:00,2030-01-01 07:00:00,2230.5,0.0,0.0,24.1,2254.6,2157.8,72.7,722.6,675.7,0.0326,0.0438,wind-ons,wind-ons,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,31.6,0.6,0.06,3.7,238.5,0.01,31.7,10.8,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.32,0.0,0.0,16.32,17.07,0.0,0.0,17.07,0.0,0.0,0.0,2207.7,2181.9,0.0,3.5,0.0,0.0,0.0,139.0,0.0,0.0,7.3,15.0,0.0,0.0,0.0,363.5,1679.4,0.0
