Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p33,CO,WestConnect_North,usa,MT,2025
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2025-01-01 02:00:00,2025-01-01 00:00:00,5192.6,6.3,2.6,19.5,5221.0,5012.2,3898.4,3204.7,525.5,0.0347,0.0508,battery,coal,442.2,50.9,7.41,13.9,963.2,0.22,445.7,42.7,488.4,202.6,23.3,3.39,6.4,441.4,0.1,204.2,19.6,223.8,864.3,99.5,14.48,26.6,1882.1,0.43,871.2,82.8,954.1,1060.7,122.1,17.77,32.7,2309.7,0.52,1069.2,101.7,1170.8,25.47,0.0,0.0,25.47,26.83,0.0,0.0,26.83,0.0,0.0,0.0,2541.8,1322.6,0.0,22.1,0.0,1133.4,0.0,0.0,0.0,0.0,0.0,63.6,0.0,0.0,0.0,0.0,1322.6,0.0
2025-01-01 03:00:00,2025-01-01 01:00:00,5053.7,2.6,0.0,20.4,5076.7,4880.2,3837.0,3229.4,765.4,0.0343,0.0495,wind-ons,wind-ons,491.1,56.5,8.23,15.4,1069.6,0.24,495.0,47.4,542.3,227.4,26.2,3.81,7.1,495.4,0.11,229.2,21.9,251.2,705.8,71.9,10.38,30.2,2232.3,0.34,710.8,96.8,807.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.06,0.0,0.0,26.06,27.41,0.0,0.0,27.41,0.0,0.0,0.0,2612.8,1239.8,0.0,22.1,0.0,1287.2,0.0,0.0,0.0,0.0,0.0,63.6,0.0,0.0,0.0,0.0,1239.8,0.0
2025-01-01 04:00:00,2025-01-01 02:00:00,5120.0,0.0,0.0,20.6,5140.6,4943.2,3962.4,3265.5,746.3,0.0345,0.0501,wind-ons,wind-ons,517.7,59.6,8.67,16.2,1127.6,0.26,521.8,49.9,571.7,238.8,27.5,4.0,7.5,520.1,0.12,240.7,23.0,263.7,876.0,100.9,14.67,27.0,1907.5,0.43,883.0,83.9,966.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.06,0.0,0.0,26.06,27.43,0.0,0.0,27.43,0.0,0.0,0.0,2621.4,1178.1,0.0,22.1,0.0,1357.5,0.0,0.0,0.0,0.0,0.0,63.6,0.0,0.0,0.0,0.0,1178.1,0.0
2025-01-01 05:00:00,2025-01-01 03:00:00,5047.4,0.0,0.0,20.8,5068.2,4874.2,3944.2,3292.4,779.7,0.0343,0.0494,wind-ons,wind-ons,526.2,60.6,8.81,16.5,1146.1,0.26,530.4,50.7,581.1,238.1,27.4,3.99,7.5,518.7,0.12,240.0,23.0,263.0,869.9,100.2,14.57,26.8,1894.3,0.43,876.9,83.4,960.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.06,0.0,0.0,26.06,27.41,0.0,0.0,27.41,0.0,0.0,0.0,2555.5,1124.0,0.0,22.1,0.0,1345.8,0.0,0.0,0.0,0.0,0.0,63.6,0.0,0.0,0.0,0.0,1124.0,0.0
2025-01-01 06:00:00,2025-01-01 04:00:00,5035.8,0.0,0.0,21.2,5057.0,4863.2,3974.1,3265.4,929.4,0.0343,0.0493,wind-ons,wind-ons,574.2,66.1,9.62,18.0,1250.6,0.28,578.8,55.3,634.1,270.2,31.1,4.53,8.5,588.6,0.13,272.4,26.0,298.4,874.9,100.8,14.66,27.0,1905.2,0.43,881.9,83.9,965.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.06,0.0,0.0,26.06,27.41,0.0,0.0,27.41,0.0,0.0,0.0,2721.0,1082.9,0.0,22.1,0.0,1552.3,0.0,0.0,0.0,0.0,0.0,63.6,0.0,0.0,0.0,0.0,1082.9,0.0
2025-01-01 07:00:00,2025-01-01 05:00:00,5055.8,0.0,0.0,21.5,5077.3,4882.2,3998.6,3288.1,982.2,0.0343,0.0495,wind-ons,wind-ons,584.5,67.3,9.79,18.3,1273.1,0.29,589.2,56.3,645.5,276.8,31.9,4.64,8.7,603.0,0.14,279.0,26.7,305.7,875.9,100.9,14.67,27.0,1907.3,0.43,882.9,83.9,966.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.06,0.0,0.0,26.06,27.41,0.0,0.0,27.41,0.0,0.0,0.0,2771.4,1078.7,0.0,22.1,0.0,1607.0,0.0,0.0,0.0,0.0,0.0,63.6,0.0,0.0,0.0,0.0,1078.7,0.0
2025-01-01 08:00:00,2025-01-01 06:00:00,5134.7,0.0,0.0,19.9,5154.7,4957.2,4057.2,3103.1,818.9,0.0346,0.0502,wind-ons,wind-ons,593.8,68.4,9.95,18.6,1293.3,0.29,598.5,57.2,655.7,295.5,34.0,4.95,9.2,643.7,0.15,297.9,28.5,326.4,862.8,99.4,14.45,26.6,1878.7,0.42,869.7,82.7,952.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31,0.0,0.0,26.31,27.7,0.0,0.0,27.7,0.0,0.0,0.0,2870.4,1097.4,0.0,22.1,0.0,1687.2,0.0,0.0,0.0,0.0,0.0,63.6,0.0,0.0,0.0,0.0,1097.4,0.0
2025-01-01 09:00:00,2025-01-01 07:00:00,5140.0,0.0,0.0,15.8,5155.8,4962.2,3878.5,2571.8,466.3,0.0346,0.0503,wind-ons,wind-ons,558.8,64.3,9.36,17.5,1217.1,0.28,563.3,53.8,617.1,314.0,36.2,5.26,9.8,684.0,0.16,316.5,30.2,346.8,850.5,97.9,14.25,26.2,1852.1,0.42,857.4,81.5,938.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31,0.0,0.0,26.31,27.7,0.0,0.0,27.7,0.0,0.0,0.0,3050.2,1277.3,0.0,22.1,0.0,1687.2,0.0,46.9,0.0,0.0,0.0,63.6,0.0,0.0,0.0,105.2,1125.2,0.0
