Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p53,KS,SPP_South,usa,CT,2050
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2050-01-01 01:00:00,2050-01-01 00:00:00,5892.6,151.4,0.0,0.0,6044.0,5704.1,1124.4,0.0,0.0,0.032,0.0417,wind-ons,wind-ons,0.0,0.0,0.0,1.6,3.9,0.04,0.0,1.8,1.8,0.0,0.0,0.0,1.7,4.0,0.04,0.0,1.8,1.8,36.1,0.7,0.07,4.3,270.1,0.02,36.2,12.3,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11920.8,0.0,11920.8,6044.0,4919.6,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1117.0,0.0,0.0,0.0,4919.6,0.0
2050-01-01 02:00:00,2050-01-01 01:00:00,5671.6,0.0,0.0,0.0,5671.6,5492.1,1124.4,0.0,0.0,0.0316,0.0401,wind-ons,wind-ons,0.0,0.0,0.0,1.7,4.1,0.04,0.0,1.9,1.9,0.0,0.0,0.0,1.8,4.3,0.04,0.0,1.9,1.9,33.7,0.6,0.07,4.0,252.3,0.02,33.7,11.5,45.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12293.3,0.0,12293.3,5671.6,4547.2,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1117.0,0.0,0.0,0.0,4547.2,0.0
2050-01-01 03:00:00,2050-01-01 02:00:00,5507.4,151.4,0.0,0.0,5658.7,5334.4,1124.4,0.0,0.0,0.0314,0.039,wind-ons,wind-ons,0.0,0.0,0.0,1.8,4.2,0.04,0.0,1.9,1.9,0.0,0.0,0.0,1.8,4.3,0.04,0.0,1.9,1.9,33.1,0.6,0.06,3.9,247.7,0.02,33.1,11.3,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12297.7,0.0,12297.7,5658.7,4534.4,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1117.0,0.0,0.0,0.0,4534.4,0.0
2050-01-01 04:00:00,2050-01-01 03:00:00,5454.7,62.9,0.0,0.0,5517.6,5283.8,1124.4,0.0,0.0,0.0313,0.0386,wind-ons,wind-ons,0.0,0.0,0.0,1.8,4.3,0.04,0.0,1.9,1.9,0.0,0.0,0.0,1.9,4.4,0.04,0.0,2.0,2.0,33.4,0.6,0.07,4.0,250.2,0.02,33.5,11.4,44.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12421.9,0.0,12421.9,5517.6,4393.2,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1117.0,0.0,0.0,0.0,4393.2,0.0
2050-01-01 05:00:00,2050-01-01 04:00:00,5428.4,0.0,0.0,0.0,5428.4,5258.5,1124.4,0.0,0.0,0.0313,0.0384,wind-ons,wind-ons,0.0,0.0,0.0,1.8,4.3,0.04,0.0,2.0,2.0,0.0,0.0,0.0,1.9,4.5,0.04,0.0,2.0,2.0,33.0,0.6,0.06,3.9,246.8,0.02,33.0,11.3,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12412.3,0.0,12412.3,5428.4,4304.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1117.0,0.0,0.0,0.0,4304.0,0.0
2050-01-01 06:00:00,2050-01-01 05:00:00,5478.9,0.0,0.0,0.8,5479.8,5307.1,1036.3,0.0,88.1,0.0314,0.0388,wind-ons,wind-ons,0.0,0.0,0.0,1.8,4.2,0.04,0.0,1.9,1.9,0.0,0.0,0.0,1.8,4.4,0.04,0.0,2.0,2.0,33.0,0.6,0.06,3.9,246.7,0.02,33.0,11.3,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12108.2,0.0,12108.2,5567.9,4443.5,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1117.0,0.0,0.0,0.0,4443.5,0.0
2050-01-01 07:00:00,2050-01-01 06:00:00,5562.1,0.0,0.0,6.6,5568.7,5387.0,426.1,0.0,698.3,0.0315,0.0394,wind-ons,wind-ons,0.0,0.0,0.0,1.6,3.7,0.04,0.0,1.7,1.7,0.0,0.0,0.0,1.6,3.9,0.04,0.0,1.8,1.8,33.0,0.6,0.06,3.9,246.8,0.02,33.0,11.3,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11162.6,0.0,11162.6,6267.0,5142.6,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1117.0,0.0,0.0,0.0,5142.6,0.0
2050-01-01 08:00:00,2050-01-01 07:00:00,5845.3,0.0,0.0,15.2,5860.5,5658.7,-477.3,0.0,1601.7,0.0319,0.0414,wind-ons,wind-ons,0.0,0.0,0.0,1.3,3.1,0.03,0.0,1.4,1.4,0.0,0.0,0.0,1.4,3.3,0.03,0.0,1.5,1.5,33.0,0.6,0.06,3.9,246.9,0.02,33.0,11.3,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9495.9,15.9,9511.8,7462.1,6337.8,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1117.0,0.0,0.0,49.6,6288.2,0.0
