Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p58,LA,MISO_South,usa,CT,2050
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2050-01-01 01:00:00,2050-01-01 00:00:00,9735.8,0.0,0.0,49.1,9784.9,9432.2,6554.0,3294.2,0.0,0.0312,0.0379,battery,hydro,0.0,0.0,0.0,2.6,6.3,0.06,0.0,2.8,2.8,4.7,0.1,0.01,2.8,40.5,0.05,4.7,4.0,8.7,109.7,2.1,0.21,13.0,825.7,0.05,109.8,37.6,147.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,0.0,0.0,4.82,5.01,0.0,0.0,5.01,0.0,0.0,0.0,6490.7,3230.9,1189.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.4,1944.8,0.0,0.0,0.0,3230.9,0.0
2050-01-01 02:00:00,2050-01-01 01:00:00,9285.3,0.0,0.0,46.8,9332.1,8998.4,6350.4,3095.3,0.0,0.0309,0.0361,battery,hydro,0.0,0.0,0.0,2.7,6.5,0.06,0.0,3.0,3.0,4.8,0.1,0.01,2.9,41.6,0.05,4.8,4.1,8.9,109.2,2.1,0.21,12.9,822.1,0.05,109.4,37.4,146.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,0.0,0.0,4.82,5.0,0.0,0.0,5.0,0.0,0.0,0.0,6236.8,2981.7,1184.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.4,1944.8,0.0,0.0,0.0,2981.7,0.0
2050-01-01 03:00:00,2050-01-01 02:00:00,8884.2,0.0,0.0,43.0,8927.3,8611.5,6047.4,2797.1,0.0,0.0307,0.0346,battery,hydro,0.0,0.0,0.0,2.8,6.6,0.06,0.0,3.0,3.0,4.6,0.1,0.01,2.9,40.2,0.05,4.6,4.1,8.7,103.2,2.0,0.2,12.2,776.8,0.05,103.3,35.4,138.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,0.0,0.0,4.82,4.99,0.0,0.0,4.99,0.0,0.0,0.0,6130.2,2879.9,1180.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.4,1944.8,0.0,0.0,0.0,2879.9,0.0
2050-01-01 04:00:00,2050-01-01 03:00:00,8593.7,0.0,0.0,53.8,8647.4,8330.8,5713.4,3581.1,0.0,0.0306,0.0334,battery,hydro,0.0,0.0,0.0,3.4,8.0,0.08,0.0,3.6,3.6,0.4,0.0,0.0,2.3,8.4,0.05,0.4,2.6,3.0,124.9,2.4,0.24,14.8,940.2,0.06,125.0,42.8,167.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,0.0,0.0,4.82,4.98,0.0,0.0,4.98,0.0,0.0,0.0,5066.3,2934.0,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.4,1944.8,0.0,0.0,0.0,2934.0,0.0
2050-01-01 05:00:00,2050-01-01 04:00:00,8477.9,0.0,0.0,48.6,8526.5,8218.9,5297.8,3196.6,0.0,0.0305,0.033,battery,hydro,0.0,0.0,0.0,3.2,7.6,0.07,0.0,3.5,3.5,0.1,0.0,0.0,2.2,6.1,0.05,0.1,2.4,2.6,70.4,1.3,0.13,8.3,529.6,0.03,70.5,24.1,94.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,0.0,0.0,4.82,4.98,0.0,0.0,4.98,0.0,0.0,0.0,5329.9,3228.7,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.4,1944.8,0.0,0.0,0.0,3228.7,0.0
2050-01-01 06:00:00,2050-01-01 05:00:00,8545.3,0.0,0.0,38.5,8583.8,8284.0,4865.3,2795.2,0.0,0.0306,0.0332,wind-ons,wind-ons,0.0,0.0,0.0,3.0,7.0,0.07,0.0,3.2,3.2,0.0,0.0,0.0,2.2,5.1,0.05,0.0,2.4,2.4,41.5,0.8,0.08,4.9,311.6,0.02,41.5,14.2,55.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81,0.0,0.0,4.81,4.98,0.0,0.0,4.98,0.0,0.0,0.0,5788.6,3718.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.4,1944.8,0.0,0.0,0.0,3718.5,0.0
2050-01-01 07:00:00,2050-01-01 06:00:00,8653.7,0.0,0.0,34.6,8688.3,8388.8,4597.1,2548.0,21.0,0.0306,0.0337,battery,upv,0.0,0.0,0.0,2.8,6.6,0.06,0.0,3.0,3.0,0.0,0.0,0.0,2.2,5.0,0.05,0.0,2.4,2.4,47.5,0.9,0.09,5.6,356.7,0.02,47.5,16.3,63.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,4.76,4.92,0.0,0.0,4.92,0.0,0.0,0.0,6161.3,4091.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.4,1944.8,0.0,0.0,0.0,4091.2,0.0
2050-01-01 08:00:00,2050-01-01 07:00:00,9122.1,584.5,0.0,21.3,9727.9,8841.1,4309.9,2239.7,0.0,0.0308,0.0355,upv,upv,0.0,0.0,0.0,2.3,5.4,0.05,0.0,2.5,2.5,0.0,0.0,0.0,2.2,5.2,0.05,0.0,2.3,2.3,25.7,0.5,0.05,3.1,192.8,0.01,25.8,8.8,34.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.0,0.0,0.0,7488.1,5418.0,0.0,0.0,0.0,0.0,0.0,106.4,0.0,0.0,0.0,125.4,1944.8,0.0,0.0,1090.4,4221.2,0.0
