Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p59,TX,WestConnect_South,usa,MT,2040
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2040-01-01 02:00:00,2040-01-01 00:00:00,984.2,0.0,0.0,0.0,984.2,953.9,111.8,0.0,0.0,0.0308,0.0366,battery,gas-cc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.1,4.4,0.0,0.6,0.2,0.8,143.8,2.7,0.27,17.0,1084.6,0.06,143.9,49.3,193.2,382.8,7.2,0.72,45.2,2888.4,0.17,383.2,131.3,514.5,27.99,0.0,0.0,27.99,29.05,0.0,0.0,29.05,0.0,0.0,0.0,984.2,872.4,111.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872.4,0.0
2040-01-01 03:00:00,2040-01-01 01:00:00,945.3,0.0,0.0,0.3,945.6,916.3,73.1,0.0,22.5,0.0306,0.0351,battery,gas-cc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.1,3.9,0.0,0.5,0.2,0.7,216.4,4.1,0.41,25.6,1632.7,0.09,216.6,74.2,290.9,417.3,7.9,0.79,49.3,3149.1,0.18,417.8,143.2,560.9,27.99,0.0,0.0,27.99,29.01,0.0,0.0,29.01,0.0,0.0,0.0,968.1,872.4,95.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872.4,0.0
2040-01-01 04:00:00,2040-01-01 02:00:00,932.6,0.0,0.0,0.0,932.6,904.1,64.5,0.0,0.0,0.0306,0.0347,battery,gas-cc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,2.7,0.0,0.4,0.1,0.5,150.8,2.8,0.28,17.8,1137.5,0.07,150.9,51.7,202.6,382.0,7.2,0.72,45.1,2882.7,0.17,382.4,131.1,513.5,27.99,0.0,0.0,27.99,29.0,0.0,0.0,29.0,0.0,0.0,0.0,932.6,868.2,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.2,0.0
2040-01-01 05:00:00,2040-01-01 03:00:00,921.1,0.0,0.0,0.0,921.1,892.9,47.8,0.0,0.0,0.0305,0.0342,battery,gas-cc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2.0,0.0,0.3,0.1,0.4,149.8,2.8,0.28,17.7,1130.0,0.06,149.9,51.4,201.3,381.8,7.2,0.72,45.1,2881.4,0.17,382.2,131.0,513.3,27.99,0.0,0.0,27.99,28.98,0.0,0.0,28.98,0.0,0.0,0.0,921.1,873.3,47.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873.3,0.0
2040-01-01 06:00:00,2040-01-01 04:00:00,929.5,0.0,0.0,0.0,929.5,901.1,57.5,0.0,0.0,0.0306,0.0345,battery,gas-cc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2.4,0.0,0.3,0.1,0.4,171.0,3.2,0.32,20.2,1290.5,0.07,171.2,58.7,229.9,382.0,7.2,0.72,45.1,2882.4,0.17,382.4,131.1,513.4,27.99,0.0,0.0,27.99,28.99,0.0,0.0,28.99,0.0,0.0,0.0,929.5,872.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872.0,0.0
2040-01-01 07:00:00,2040-01-01 05:00:00,953.7,0.0,0.0,0.0,953.7,924.4,88.9,0.0,0.0,0.0307,0.0354,battery,gas-cc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.1,3.6,0.0,0.5,0.2,0.6,128.3,2.4,0.24,15.2,968.2,0.06,128.5,44.0,172.5,382.3,7.2,0.72,45.2,2885.0,0.17,382.7,131.2,513.9,27.99,0.0,0.0,27.99,29.02,0.0,0.0,29.02,0.0,0.0,0.0,953.7,864.8,88.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864.8,0.0
2040-01-01 08:00:00,2040-01-01 06:00:00,1010.5,0.0,0.0,0.0,1010.5,979.2,137.2,0.0,0.0,0.031,0.0376,battery,gas-cc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.1,5.3,0.0,0.7,0.2,0.9,146.7,2.8,0.28,17.3,1106.5,0.06,146.8,50.3,197.1,383.2,7.2,0.72,45.3,2891.4,0.17,383.6,131.5,515.0,27.99,0.0,0.0,27.99,29.08,0.0,0.0,29.08,0.0,0.0,0.0,1010.5,873.3,137.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873.3,0.0
2040-01-01 09:00:00,2040-01-01 07:00:00,1070.5,0.0,0.0,11.1,1081.7,1036.9,-856.9,0.0,856.9,0.0314,0.0398,phs,gas-cc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.8,1.5,0.15,9.3,594.7,0.03,78.9,27.0,106.0,439.3,8.3,0.83,51.9,3315.1,0.19,439.8,150.7,590.5,22.8,0.0,0.0,22.8,23.74,0.0,0.0,23.74,0.0,0.0,0.0,1938.6,1938.6,0.0,0.0,0.0,0.0,1.8,54.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.7,872.4,0.0
