Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p66,TX,MISO_South,usa,CT,2040
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2040-01-01 01:00:00,2040-01-01 00:00:00,3856.8,0.0,0.0,24.4,3881.3,3736.8,1088.5,1050.9,954.0,0.0311,0.0382,battery,wind-ons,0.0,0.0,0.0,1.1,1.3,0.0,0.0,1.1,1.1,4.4,0.1,0.01,1.7,35.0,0.01,4.4,2.7,7.2,52.8,1.0,0.1,6.2,393.6,0.02,52.8,18.0,70.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05,0.0,0.0,7.05,7.32,0.0,0.0,7.32,0.0,0.0,0.0,3784.3,2792.8,823.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,0.0,0.0,0.0,0.0,2792.8,0.0
2040-01-01 02:00:00,2040-01-01 01:00:00,3677.9,0.0,0.0,21.1,3699.0,3564.6,1074.5,935.3,798.7,0.0308,0.0364,battery,wind-ons,0.0,0.0,0.0,1.2,1.4,0.01,0.0,1.2,1.2,4.1,0.1,0.01,1.7,32.6,0.01,4.1,2.7,6.8,58.1,1.1,0.11,6.9,433.7,0.03,58.1,19.8,77.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05,0.0,0.0,7.05,7.31,0.0,0.0,7.31,0.0,0.0,0.0,3562.4,2624.4,769.4,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,0.0,0.0,0.0,0.0,2624.4,0.0
2040-01-01 03:00:00,2040-01-01 02:00:00,3533.7,0.0,0.0,22.2,3555.9,3425.5,494.8,956.2,865.6,0.0306,0.035,battery,wind-ons,0.0,0.0,0.0,1.2,1.5,0.01,0.0,1.2,1.2,1.3,0.0,0.0,1.4,11.3,0.01,1.3,1.7,3.0,60.4,1.2,0.12,7.2,451.6,0.03,60.5,20.6,81.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05,0.0,0.0,7.05,7.3,0.0,0.0,7.3,0.0,0.0,0.0,3465.3,3061.0,235.7,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,0.0,0.0,0.0,0.0,3061.0,0.0
2040-01-01 04:00:00,2040-01-01 03:00:00,3484.2,0.0,0.0,42.2,3526.4,3377.7,-308.8,1030.3,2285.1,0.0306,0.0345,battery,upv,0.0,0.0,0.0,0.9,1.1,0.0,0.0,0.9,0.9,3.1,0.1,0.01,1.4,25.0,0.01,3.1,2.1,5.2,67.3,1.3,0.13,8.0,504.2,0.03,67.4,23.0,90.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05,0.0,0.0,7.05,7.3,0.0,0.0,7.3,0.0,0.0,0.0,4781.2,3835.2,777.4,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,0.0,0.0,0.0,0.0,3835.2,0.0
2040-01-01 05:00:00,2040-01-01 04:00:00,3446.3,0.0,0.0,35.1,3481.4,3341.2,-873.1,857.4,1899.1,0.0305,0.0341,phs,wind-ons,0.0,0.0,0.0,0.9,1.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9,1.3,0.01,0.0,1.0,1.0,65.3,1.2,0.13,7.7,488.5,0.03,65.4,22.3,87.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05,0.0,0.0,7.05,7.29,0.0,0.0,7.29,0.0,0.0,0.0,4523.1,4354.5,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,0.0,0.0,0.0,0.0,4354.5,0.0
2040-01-01 06:00:00,2040-01-01 05:00:00,3475.8,0.0,0.0,20.8,3496.6,3369.6,-1373.9,0.0,1542.5,0.0305,0.0344,battery,wind-ons,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.9,0.9,61.3,1.2,0.12,7.2,457.8,0.03,61.3,20.9,82.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.99,0.0,0.0,6.99,7.24,0.0,0.0,7.24,0.0,0.0,0.0,5039.1,4870.5,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,0.0,0.0,0.0,0.0,4870.5,0.0
2040-01-01 07:00:00,2040-01-01 06:00:00,3566.3,0.0,0.0,20.3,3586.6,3457.0,-1333.2,0.0,1501.8,0.0307,0.0353,battery,wind-ons,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.9,0.9,53.8,1.0,0.11,6.4,401.5,0.02,53.9,18.3,72.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.99,0.0,0.0,6.99,7.25,0.0,0.0,7.25,0.0,0.0,0.0,5088.4,4919.8,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,0.0,0.0,0.0,0.0,4919.8,0.0
2040-01-01 08:00:00,2040-01-01 07:00:00,3782.1,194.8,0.0,0.0,3976.9,3664.9,168.6,0.0,0.0,0.031,0.0375,wind-ons,wind-ons,0.0,0.0,0.0,1.0,1.3,0.0,0.0,1.1,1.1,0.0,0.0,0.0,1.1,1.3,0.0,0.0,1.1,1.1,42.3,0.8,0.08,5.0,314.9,0.02,42.4,14.4,56.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4378.0,0.0,4378.0,3976.9,3808.4,0.0,125.0,0.0,0.0,0.0,19.6,0.0,0.0,0.0,43.6,0.0,0.0,0.0,3262.0,526.8,0.0
