Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p85,AR,MISO_South,usa,CT,2025
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2025-01-01 01:00:00,2025-01-01 00:00:00,3198.9,0.0,0.0,33.0,3232.0,3099.6,3232.0,2004.8,1658.2,0.0311,0.0374,gas-cc,gas-cc,336.5,38.8,5.64,15.4,744.9,0.28,339.2,37.7,377.0,204.9,23.6,3.43,9.6,453.9,0.17,206.6,23.1,229.7,311.3,24.6,3.49,19.8,1503.6,0.15,313.0,64.6,377.6,376.5,7.1,0.71,44.5,3517.4,0.16,376.9,149.3,526.2,30.2,0.0,0.0,30.2,31.38,0.0,0.0,31.38,0.0,0.0,0.0,2885.3,0.0,0.0,2.5,0.0,1100.2,0.0,0.0,0.0,0.0,0.0,125.2,1657.5,0.0,0.0,0.0,0.0,0.0
2025-01-01 02:00:00,2025-01-01 01:00:00,3149.5,0.0,0.0,33.6,3183.1,3051.9,3183.1,2012.1,1714.4,0.031,0.0368,gas-cc,gas-cc,336.5,38.8,5.64,15.4,744.9,0.28,339.2,37.7,377.0,204.6,23.6,3.43,9.5,453.2,0.17,206.2,23.1,229.3,360.2,6.8,0.68,42.6,3364.2,0.16,360.6,142.8,503.5,376.3,7.1,0.71,44.4,3515.3,0.16,376.7,149.2,525.9,30.2,0.0,0.0,30.2,31.36,0.0,0.0,31.36,0.0,0.0,0.0,2885.3,0.0,0.0,2.5,0.0,1100.2,0.0,0.0,0.0,0.0,0.0,125.2,1657.5,0.0,0.0,0.0,0.0,0.0
2025-01-01 03:00:00,2025-01-01 02:00:00,3091.6,0.0,0.0,26.6,3118.1,2996.1,3118.1,1599.9,1367.1,0.0309,0.0361,phs,gas-cc,336.5,38.8,5.64,15.4,744.9,0.28,339.2,37.7,377.0,223.4,25.7,3.74,10.3,494.6,0.19,225.2,25.1,250.3,359.1,6.8,0.68,42.4,3353.6,0.16,359.5,142.4,501.9,382.6,7.2,0.72,45.2,3574.6,0.17,383.0,151.8,534.8,29.86,0.0,0.0,29.86,30.98,0.0,0.0,30.98,0.0,0.0,0.0,2885.3,0.0,0.0,2.5,0.0,1100.2,0.0,0.0,0.0,0.0,0.0,125.2,1657.5,0.0,0.0,0.0,0.0,0.0
2025-01-01 04:00:00,2025-01-01 03:00:00,3058.9,0.0,0.0,26.0,3085.0,2964.7,3085.0,1554.9,1355.2,0.0308,0.0358,gas-cc,gas-cc,336.5,38.8,5.64,15.4,744.9,0.28,339.2,37.7,377.0,225.6,26.0,3.78,10.4,499.6,0.19,227.4,25.4,252.8,354.9,6.7,0.67,41.9,3314.7,0.15,355.3,140.7,496.1,375.8,7.1,0.71,44.4,3511.5,0.16,376.2,149.1,525.3,28.95,0.0,0.0,28.95,30.02,0.0,0.0,30.02,0.0,0.0,0.0,2885.3,0.0,0.0,2.5,0.0,1100.2,0.0,0.0,0.0,0.0,0.0,125.2,1657.5,0.0,0.0,0.0,0.0,0.0
2025-01-01 05:00:00,2025-01-01 04:00:00,3075.8,0.0,0.0,25.9,3101.7,2980.9,3101.7,1554.9,1338.6,0.0308,0.036,battery,gas-cc,336.5,38.8,5.64,15.4,744.9,0.28,339.2,37.7,377.0,225.6,26.0,3.78,10.4,499.6,0.19,227.5,25.4,252.8,343.0,6.5,0.65,40.5,3202.2,0.15,343.4,136.0,479.3,420.8,7.9,0.79,49.7,3931.3,0.18,421.2,166.9,588.1,28.95,0.0,0.0,28.95,30.03,0.0,0.0,30.03,0.0,0.0,0.0,2885.3,0.0,0.0,2.5,0.0,1100.2,0.0,0.0,0.0,0.0,0.0,125.2,1657.5,0.0,0.0,0.0,0.0,0.0
2025-01-01 06:00:00,2025-01-01 05:00:00,3172.6,8.8,0.0,24.9,3206.4,3074.2,3206.4,1554.9,1233.8,0.031,0.0371,gas-cc,gas-cc,336.5,38.8,5.64,15.4,744.9,0.28,339.2,37.7,377.0,225.7,26.0,3.78,10.4,499.7,0.19,227.5,25.4,252.9,353.9,6.7,0.67,41.8,3305.1,0.15,354.3,140.3,494.7,376.4,7.1,0.71,44.5,3516.3,0.16,376.8,149.3,526.1,28.95,0.0,0.0,28.95,30.06,0.0,0.0,30.06,0.0,0.0,0.0,2885.3,0.0,0.0,2.5,0.0,1100.2,0.0,0.0,0.0,0.0,0.0,125.2,1657.5,0.0,0.0,0.0,0.0,0.0
2025-01-01 07:00:00,2025-01-01 06:00:00,3231.6,0.0,0.0,24.5,3256.1,3131.0,3256.1,1554.9,1184.2,0.0311,0.0378,battery,gas-cc,336.5,38.8,5.64,15.4,744.9,0.28,339.2,37.7,377.0,225.7,26.0,3.78,10.4,499.7,0.19,227.5,25.4,252.9,358.2,6.8,0.68,42.3,3345.2,0.16,358.6,142.0,500.6,421.6,7.9,0.79,49.8,3938.7,0.18,422.0,167.2,589.3,28.95,0.0,0.0,28.95,30.08,0.0,0.0,30.08,0.0,0.0,0.0,2885.3,0.0,0.0,2.5,0.0,1100.2,0.0,0.0,0.0,0.0,0.0,125.2,1657.5,0.0,0.0,0.0,0.0,0.0
2025-01-01 08:00:00,2025-01-01 07:00:00,3318.9,3.7,0.0,28.2,3350.8,3215.0,2848.2,1554.9,1592.0,0.0313,0.0388,gas-cc,gas-cc,286.6,33.0,4.8,13.2,634.4,0.24,288.9,32.1,321.0,202.8,23.4,3.4,9.4,449.1,0.17,204.4,22.8,227.2,363.4,6.9,0.69,42.9,3394.5,0.16,363.8,144.1,508.0,377.0,7.1,0.71,44.5,3522.6,0.16,377.4,149.6,527.0,28.95,0.0,0.0,28.95,30.11,0.0,0.0,30.11,0.0,0.0,0.0,3387.9,502.6,0.0,2.5,0.0,1100.2,0.0,12.5,0.0,0.0,0.0,125.2,1657.5,0.0,0.0,490.0,0.0,0.0
