Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p87,MS,MISO_South,usa,CT,2035
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2035-01-01 01:00:00,2035-01-01 00:00:00,4325.3,0.0,0.0,15.3,4340.5,4187.6,3914.6,2231.5,0.0,0.0318,0.0409,battery,gas-cc,0.0,0.0,0.0,5.3,12.7,0.12,0.0,5.7,5.7,4.8,0.1,0.01,4.0,44.7,0.08,4.8,5.4,10.2,61.5,1.3,0.16,7.4,427.4,0.04,61.6,20.1,81.7,362.5,6.8,0.68,42.8,2735.2,0.16,362.9,124.4,487.2,15.81,0.0,0.0,15.81,16.49,0.0,0.0,16.49,0.0,0.0,0.0,2109.0,425.9,405.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277.4,0.0,0.0,0.0,425.9,0.0
2035-01-01 02:00:00,2035-01-01 01:00:00,4161.1,0.0,0.0,16.2,4177.2,4030.0,3745.5,2327.1,0.0,0.0315,0.0393,wind-ons,wind-ons,0.0,0.0,0.0,6.1,14.4,0.14,0.0,6.5,6.5,2.4,0.0,0.0,3.8,26.6,0.08,2.4,4.6,7.0,33.6,0.8,0.11,4.1,215.9,0.03,33.7,10.5,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.81,0.0,0.0,15.81,16.46,0.0,0.0,16.46,0.0,0.0,0.0,1850.2,431.7,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277.4,0.0,0.0,0.0,431.7,0.0
2035-01-01 03:00:00,2035-01-01 02:00:00,4030.5,0.0,0.0,15.3,4045.8,3904.5,3621.5,2231.5,0.0,0.0313,0.0381,battery,gas-cc,0.0,0.0,0.0,6.2,14.7,0.14,0.0,6.7,6.7,1.8,0.0,0.0,3.8,22.0,0.08,1.8,4.5,6.3,60.1,1.3,0.15,7.2,416.9,0.04,60.1,19.6,79.8,361.4,6.8,0.68,42.7,2727.3,0.16,361.8,124.0,485.8,15.81,0.0,0.0,15.81,16.44,0.0,0.0,16.44,0.0,0.0,0.0,1814.3,424.3,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277.4,0.0,0.0,0.0,424.3,0.0
2035-01-01 04:00:00,2035-01-01 03:00:00,3934.7,0.0,0.0,15.3,3950.0,3812.3,3523.0,2231.5,0.0,0.0311,0.0372,battery,gas-cc,0.0,0.0,0.0,6.5,15.6,0.15,0.0,7.0,7.0,0.5,0.0,0.0,3.7,12.4,0.08,0.5,4.1,4.6,38.5,0.9,0.11,4.6,253.1,0.03,38.6,12.2,50.8,361.1,6.8,0.68,42.7,2724.7,0.16,361.5,123.9,485.4,15.81,0.0,0.0,15.81,16.42,0.0,0.0,16.42,0.0,0.0,0.0,1718.5,427.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277.4,0.0,0.0,0.0,427.0,0.0
2035-01-01 05:00:00,2035-01-01 04:00:00,3882.1,0.0,0.0,15.6,3897.7,3761.6,3469.6,2231.5,39.3,0.031,0.0367,wind-ons,wind-ons,0.0,0.0,0.0,6.6,15.7,0.15,0.0,7.1,7.1,0.0,0.0,0.0,3.7,8.7,0.08,0.0,3.9,3.9,78.2,1.6,0.19,9.3,553.5,0.05,78.3,25.8,104.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0.0,0.0,15.8,16.4,0.0,0.0,16.4,0.0,0.0,0.0,1705.6,428.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277.4,0.0,0.0,0.0,428.1,0.0
2035-01-01 06:00:00,2035-01-01 05:00:00,3894.7,0.0,0.0,15.6,3910.3,3773.8,3476.8,2231.5,32.2,0.031,0.0368,wind-ons,wind-ons,0.0,0.0,0.0,6.6,15.6,0.15,0.0,7.1,7.1,0.0,0.0,0.0,3.6,8.6,0.08,0.0,3.9,3.9,40.5,0.9,0.12,4.9,268.3,0.03,40.6,12.9,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0.0,0.0,15.8,16.41,0.0,0.0,16.41,0.0,0.0,0.0,1710.9,433.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277.4,0.0,0.0,0.0,433.5,0.0
2035-01-01 07:00:00,2035-01-01 06:00:00,3970.5,0.0,0.0,15.7,3986.2,3846.8,3554.1,2276.7,0.0,0.0312,0.0375,wind-ons,wind-ons,0.0,0.0,0.0,6.6,15.6,0.15,0.0,7.1,7.1,0.0,0.0,0.0,3.6,8.6,0.08,0.0,3.9,3.9,45.1,1.0,0.13,5.4,303.1,0.03,45.2,14.5,59.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.81,0.0,0.0,15.81,16.43,0.0,0.0,16.43,0.0,0.0,0.0,1709.5,432.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277.4,0.0,0.0,1.5,430.6,0.0
2035-01-01 08:00:00,2035-01-01 07:00:00,4164.2,0.0,0.0,18.2,4182.4,4033.0,233.1,518.4,1562.7,0.0315,0.0393,wind-ons,wind-ons,0.0,0.0,0.0,2.1,5.1,0.05,0.0,2.3,2.3,0.0,0.0,0.0,2.1,4.9,0.05,0.0,2.2,2.2,33.4,0.8,0.1,4.0,214.3,0.03,33.5,10.4,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.65,0.0,0.0,7.65,7.96,0.0,0.0,7.96,0.0,0.0,0.0,5226.7,3949.3,0.0,0.0,0.0,0.0,0.0,73.2,0.0,0.0,0.0,0.0,1277.4,0.0,0.0,3463.7,412.4,0.0
