Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p88,MS,SERTP,usa,CT,2035
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2035-01-01 01:00:00,2035-01-01 00:00:00,1407.4,0.0,0.0,6.0,1413.3,1362.6,596.0,595.2,0.0,0.0318,0.0409,battery,hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.7,3.5,0.02,0.2,0.8,1.1,114.1,2.3,0.26,13.6,823.3,0.06,114.2,38.1,152.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.93,0.0,0.0,7.93,8.27,0.0,0.0,8.27,0.0,0.0,0.0,818.1,817.3,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,817.3,0.0
2035-01-01 02:00:00,2035-01-01 01:00:00,1353.7,0.0,0.0,2.7,1356.3,1311.0,551.1,175.2,95.5,0.0315,0.0393,wind-ons,wind-ons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.4,0.04,2.5,143.7,0.01,19.0,6.8,25.8,108.8,2.2,0.25,13.0,782.5,0.06,109.0,36.3,145.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.93,0.0,0.0,7.93,8.26,0.0,0.0,8.26,0.0,0.0,0.0,1276.6,805.2,470.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805.2,0.0
2035-01-01 03:00:00,2035-01-01 02:00:00,1310.5,0.0,0.0,5.0,1315.5,1269.6,498.5,497.6,0.0,0.0313,0.0381,battery,hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.6,3.0,0.01,0.2,0.7,0.9,106.0,2.1,0.23,12.6,769.7,0.06,106.1,35.5,141.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.93,0.0,0.0,7.93,8.25,0.0,0.0,8.25,0.0,0.0,0.0,817.9,817.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,817.0,0.0
2035-01-01 04:00:00,2035-01-01 03:00:00,1280.0,0.0,0.0,4.5,1284.5,1240.2,475.8,454.3,0.0,0.0311,0.0372,wind-ons,wind-ons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.8,11.6,0.01,1.3,1.1,2.5,96.7,2.0,0.23,11.5,689.8,0.06,96.9,32.1,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.93,0.0,0.0,7.93,8.24,0.0,0.0,8.24,0.0,0.0,0.0,830.3,808.7,20.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808.7,0.0
2035-01-01 05:00:00,2035-01-01 04:00:00,1263.2,0.0,0.0,4.5,1267.7,1224.0,454.9,449.8,0.0,0.031,0.0367,wind-ons,wind-ons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.7,4.9,0.01,0.4,0.8,1.3,73.4,1.5,0.18,8.8,515.1,0.04,73.5,24.1,97.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.93,0.0,0.0,7.93,8.24,0.0,0.0,8.24,0.0,0.0,0.0,817.9,812.7,4.3,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,812.7,0.0
2035-01-01 06:00:00,2035-01-01 05:00:00,1267.4,0.0,0.0,4.5,1271.8,1228.0,448.5,447.6,0.0,0.0311,0.0368,wind-ons,wind-ons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.7,3.6,0.01,0.3,0.8,1.0,78.1,1.6,0.19,9.3,548.8,0.05,78.2,25.7,103.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.93,0.0,0.0,7.93,8.24,0.0,0.0,8.24,0.0,0.0,0.0,824.2,823.4,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.4,0.0
2035-01-01 07:00:00,2035-01-01 06:00:00,1291.6,0.0,0.0,5.7,1297.3,1251.3,483.7,528.0,45.2,0.0312,0.0375,wind-ons,wind-ons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.7,3.3,0.01,0.2,0.8,1.0,84.5,1.7,0.2,10.1,601.4,0.05,84.6,28.0,112.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.93,0.0,0.0,7.93,8.24,0.0,0.0,8.24,0.0,0.0,0.0,814.4,813.6,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,813.6,0.0
2035-01-01 08:00:00,2035-01-01 07:00:00,1354.7,0.0,0.0,6.7,1361.4,1312.1,-965.1,0.0,965.9,0.0315,0.0393,wind-ons,wind-ons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4,0.8,0.11,4.2,220.6,0.03,34.4,10.7,45.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37,0.0,0.0,3.37,3.5,0.0,0.0,3.5,0.0,0.0,0.0,2327.3,2326.5,0.0,0.8,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1521.0,775.9,0.0
