Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p8,CA,NorthernGrid_South,usa,PT,2025
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2025-01-01 03:00:00,2025-01-01 00:00:00,146.3,0.0,0.0,0.6,146.9,141.6,122.3,61.0,0.0,0.0322,0.0423,wind-ons,wind-ons,0.0,0.0,0.0,10.4,12.7,0.05,0.0,10.8,10.8,29.9,0.6,0.06,10.3,287.7,0.05,29.9,18.9,48.8,299.8,14.1,1.87,27.7,2170.8,0.14,300.7,92.5,393.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.96,0.0,0.0,41.96,43.81,0.0,0.0,43.81,0.0,0.0,0.0,85.9,24.6,0.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,1.9,34.2,0.0,0.0,0.0,0.0,24.6,0.0
2025-01-01 04:00:00,2025-01-01 01:00:00,137.9,0.0,0.0,0.6,138.4,133.5,109.1,47.8,0.0,0.0316,0.0398,wind-ons,wind-ons,0.0,0.0,0.0,9.9,12.1,0.04,0.0,10.3,10.3,21.3,0.4,0.04,9.5,207.8,0.04,21.3,15.7,37.0,334.1,20.0,2.75,27.0,2098.5,0.15,335.5,89.6,425.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.96,0.0,0.0,41.96,43.7,0.0,0.0,43.7,0.0,0.0,0.0,90.6,29.3,0.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,1.9,34.2,0.0,0.0,0.0,0.0,29.3,0.0
2025-01-01 05:00:00,2025-01-01 02:00:00,132.6,0.0,0.0,0.5,133.1,128.5,101.1,39.9,0.0,0.0313,0.0383,wind-ons,wind-ons,0.0,0.0,0.0,9.6,11.7,0.04,0.0,10.0,10.0,15.2,0.3,0.03,8.9,150.5,0.04,15.2,13.4,28.6,302.7,14.6,1.95,27.7,2162.4,0.14,303.6,92.1,395.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.96,0.0,0.0,41.96,43.63,0.0,0.0,43.63,0.0,0.0,0.0,93.3,32.0,0.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,1.9,34.2,0.0,0.0,0.0,0.0,32.0,0.0
2025-01-01 06:00:00,2025-01-01 03:00:00,129.5,0.0,0.0,0.5,130.0,125.4,93.1,31.8,0.0,0.0312,0.0374,wind-ons,wind-ons,0.0,0.0,0.0,9.1,11.2,0.04,0.0,9.5,9.5,7.7,0.1,0.01,8.1,81.1,0.04,7.7,10.6,18.3,311.3,16.1,2.17,27.5,2144.1,0.14,312.4,91.4,403.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.96,0.0,0.0,41.96,43.59,0.0,0.0,43.59,0.0,0.0,0.0,98.1,36.9,0.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,1.9,34.2,0.0,0.0,0.0,0.0,36.9,0.0
2025-01-01 07:00:00,2025-01-01 04:00:00,129.5,0.0,0.0,0.5,129.9,125.4,89.5,28.3,0.0,0.0312,0.0374,wind-ons,wind-ons,0.0,0.0,0.0,8.8,10.8,0.04,0.0,9.1,9.1,4.2,0.1,0.01,7.7,47.7,0.03,4.2,9.1,13.3,313.3,16.5,2.22,27.4,2140.4,0.14,314.4,91.3,405.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.96,0.0,0.0,41.96,43.59,0.0,0.0,43.59,0.0,0.0,0.0,101.6,40.4,0.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,1.9,34.2,0.0,0.0,0.0,0.0,40.4,0.0
2025-01-01 08:00:00,2025-01-01 05:00:00,129.5,0.0,0.0,0.4,129.9,125.4,83.5,22.2,0.0,0.0312,0.0374,wind-ons,wind-ons,0.0,0.0,0.0,8.3,10.2,0.04,0.0,8.6,8.6,0.0,0.0,0.0,7.2,8.9,0.03,0.0,7.5,7.5,259.2,6.5,0.73,29.2,2304.9,0.11,259.6,97.9,357.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.21,0.0,0.0,33.21,34.5,0.0,0.0,34.5,0.0,0.0,0.0,107.7,46.4,0.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,1.9,34.2,0.0,0.0,0.0,0.0,46.4,0.0
2025-01-01 09:00:00,2025-01-01 06:00:00,132.6,0.0,0.0,0.4,133.0,128.5,81.3,20.0,0.0,0.0313,0.0383,wind-ons,wind-ons,0.0,0.0,0.0,7.9,9.7,0.04,0.0,8.2,8.2,0.0,0.0,0.0,7.0,8.6,0.03,0.0,7.3,7.3,300.9,14.3,1.91,27.7,2166.1,0.14,301.9,92.3,394.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.21,0.0,0.0,33.21,34.54,0.0,0.0,34.54,0.0,0.0,0.0,113.0,51.7,0.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,1.9,34.2,0.0,0.0,0.0,0.0,51.7,0.0
2025-01-01 10:00:00,2025-01-01 07:00:00,133.7,0.0,0.0,0.2,133.9,129.5,70.9,9.6,0.0,0.0314,0.0386,hydro,coal,0.0,0.0,0.0,7.2,8.8,0.03,0.0,7.5,7.5,0.0,0.0,0.0,6.9,8.5,0.03,0.0,7.2,7.2,244.6,4.6,0.46,28.9,2284.2,0.11,244.9,97.0,341.9,1263.2,145.5,21.16,38.9,2750.7,0.62,1273.3,121.1,1394.4,33.21,0.0,0.0,33.21,34.55,0.0,0.0,34.55,0.0,0.0,0.0,124.2,63.0,0.0,25.2,0.0,0.0,0.0,0.1,0.0,0.0,1.9,34.2,0.0,0.0,0.0,0.2,62.6,0.0
