Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p90,AL,SERTP,usa,CT,2035
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2035-01-01 01:00:00,2035-01-01 00:00:00,5013.7,0.0,0.0,92.9,5106.6,4853.1,4623.5,4059.7,2814.6,0.032,0.0418,battery,gas-cc,0.0,0.0,0.0,3.7,8.8,0.08,0.0,4.0,4.0,3.7,0.1,0.01,4.8,38.3,0.1,3.7,6.0,9.7,114.1,2.3,0.26,13.6,823.5,0.06,114.2,38.1,152.3,383.3,7.2,0.72,45.3,2892.7,0.17,383.7,131.5,515.3,21.33,0.0,0.0,21.33,22.26,0.0,0.0,22.26,0.0,0.0,0.0,3861.5,483.1,1313.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.2,1633.0,0.0,0.0,0.0,483.1,0.0
2035-01-01 02:00:00,2035-01-01 01:00:00,4816.8,0.0,0.0,82.9,4899.7,4664.3,4417.4,4059.7,2596.2,0.0317,0.0402,battery,gas-cc,0.0,0.0,0.0,4.2,9.9,0.09,0.0,4.5,4.5,0.5,0.0,0.0,4.2,13.8,0.09,0.5,4.6,5.2,108.9,2.2,0.25,13.0,782.7,0.06,109.0,36.3,145.3,382.7,7.2,0.72,45.2,2887.8,0.17,383.1,131.3,514.4,21.33,0.0,0.0,21.33,22.23,0.0,0.0,22.23,0.0,0.0,0.0,3436.3,482.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.9,1633.0,0.0,0.0,0.0,482.3,0.0
2035-01-01 03:00:00,2035-01-01 02:00:00,4684.2,0.0,0.0,69.0,4753.2,4536.9,4276.0,4059.7,1868.4,0.0314,0.0391,battery,gas-cc,0.0,0.0,0.0,5.6,13.3,0.13,0.0,6.0,6.0,0.4,0.0,0.0,4.7,14.4,0.11,0.4,5.2,5.6,106.0,2.1,0.23,12.6,769.8,0.06,106.1,35.6,141.7,414.9,7.8,0.78,49.0,3130.6,0.18,415.3,142.3,557.6,21.33,0.0,0.0,21.33,22.2,0.0,0.0,22.2,0.0,0.0,0.0,2561.9,477.2,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.2,1633.0,0.0,0.0,0.0,477.2,0.0
2035-01-01 04:00:00,2035-01-01 03:00:00,4602.1,0.0,0.0,72.8,4674.9,4458.0,4208.1,4059.7,1894.9,0.0313,0.0384,battery,gas-cc,0.0,0.0,0.0,5.7,13.6,0.13,0.0,6.2,6.2,0.5,0.0,0.0,4.8,15.1,0.11,0.5,5.3,5.8,96.8,2.0,0.23,11.5,689.9,0.06,96.9,32.1,129.0,382.0,7.2,0.72,45.1,2882.4,0.17,382.4,131.1,513.4,21.33,0.0,0.0,21.33,22.19,0.0,0.0,22.19,0.0,0.0,0.0,2510.1,466.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.2,1633.0,0.0,0.0,0.0,466.9,0.0
2035-01-01 05:00:00,2035-01-01 04:00:00,4570.5,0.0,0.0,79.9,4650.4,4427.6,4189.1,4059.7,1942.2,0.0313,0.0381,battery,gas-cc,0.0,0.0,0.0,5.7,13.5,0.13,0.0,6.1,6.1,0.4,0.0,0.0,4.8,14.3,0.11,0.4,5.2,5.6,73.4,1.5,0.18,8.8,515.2,0.04,73.5,24.1,97.6,381.9,7.2,0.72,45.1,2881.6,0.17,382.3,131.0,513.3,21.33,0.0,0.0,21.33,22.18,0.0,0.0,22.18,0.0,0.0,0.0,2532.9,461.3,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.2,1633.0,0.0,0.0,0.0,461.3,0.0
2035-01-01 06:00:00,2035-01-01 05:00:00,4567.4,0.0,0.0,74.2,4641.6,4424.6,4166.7,4059.7,1936.2,0.0313,0.0381,battery,gas-cc,0.0,0.0,0.0,5.7,13.6,0.13,0.0,6.1,6.1,0.7,0.0,0.0,5.0,16.7,0.11,0.7,5.5,6.2,78.1,1.6,0.19,9.3,549.0,0.05,78.2,25.7,103.9,381.8,7.2,0.72,45.1,2881.5,0.17,382.3,131.0,513.3,21.33,0.0,0.0,21.33,22.18,0.0,0.0,22.18,0.0,0.0,0.0,2518.1,474.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.2,1633.0,0.0,0.0,0.0,474.8,0.0
2035-01-01 07:00:00,2035-01-01 06:00:00,4653.7,0.0,0.0,87.3,4741.0,4507.6,4210.6,4059.7,2798.2,0.0314,0.0388,battery,gas-cc,0.0,0.0,0.0,4.1,9.8,0.09,0.0,4.4,4.4,0.3,0.0,0.0,4.1,12.2,0.09,0.3,4.5,4.9,84.5,1.7,0.2,10.1,601.6,0.05,84.6,28.0,112.7,382.1,7.2,0.72,45.1,2883.7,0.17,382.5,131.1,513.7,21.33,0.0,0.0,21.33,22.2,0.0,0.0,22.2,0.0,0.0,0.0,3479.5,530.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1316.1,1633.0,0.0,0.0,46.2,483.9,0.0
2035-01-01 08:00:00,2035-01-01 07:00:00,4947.4,0.0,0.0,10.5,4957.8,4789.5,3055.7,1012.5,0.0,0.0319,0.0413,wind-ons,wind-ons,0.0,0.0,0.0,3.6,8.7,0.08,0.0,3.9,3.9,0.0,0.0,0.0,3.6,8.5,0.08,0.0,3.9,3.9,34.4,0.8,0.11,4.2,220.7,0.03,34.5,10.7,45.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.52,0.0,0.0,15.52,16.19,0.0,0.0,16.19,0.0,0.0,0.0,3945.3,1902.1,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,410.2,1633.0,0.0,0.0,1393.4,500.9,0.0
