Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p91,FL,SERTP,usa,CT,2040
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2040-01-01 01:00:00,2040-01-01 00:00:00,1358.9,0.0,0.0,16.5,1375.5,1318.2,969.7,892.4,706.6,0.03,0.0313,battery,gas-cc,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,2.6,0.0,0.0,1.7,22.7,0.03,2.6,2.3,4.9,176.8,3.3,0.33,20.9,1332.5,0.08,177.0,60.6,237.6,367.5,6.9,0.69,43.4,2773.6,0.16,367.9,126.1,494.1,23.71,0.0,0.0,23.71,24.48,0.0,0.0,24.48,0.0,0.0,0.0,1189.7,405.8,779.9,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.8,0.0
2040-01-01 02:00:00,2040-01-01 01:00:00,1251.6,0.0,0.0,10.4,1262.0,1214.1,816.5,611.5,383.5,0.0299,0.0289,battery,gas-cc,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,2.2,0.0,0.0,1.4,19.4,0.03,2.2,2.0,4.3,99.4,1.9,0.19,11.8,746.6,0.04,99.5,34.0,133.5,367.1,6.9,0.69,43.4,2770.5,0.16,367.5,126.0,493.5,23.71,0.0,0.0,23.71,24.42,0.0,0.0,24.42,0.0,0.0,0.0,1034.0,445.4,584.5,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.4,0.0
2040-01-01 03:00:00,2040-01-01 02:00:00,1182.1,0.0,0.0,16.1,1198.2,1146.6,680.7,618.6,740.9,0.0301,0.0273,hydro,hydro,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,2.2,0.0,0.0,1.3,18.9,0.02,2.2,1.9,4.1,103.4,2.0,0.2,12.2,776.3,0.05,103.5,35.4,138.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.71,0.0,0.0,23.71,24.38,0.0,0.0,24.38,0.0,0.0,0.0,1320.6,517.6,798.9,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.6,0.0
2040-01-01 04:00:00,2040-01-01 03:00:00,1140.0,0.0,0.0,11.5,1151.5,1105.6,592.3,940.7,383.5,0.0302,0.0263,battery,gas-cc,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,1.9,6.0,0.04,0.2,2.1,2.3,139.3,2.6,0.27,16.5,1048.1,0.06,139.4,47.7,187.1,366.2,6.9,0.69,43.3,2763.2,0.16,366.6,125.6,492.2,23.71,0.0,0.0,23.71,24.35,0.0,0.0,24.35,0.0,0.0,0.0,594.3,559.2,31.1,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.2,0.0
2040-01-01 05:00:00,2040-01-01 04:00:00,1133.7,0.0,0.0,12.1,1145.8,1099.4,431.4,702.3,469.8,0.0302,0.0261,hydro,hydro,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.1,0.6,0.0,0.0,1.5,7.9,0.03,0.6,1.7,2.3,132.9,2.5,0.25,15.7,1000.2,0.06,133.1,45.5,178.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.71,0.0,0.0,23.71,24.35,0.0,0.0,24.35,0.0,0.0,0.0,913.3,714.4,194.8,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.4,0.0
2040-01-01 06:00:00,2040-01-01 05:00:00,1185.3,0.0,0.0,11.6,1196.9,1149.6,381.4,797.5,420.2,0.03,0.0273,hydro,hydro,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.5,3.7,0.03,0.0,1.7,1.7,115.6,2.2,0.22,13.7,869.0,0.05,115.7,39.6,155.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.71,0.0,0.0,23.71,24.38,0.0,0.0,24.38,0.0,0.0,0.0,819.6,815.5,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815.5,0.0
2040-01-01 07:00:00,2040-01-01 06:00:00,1274.7,0.0,0.0,14.4,1289.1,1236.6,292.7,866.9,578.3,0.0299,0.0294,hydro,hydro,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,1.4,3.8,0.03,0.1,1.6,1.6,76.5,1.5,0.15,9.1,574.0,0.03,76.6,26.2,102.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.71,0.0,0.0,23.71,24.43,0.0,0.0,24.43,0.0,0.0,0.0,1000.5,996.4,0.0,4.1,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.8,932.0,0.0
2040-01-01 08:00:00,2040-01-01 07:00:00,1442.1,584.5,0.0,5.7,2032.3,1398.7,-351.9,0.0,355.9,0.0301,0.0333,battery,hydro,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,41.8,0.8,0.08,4.9,311.8,0.02,41.8,14.2,56.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,10.6,10.97,0.0,0.0,10.97,0.0,0.0,0.0,2388.2,2384.1,0.0,4.1,0.0,0.0,0.0,116.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1534.6,732.7,0.0
