Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p92,TN,SERTP,usa,CT,2025
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2025-01-01 01:00:00,2025-01-01 00:00:00,10665.3,0.0,1616.3,2.4,12283.9,10319.8,12260.5,679.7,0.0,0.0324,0.0432,coal,coal,310.4,28.0,4.01,19.7,1258.4,0.22,312.4,57.3,369.6,319.0,28.5,4.06,20.4,1317.8,0.22,320.9,59.8,380.7,384.3,44.1,6.42,12.0,845.7,0.19,387.3,37.2,424.6,1013.3,116.7,16.97,31.2,2206.4,0.5,1021.4,97.1,1118.5,30.22,0.0,0.0,30.22,31.58,0.0,0.0,31.58,0.0,0.0,0.0,11604.2,23.5,0.0,8.0,0.0,2670.1,0.0,0.0,2561.3,0.0,0.0,2217.6,4123.8,0.0,0.0,0.0,23.5,0.0
2025-01-01 02:00:00,2025-01-01 01:00:00,10386.3,102.0,0.0,0.9,10489.3,10052.8,10465.8,266.7,0.0,0.0321,0.042,battery,gas-cc,345.4,31.7,4.54,21.6,1363.4,0.25,347.6,62.3,409.9,356.2,32.5,4.65,22.3,1419.8,0.25,358.4,64.7,423.1,710.8,77.8,11.28,25.6,1849.0,0.35,716.2,80.8,797.0,384.9,7.3,0.73,45.5,3596.5,0.17,385.4,152.7,538.1,30.22,0.0,0.0,30.22,31.55,0.0,0.0,31.55,0.0,0.0,0.0,10222.6,23.5,0.0,8.0,0.0,2670.1,0.0,0.0,2368.0,0.0,0.0,1029.3,4123.8,0.0,0.0,0.0,23.5,0.0
2025-01-01 03:00:00,2025-01-01 02:00:00,10172.6,0.0,1616.3,5.1,11794.0,9848.0,11770.6,931.0,0.0,0.0319,0.0412,phs,gas-cc,352.9,30.3,4.32,23.6,1543.3,0.24,355.0,69.6,424.6,351.7,30.0,4.26,23.7,1557.8,0.24,353.7,70.2,423.9,107.8,12.2,1.77,3.5,247.6,0.05,108.7,10.9,119.6,384.6,7.2,0.72,45.4,3593.3,0.17,385.0,152.6,537.6,30.22,0.0,0.0,30.22,31.52,0.0,0.0,31.52,0.0,0.0,0.0,10863.0,23.4,0.0,8.0,0.0,2670.1,0.0,0.0,3188.8,0.0,0.0,849.0,4123.8,0.0,0.0,0.0,23.4,0.0
2025-01-01 04:00:00,2025-01-01 03:00:00,9964.2,0.0,1616.3,5.9,11586.4,9648.0,11562.9,1177.6,0.0,0.0317,0.0403,phs,gas-cc,329.6,30.9,4.44,20.0,1248.4,0.24,331.7,57.3,389.0,327.1,30.2,4.32,20.2,1278.3,0.23,329.2,58.4,387.5,313.6,35.9,5.23,9.8,692.7,0.15,316.1,30.5,346.6,384.3,7.2,0.72,45.4,3590.1,0.17,384.7,152.4,537.1,30.22,0.0,0.0,30.22,31.49,0.0,0.0,31.49,0.0,0.0,0.0,10408.8,23.6,0.0,8.0,0.0,2670.1,0.0,0.0,2094.4,0.0,0.0,1489.0,4123.8,0.0,0.0,0.0,23.6,0.0
2025-01-01 05:00:00,2025-01-01 04:00:00,9863.2,0.0,1616.3,4.7,11484.2,9551.0,11460.6,832.8,0.0,0.0316,0.0399,wind-ons,wind-ons,323.0,30.2,4.34,19.7,1229.0,0.23,325.1,56.4,381.5,325.7,30.1,4.31,20.1,1269.0,0.23,327.8,58.0,385.8,307.0,17.3,2.36,25.8,2007.3,0.14,308.2,85.7,393.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.22,0.0,0.0,30.22,31.48,0.0,0.0,31.48,0.0,0.0,0.0,10651.4,23.6,0.0,8.0,0.0,2670.1,0.0,0.0,2122.2,0.0,0.0,1703.8,4123.8,0.0,0.0,0.0,23.6,0.0
2025-01-01 06:00:00,2025-01-01 05:00:00,9970.5,245.5,0.0,4.2,10220.2,9654.1,10196.7,674.0,0.0,0.0317,0.0404,wind-ons,wind-ons,364.6,33.8,4.85,22.5,1410.7,0.26,367.0,64.6,431.5,366.6,33.7,4.82,22.8,1444.6,0.26,368.9,65.9,434.9,398.8,23.6,3.24,32.6,2523.4,0.18,400.4,107.8,508.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.22,0.0,0.0,30.22,31.49,0.0,0.0,31.49,0.0,0.0,0.0,9546.2,23.5,0.0,8.0,0.0,2670.1,0.0,0.0,2231.6,0.0,0.0,489.2,4123.8,0.0,0.0,0.0,23.5,0.0
2025-01-01 07:00:00,2025-01-01 06:00:00,10166.3,0.0,0.0,4.2,10170.5,9841.9,10145.7,675.9,0.0,0.0319,0.0411,coal,coal,364.6,34.0,4.87,22.3,1399.2,0.26,366.9,64.1,431.0,366.3,33.8,4.84,22.7,1432.1,0.26,368.6,65.4,434.0,362.2,29.6,4.19,22.2,1692.2,0.17,364.3,72.7,436.9,1011.1,116.4,16.94,31.2,2201.8,0.5,1019.2,96.9,1116.1,30.22,0.0,0.0,30.22,31.52,0.0,0.0,31.52,0.0,0.0,0.0,9494.6,24.8,0.0,8.0,0.0,2670.1,0.0,0.0,2178.8,0.0,0.0,489.2,4123.8,0.0,0.0,1.1,23.6,0.0
2025-01-01 08:00:00,2025-01-01 07:00:00,10533.7,0.0,0.0,0.6,10534.3,10193.9,10318.5,167.9,0.0,0.0323,0.0426,hydro,coal,330.9,31.1,4.45,20.1,1253.5,0.24,333.0,57.5,390.6,342.6,32.0,4.59,20.9,1309.0,0.24,344.8,60.0,404.8,465.8,23.6,3.17,41.6,3237.9,0.21,467.4,138.2,605.6,1295.5,149.2,21.7,39.9,2821.0,0.64,1305.9,124.2,1430.0,30.22,0.0,0.0,30.22,31.56,0.0,0.0,31.56,0.0,0.0,0.0,10366.4,215.8,0.0,8.0,0.0,2670.1,0.0,0.1,2094.4,0.0,0.0,1254.4,4123.8,0.0,0.0,192.5,23.2,0.0
