Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p94,GA,SERTP,usa,ET,2025
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2025-01-01 00:00:00,2025-01-01 00:00:00,14307.4,0.0,0.0,12.9,14320.3,13851.0,14320.3,893.2,387.7,0.0319,0.0415,coal,coal,385.4,39.0,5.62,21.6,1254.2,0.29,388.1,59.1,447.2,387.1,39.3,5.67,21.8,1246.4,0.29,389.8,59.0,448.8,508.1,30.6,4.21,41.0,3176.6,0.23,510.2,135.7,645.9,1060.4,122.1,17.76,32.7,2309.0,0.52,1068.9,101.6,1170.5,34.72,0.0,0.0,34.72,36.23,0.0,0.0,36.23,0.0,0.0,0.0,13814.8,0.0,0.0,227.9,0.0,4649.9,0.0,0.0,2112.7,0.0,0.0,74.1,6750.1,0.0,0.0,0.0,0.0,0.0
2025-01-01 01:00:00,2025-01-01 01:00:00,14003.2,0.0,0.0,12.9,14016.1,13559.3,14016.1,893.2,387.7,0.0317,0.0406,coal,coal,371.2,37.2,5.36,21.4,1232.6,0.28,373.8,58.2,432.0,372.2,37.5,5.4,21.5,1222.4,0.29,374.8,58.0,432.8,384.0,44.1,6.41,12.0,845.1,0.19,387.1,37.2,424.3,1059.4,122.0,17.75,32.6,2306.9,0.52,1067.9,101.5,1169.4,34.72,0.0,0.0,34.72,36.19,0.0,0.0,36.19,0.0,0.0,0.0,13510.6,0.0,0.0,227.9,0.0,4345.7,0.0,0.0,2112.7,0.0,0.0,74.1,6750.1,0.0,0.0,0.0,0.0,0.0
2025-01-01 02:00:00,2025-01-01 02:00:00,13706.3,0.0,0.0,12.9,13719.2,13274.4,13719.2,893.2,387.7,0.0315,0.0398,hydro,coal,286.2,27.3,3.92,19.0,1057.1,0.24,288.1,50.6,338.7,290.0,27.9,4.01,19.2,1052.0,0.25,292.0,50.6,342.5,710.4,77.7,11.27,25.6,1847.8,0.35,715.7,80.8,796.5,1058.4,121.9,17.73,32.6,2304.8,0.52,1066.9,101.4,1168.4,34.72,0.0,0.0,34.72,36.16,0.0,0.0,36.16,0.0,0.0,0.0,13213.7,0.0,0.0,227.9,0.0,3132.3,0.0,0.0,2112.7,0.0,0.0,990.7,6750.1,0.0,0.0,0.0,0.0,0.0
2025-01-01 03:00:00,2025-01-01 03:00:00,13534.7,0.0,0.0,12.9,13547.6,13109.6,13547.6,893.2,387.7,0.0314,0.0393,hydro,coal,290.0,27.6,3.97,19.3,1071.0,0.24,291.9,51.3,343.1,293.8,28.3,4.06,19.4,1065.3,0.25,295.7,51.2,346.9,107.7,12.2,1.77,3.5,247.5,0.05,108.6,10.9,119.5,1057.9,121.8,17.72,32.6,2303.6,0.52,1066.4,101.4,1167.7,34.72,0.0,0.0,34.72,36.14,0.0,0.0,36.14,0.0,0.0,0.0,13042.1,0.0,0.0,227.9,0.0,3132.3,0.0,0.0,2112.7,0.0,0.0,819.1,6750.1,0.0,0.0,0.0,0.0,0.0
2025-01-01 04:00:00,2025-01-01 04:00:00,13443.2,0.0,0.0,12.9,13456.1,13021.6,13456.1,893.2,387.7,0.0314,0.039,coal,coal,343.3,33.7,4.86,21.0,1190.3,0.27,345.6,56.5,402.2,345.3,34.2,4.92,21.1,1180.4,0.28,347.7,56.3,404.0,313.5,35.9,5.23,9.8,692.5,0.15,316.0,30.5,346.5,1057.6,121.8,17.72,32.6,2303.0,0.52,1066.1,101.4,1167.4,34.72,0.0,0.0,34.72,36.13,0.0,0.0,36.13,0.0,0.0,0.0,12950.6,0.0,0.0,227.9,0.0,3785.7,0.0,0.0,2112.7,0.0,0.0,74.1,6750.1,0.0,0.0,0.0,0.0,0.0
2025-01-01 05:00:00,2025-01-01 05:00:00,13531.6,0.0,0.0,12.9,13544.5,13106.6,13544.5,893.2,387.7,0.0314,0.0393,coal,coal,347.9,34.3,4.94,21.1,1197.2,0.27,350.3,56.8,407.1,349.8,34.7,5.0,21.1,1187.4,0.28,352.2,56.6,408.8,307.0,17.3,2.36,25.8,2006.9,0.14,308.1,85.6,393.8,1057.9,121.8,17.72,32.6,2303.6,0.52,1066.4,101.4,1167.7,34.72,0.0,0.0,34.72,36.14,0.0,0.0,36.14,0.0,0.0,0.0,13039.0,0.0,0.0,227.9,0.0,3874.2,0.0,0.0,2112.7,0.0,0.0,74.1,6750.1,0.0,0.0,0.0,0.0,0.0
2025-01-01 06:00:00,2025-01-01 06:00:00,13672.6,28.0,0.0,12.9,13713.5,13242.1,13713.5,893.2,387.7,0.0315,0.0397,coal,coal,356.4,35.4,5.09,21.2,1210.2,0.28,358.9,57.3,416.2,358.1,35.7,5.15,21.3,1200.4,0.28,360.6,57.1,417.7,398.7,23.6,3.23,32.6,2522.8,0.18,400.3,107.8,508.1,1058.3,121.9,17.73,32.6,2304.6,0.52,1066.8,101.4,1168.2,34.72,0.0,0.0,34.72,36.16,0.0,0.0,36.16,0.0,0.0,0.0,13208.0,0.0,0.0,227.9,0.0,4043.2,0.0,0.0,2112.7,0.0,0.0,74.1,6750.1,0.0,0.0,0.0,0.0,0.0
2025-01-01 07:00:00,2025-01-01 07:00:00,13958.9,0.0,0.0,12.9,13971.8,13516.9,13865.6,893.2,387.7,0.0317,0.0405,coal,coal,361.1,36.0,5.19,21.1,1212.0,0.28,363.6,57.3,420.9,362.6,36.4,5.24,21.2,1202.7,0.28,365.1,57.1,422.2,362.1,29.5,4.19,22.2,1691.7,0.17,364.2,72.6,436.8,1059.3,122.0,17.74,32.6,2306.6,0.52,1067.7,101.5,1169.2,34.72,0.0,0.0,34.72,36.19,0.0,0.0,36.19,0.0,0.0,0.0,13466.3,106.3,0.0,227.9,0.0,4195.2,0.0,2.3,2112.7,0.0,0.0,74.1,6750.1,0.0,0.0,104.0,0.0,0.0
