Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p96,SC,SERTP,usa,ET,2050
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2050-01-01 00:00:00,2050-01-01 00:00:00,8513.7,0.0,0.0,40.0,8553.7,8243.1,7754.1,2860.0,0.0,0.0318,0.0411,battery,gas-cc,0.0,0.0,0.0,2.8,6.3,0.06,0.0,3.0,3.0,1.8,0.0,0.0,3.9,21.9,0.08,1.8,4.6,6.4,95.7,1.8,0.18,11.3,721.0,0.04,95.8,32.8,128.7,454.5,8.6,0.86,53.7,3429.4,0.2,454.9,155.9,610.9,26.75,0.0,0.0,26.75,27.89,0.0,0.0,27.89,0.0,0.0,0.0,5693.7,799.6,2561.7,62.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,1583.1,0.0,401.8,0.0,799.6,0.0
2050-01-01 01:00:00,2050-01-01 01:00:00,8153.7,0.0,0.0,40.9,8194.6,7897.6,7477.6,2936.7,0.0,0.0314,0.0394,hydro,hydro,0.0,0.0,0.0,3.1,6.8,0.06,0.0,3.3,3.3,1.9,0.0,0.0,4.1,23.0,0.08,1.9,4.9,6.7,100.8,1.9,0.19,11.9,759.1,0.04,100.9,34.6,135.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.75,0.0,0.0,26.75,27.84,0.0,0.0,27.84,0.0,0.0,0.0,5257.8,716.9,2610.3,62.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,1583.1,0.0,0.0,0.0,716.9,0.0
2050-01-01 02:00:00,2050-01-01 02:00:00,7848.4,0.0,0.0,40.0,7888.5,7604.2,7129.4,2860.0,0.0,0.0311,0.0379,battery,gas-cc,0.0,0.0,0.0,3.2,7.1,0.06,0.0,3.4,3.4,1.7,0.0,0.0,4.2,21.5,0.08,1.7,4.8,6.5,102.6,1.9,0.2,12.1,772.8,0.05,102.7,35.2,137.9,452.9,8.5,0.85,53.5,3418.0,0.2,453.4,155.4,608.8,26.75,0.0,0.0,26.75,27.8,0.0,0.0,27.8,0.0,0.0,0.0,5028.5,759.1,2338.7,62.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,1583.1,0.0,0.0,0.0,759.1,0.0
2050-01-01 03:00:00,2050-01-01 03:00:00,7713.7,0.0,0.0,40.0,7753.7,7474.5,6827.4,2860.0,0.0,0.031,0.0372,battery,gas-cc,0.0,0.0,0.0,3.3,7.3,0.07,0.0,3.5,3.5,1.2,0.0,0.0,4.1,17.7,0.08,1.2,4.7,5.8,92.8,1.8,0.18,11.0,698.8,0.04,92.9,31.8,124.7,452.6,8.5,0.85,53.5,3415.6,0.2,453.1,155.3,608.4,26.75,0.0,0.0,26.75,27.78,0.0,0.0,27.78,0.0,0.0,0.0,4893.7,926.3,1561.2,62.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,1583.1,0.0,475.5,0.0,926.3,0.0
2050-01-01 04:00:00,2050-01-01 04:00:00,7741.1,0.0,0.0,40.0,7781.1,7500.8,6430.7,2860.0,0.0,0.031,0.0374,battery,gas-cc,0.0,0.0,0.0,3.3,7.3,0.07,0.0,3.5,3.5,1.1,0.0,0.0,4.0,16.7,0.08,1.1,4.5,5.6,105.9,2.0,0.2,12.6,798.0,0.05,106.0,36.4,142.4,452.7,8.5,0.85,53.5,3416.1,0.2,453.2,155.3,608.5,26.75,0.0,0.0,26.75,27.79,0.0,0.0,27.79,0.0,0.0,0.0,4921.1,1350.4,1164.5,62.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,1583.1,0.0,475.5,0.0,1350.4,0.0
2050-01-01 05:00:00,2050-01-01 05:00:00,7907.4,0.0,0.0,40.0,7947.4,7660.9,5946.7,2860.0,0.0,0.0312,0.0382,battery,gas-cc,0.0,0.0,0.0,3.2,7.0,0.06,0.0,3.4,3.4,0.5,0.0,0.0,3.8,12.5,0.08,0.5,4.2,4.8,90.1,1.7,0.17,10.7,678.2,0.04,90.2,30.9,121.1,453.1,8.5,0.85,53.5,3419.0,0.2,453.6,155.5,609.0,26.75,0.0,0.0,26.75,27.81,0.0,0.0,27.81,0.0,0.0,0.0,5087.4,2000.7,680.5,62.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,1583.1,0.0,475.5,0.0,2000.7,0.0
2050-01-01 06:00:00,2050-01-01 06:00:00,8255.8,0.0,0.0,40.0,8295.8,7995.7,5525.3,2860.0,0.0,0.0315,0.0399,battery,gas-cc,0.0,0.0,0.0,3.0,6.6,0.06,0.0,3.2,3.2,0.4,0.0,0.0,3.6,10.8,0.07,0.4,4.0,4.3,83.3,1.6,0.16,9.9,627.2,0.04,83.4,28.6,112.0,453.9,8.6,0.86,53.6,3425.0,0.2,454.4,155.7,610.1,26.75,0.0,0.0,26.75,27.86,0.0,0.0,27.86,0.0,0.0,0.0,5435.8,2770.5,259.1,62.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,1583.1,0.0,475.5,0.0,2770.5,0.0
2050-01-01 07:00:00,2050-01-01 07:00:00,8775.8,0.0,0.0,7.0,8782.8,8494.3,1273.3,0.0,639.9,0.0321,0.0424,hydro,hydro,0.0,0.0,0.0,1.7,3.8,0.03,0.0,1.8,1.8,0.0,0.0,0.0,1.8,3.9,0.04,0.0,1.9,1.9,58.8,1.1,0.11,7.0,441.9,0.03,58.8,20.1,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.56,0.0,0.0,25.56,26.7,0.0,0.0,26.7,0.0,0.0,0.0,9422.7,7509.5,0.0,62.6,0.0,0.0,0.0,61.1,0.0,0.0,0.0,267.5,1583.1,0.0,0.0,3074.3,4374.1,0.0
