Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,p98,NC,SERTP,usa,ET,2035
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2035-01-01 00:00:00,2035-01-01 00:00:00,8251.6,0.0,0.0,31.5,8283.1,7988.7,7158.5,3502.7,0.0,0.0319,0.0414,hydro,hydro,34.5,0.7,0.07,9.1,272.2,0.12,34.6,17.2,51.8,29.5,0.6,0.06,7.5,232.0,0.1,29.6,14.5,44.0,78.5,1.6,0.17,9.3,573.3,0.04,78.6,26.4,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.57,0.0,0.0,30.57,31.89,0.0,0.0,31.89,0.0,0.0,0.0,4780.4,1124.6,0.0,41.5,0.0,0.0,0.0,0.0,463.7,0.0,0.0,566.5,2584.0,0.0,0.0,0.0,1124.6,0.0
2035-01-01 01:00:00,2035-01-01 01:00:00,8041.1,0.0,0.0,37.3,8078.3,7786.8,7795.4,4139.6,0.0,0.0316,0.0404,battery,gas-cc,41.9,0.8,0.08,11.0,330.4,0.15,42.0,20.9,62.9,27.9,0.5,0.05,7.8,220.8,0.11,27.9,14.4,42.3,97.4,1.9,0.2,11.6,716.7,0.05,97.6,32.9,130.5,377.6,7.1,0.71,44.6,2849.7,0.16,378.0,129.6,507.6,30.57,0.0,0.0,30.57,31.86,0.0,0.0,31.86,0.0,0.0,0.0,3938.8,282.9,0.0,41.5,0.0,0.0,0.0,0.0,463.7,0.0,0.0,566.5,2584.0,0.0,0.0,0.0,282.9,0.0
2035-01-01 02:00:00,2035-01-01 02:00:00,7853.7,0.0,0.0,26.9,7880.6,7606.9,7814.6,2989.8,0.0,0.0314,0.0394,gas-cc,gas-cc,33.8,0.6,0.06,8.9,266.1,0.12,33.8,16.8,50.6,29.4,0.6,0.06,7.9,231.9,0.11,29.4,14.8,44.2,92.0,1.8,0.2,10.9,674.4,0.05,92.1,31.0,123.1,377.3,7.1,0.71,44.6,2847.0,0.16,377.7,129.5,507.1,30.57,0.0,0.0,30.57,31.83,0.0,0.0,31.83,0.0,0.0,0.0,4890.8,66.0,1168.9,41.5,0.0,0.0,0.0,0.0,463.7,0.0,0.0,566.5,2584.0,0.0,0.0,0.0,66.0,0.0
2035-01-01 03:00:00,2035-01-01 03:00:00,7831.6,0.0,0.0,28.6,7860.2,7585.7,7812.5,3182.5,0.0,0.0314,0.0393,hydro,hydro,35.3,0.7,0.07,9.3,278.2,0.13,35.3,17.6,52.9,29.6,0.6,0.06,8.2,234.3,0.11,29.7,15.2,44.8,91.2,1.8,0.19,10.8,674.8,0.04,91.3,30.9,122.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.57,0.0,0.0,30.57,31.82,0.0,0.0,31.82,0.0,0.0,0.0,4677.7,47.8,974.1,41.5,0.0,0.0,0.0,0.0,463.7,0.0,0.0,566.5,2584.0,0.0,0.0,0.0,47.8,0.0
2035-01-01 04:00:00,2035-01-01 04:00:00,7927.4,0.0,0.0,36.9,7964.2,7677.7,7753.0,4097.2,0.0,0.0315,0.0398,hydro,hydro,42.7,0.8,0.08,11.2,336.5,0.15,42.7,21.3,64.0,25.0,0.5,0.05,7.5,199.2,0.11,25.0,13.5,38.5,79.1,1.6,0.17,9.4,576.7,0.04,79.2,26.6,105.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.57,0.0,0.0,30.57,31.84,0.0,0.0,31.84,0.0,0.0,0.0,3867.1,211.2,0.0,41.5,0.0,0.0,0.0,0.0,463.7,0.0,0.0,566.5,2584.0,0.0,0.0,0.0,211.2,0.0
2035-01-01 05:00:00,2035-01-01 05:00:00,8151.6,0.0,0.0,35.4,8187.0,7892.9,7596.5,3930.3,0.0,0.0317,0.0409,battery,gas-cc,38.8,0.7,0.07,10.2,305.7,0.14,38.8,19.3,58.2,25.0,0.5,0.05,7.3,198.9,0.1,25.1,13.3,38.4,54.5,1.1,0.12,6.5,393.8,0.03,54.5,18.2,72.7,378.1,7.1,0.71,44.7,2853.5,0.16,378.6,129.8,508.3,30.57,0.0,0.0,30.57,31.87,0.0,0.0,31.87,0.0,0.0,0.0,4256.6,590.4,10.4,41.5,0.0,0.0,0.0,0.0,463.7,0.0,0.0,566.5,2584.0,0.0,0.0,0.0,590.4,0.0
2035-01-01 06:00:00,2035-01-01 06:00:00,8595.8,0.0,0.0,29.6,8625.3,8318.4,7186.4,3284.0,0.0,0.0323,0.0431,hydro,hydro,30.9,0.6,0.06,8.1,243.6,0.11,30.9,15.4,46.3,24.0,0.5,0.05,6.8,190.3,0.1,24.0,12.5,36.6,59.3,1.2,0.13,7.1,428.6,0.03,59.4,19.8,79.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.57,0.0,0.0,30.57,31.95,0.0,0.0,31.95,0.0,0.0,0.0,5341.4,1438.9,246.6,41.5,0.0,0.0,0.0,0.0,463.7,0.0,0.0,566.5,2584.0,0.0,0.0,0.0,1438.9,0.0
2035-01-01 07:00:00,2035-01-01 07:00:00,9089.5,0.0,0.0,9.4,9098.9,8790.2,4704.1,1048.3,0.0,0.0329,0.0456,hydro,hydro,20.5,0.4,0.04,5.4,161.6,0.07,20.5,10.2,30.8,19.2,0.4,0.04,5.3,152.2,0.07,19.3,9.8,29.1,66.6,1.3,0.14,7.9,486.6,0.03,66.7,22.4,89.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.57,0.0,0.0,30.57,32.03,0.0,0.0,32.03,0.0,0.0,0.0,8050.6,4394.8,0.0,41.5,0.0,0.0,0.0,198.5,463.7,0.0,0.0,566.5,2584.0,0.0,0.0,996.9,3199.4,0.0
