Project,Scenario,Dollar_year,Weather_year,Start_day,r,state,gea,country,tz,t
Cambium24,MidCase,2023$,2012,Sunday,z122,PA,PJM_East,usa,ET,2050
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,unitless,unitless,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,marg_gen_tech,marg_es_tech,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2050-01-01 00:00:00,2050-01-01 00:00:00,15661.1,0.0,0.0,50.1,15711.2,15158.5,13484.2,5092.6,0.0,0.0321,0.0419,unknown,unknown,0.4,0.0,0.0,6.2,16.7,0.13,0.4,6.7,7.1,7.3,0.1,0.01,6.2,67.5,0.11,7.4,8.3,15.6,106.4,2.0,0.2,12.7,802.4,0.05,106.6,36.7,143.2,226.0,4.3,0.45,26.7,1686.2,0.1,226.2,77.0,303.2,21.76,0.0,0.0,21.76,22.72,0.0,0.0,22.72,0.0,0.0,0.0,10618.6,2227.0,0.0,154.8,0.0,0.0,0.0,0.0,11.5,0.0,0.0,309.6,6642.6,0.0,1273.1,0.0,2227.0,0.0
2050-01-01 01:00:00,2050-01-01 01:00:00,14858.9,0.0,0.0,45.9,14904.9,14389.1,12997.8,4493.0,0.0,0.0316,0.0398,unknown,unknown,2.7,0.1,0.01,6.6,34.7,0.13,2.7,7.6,10.4,9.4,0.2,0.02,6.7,83.4,0.12,9.4,9.3,18.6,56.8,1.1,0.11,6.9,427.0,0.03,56.9,19.7,76.5,225.5,4.3,0.45,26.7,1682.4,0.1,225.7,76.8,302.6,21.76,0.0,0.0,21.76,22.66,0.0,0.0,22.66,0.0,0.0,0.0,10411.9,1907.1,0.0,154.8,0.0,0.0,0.0,0.0,80.7,0.0,0.0,353.6,6642.6,0.0,1273.1,0.0,1907.1,0.0
2050-01-01 02:00:00,2050-01-01 02:00:00,14384.2,0.0,0.0,23.9,14408.1,13933.0,12974.1,2805.7,0.0,0.0314,0.0385,unknown,unknown,58.9,1.1,0.11,12.6,456.9,0.14,58.9,26.2,85.2,55.4,1.0,0.1,12.2,430.8,0.14,55.4,25.1,80.5,97.1,1.8,0.19,11.7,729.7,0.05,97.2,33.4,130.6,225.2,4.3,0.45,26.6,1680.2,0.1,225.4,76.7,302.2,21.76,0.0,0.0,21.76,22.63,0.0,0.0,22.63,0.0,0.0,0.0,11602.4,1434.0,0.0,154.8,0.0,0.0,0.0,0.0,1941.7,0.0,0.0,353.6,6642.6,0.0,1075.7,0.0,1434.0,0.0
2050-01-01 03:00:00,2050-01-01 03:00:00,14218.9,0.0,0.0,73.0,14292.0,13774.1,13052.1,5884.5,0.0,0.0313,0.0381,unknown,unknown,0.0,0.0,0.0,7.7,17.5,0.16,0.0,8.3,8.3,0.7,0.0,0.0,5.8,17.9,0.12,0.7,6.4,7.0,111.3,2.1,0.21,13.3,837.2,0.05,111.4,38.3,149.7,225.1,4.3,0.45,26.6,1679.4,0.1,225.3,76.7,302.0,21.76,0.0,0.0,21.76,22.62,0.0,0.0,22.62,0.0,0.0,0.0,8407.4,1239.9,0.0,154.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.6,6642.6,0.0,16.5,0.0,1239.9,0.0
2050-01-01 04:00:00,2050-01-01 04:00:00,14291.6,0.0,0.0,74.9,14366.5,13843.9,13120.4,4740.2,0.0,0.0313,0.0383,unknown,unknown,0.0,0.0,0.0,6.8,15.3,0.14,0.0,7.3,7.3,7.7,0.1,0.01,6.6,71.1,0.12,7.7,8.8,16.5,118.4,2.2,0.22,14.1,893.2,0.05,118.5,40.8,159.3,225.1,4.3,0.45,26.6,1679.7,0.1,225.4,76.7,302.1,21.76,0.0,0.0,21.76,22.63,0.0,0.0,22.63,0.0,0.0,0.0,9626.3,1246.2,0.0,154.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.6,6642.6,0.0,1273.1,0.0,1246.2,0.0
2050-01-01 05:00:00,2050-01-01 05:00:00,14671.6,0.0,0.0,88.1,14759.7,14209.2,13052.1,5901.1,0.0,0.0315,0.0393,unknown,unknown,0.0,0.0,0.0,7.3,16.6,0.15,0.0,7.9,7.9,0.6,0.0,0.0,5.4,16.7,0.11,0.6,5.9,6.5,92.0,1.7,0.18,11.1,692.0,0.04,92.1,31.7,123.8,225.4,4.3,0.45,26.7,1681.5,0.1,225.6,76.8,302.4,21.76,0.0,0.0,21.76,22.65,0.0,0.0,22.65,0.0,0.0,0.0,8858.6,1707.6,0.0,154.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.6,6642.6,0.0,0.0,0.0,1707.6,0.0
2050-01-01 06:00:00,2050-01-01 06:00:00,15304.2,0.0,0.0,39.3,15343.5,14816.4,12382.0,2032.7,0.0,0.0319,0.041,unknown,unknown,51.3,1.0,0.1,11.0,398.3,0.12,51.4,22.9,74.2,53.0,1.0,0.1,11.3,411.3,0.13,53.1,23.6,76.6,74.3,1.4,0.14,9.0,558.5,0.04,74.4,25.6,100.0,225.7,4.3,0.45,26.7,1684.5,0.1,226.0,76.9,302.9,21.76,0.0,0.0,21.76,22.69,0.0,0.0,22.69,0.0,0.0,0.0,13310.8,2961.5,0.0,154.8,0.0,0.0,0.0,0.0,1941.7,0.0,0.0,353.6,6642.6,0.0,1256.6,0.0,2961.5,0.0
2050-01-01 07:00:00,2050-01-01 07:00:00,15953.7,0.0,0.0,55.1,16008.7,15438.7,12479.6,3427.3,0.0,0.0323,0.0427,unknown,unknown,54.3,1.0,0.1,11.6,421.4,0.13,54.3,24.2,78.5,44.2,0.8,0.08,9.9,344.4,0.12,44.3,20.2,64.5,73.3,1.4,0.14,8.8,551.6,0.04,73.3,25.3,98.6,226.2,4.3,0.45,26.8,1687.5,0.1,226.4,77.1,303.5,21.76,0.0,0.0,21.76,22.73,0.0,0.0,22.73,0.0,0.0,0.0,12581.4,3529.1,0.0,154.8,0.0,0.0,0.0,0.0,1941.7,0.0,0.0,313.2,6642.6,0.0,0.0,40.3,3488.8,0.0
